,K,n,s,exp,det,rot,roc,cen
0,101.2842417,-1.570127288,0.078740182,모든 화약,모든 뇌관,모든 암석분류,안산암,V-CUT
0,244.5877555,-1.853471597,-0.163101657,모든 화약,모든 뇌관,모든 암석분류,안산암,라인 드릴링
0,321.5487767,-2.09423948,-0.143288507,모든 화약,모든 뇌관,모든 암석분류,안산암,분착식 다단발파
0,378.7207331,-1.876960545,0.07045049,모든 화약,모든 뇌관,모든 암석분류,안산암,선대구경
0,301.2722559,-1.566898716,0.25160774,모든 화약,모든 뇌관,모든 암석분류,안산암,수직구
0,34.25564504,-1.475610689,0.093209855,모든 화약,모든 뇌관,모든 암석분류,응회암,모든 심발
0,-64.81915949,-1.107753879,0.233479962,모든 화약,모든 뇌관,모든 암석분류,응회암,Cylinder-cut
0,-14.68974306,-1.207710006,0.294003343,모든 화약,모든 뇌관,모든 암석분류,응회암,TBM 선굴착
0,38.95638191,-1.498698128,0.089139712,모든 화약,모든 뇌관,모든 암석분류,응회암,V-CUT
0,86.42146045,-1.471240419,0.037029503,모든 화약,모든 뇌관,모든 암석분류,응회암,라인 드릴링
0,151.5084622,-1.629520777,-0.005895192,모든 화약,모든 뇌관,모든 암석분류,응회암,분착식 다단발파
0,108.1086898,-1.543504587,0.083171168,모든 화약,모든 뇌관,모든 암석분류,응회암,선대구경
0,135.5520704,-1.602218135,0.087450395,모든 화약,모든 뇌관,모든 암석분류,응회암,수직구
0,46.83777406,-1.469033336,0.163181333,모든 화약,모든 뇌관,모든 암석분류,편마암,모든 심발
0,8.830058326,-1.170876499,0.15860234,모든 화약,모든 뇌관,모든 암석분류,편마암,Cylinder-cut
0,1.40028494,-1.215886009,0.310503475,모든 화약,모든 뇌관,모든 암석분류,편마암,TBM 선굴착
0,70.40543825,-1.566041403,0.151953676,모든 화약,모든 뇌관,모든 암석분류,편마암,V-CUT
0,0.771636476,-1.297537451,0.256335672,모든 화약,모든 뇌관,모든 암석분류,편마암,라인 드릴링
0,-5.299474793,-1.243131702,0.179940259,모든 화약,모든 뇌관,모든 암석분류,편마암,분착식 다단발파
0,28.92426005,-1.278245847,0.156247875,모든 화약,모든 뇌관,모든 암석분류,편마암,선대구경
0,28.19875254,-1.393255853,0.129222368,모든 화약,모든 뇌관,모든 암석분류,편마암,수직구
0,87.31557513,-1.617601153,0.112861102,모든 화약,모든 뇌관,모든 암석분류,편암,모든 심발
0,34.34738054,-1.311841529,0.160720704,모든 화약,모든 뇌관,모든 암석분류,편암,Cylinder-cut
0,9.810038532,-1.113833039,0.435391127,모든 화약,모든 뇌관,모든 암석분류,편암,TBM 선굴착
0,87.47395363,-1.617798752,0.113200166,모든 화약,모든 뇌관,모든 암석분류,편암,V-CUT
0,48.70464437,-1.730666442,0.06351192,모든 화약,모든 뇌관,모든 암석분류,편암,라인 드릴링
0,20.88134708,-1.672538949,0.008297131,모든 화약,모든 뇌관,모든 암석분류,편암,분착식 다단발파
