K,n,s,exp,det,rot,roc,cen
2.662292718887329,-0.9072355628013612,0.3817854355099359,1,1,1,0,1
131.13224792480472,-1.708310842514038,0.10138523700522244,1,1,1,0,3
36.02870559692383,-1.3745793104171753,0.1366072017946319,1,1,1,0,6
89.42182922363281,-1.6248043775558472,0.11536317856107295,1,1,1,0,0
103.37709045410156,-1.6863720417022705,0.0719913357998906,1,1,2,0,3
213.1823272705078,-1.7412407398223877,0.1024035448525348,1,1,2,0,5
184.99447631835938,-1.7741546630859375,0.09186421781862496,1,1,2,0,0
253.43663024902344,-2.034872055053711,0.06867805172134257,1,1,3,0,1
246.03753662109372,-1.6359012126922607,0.023163500242706917,1,1,3,0,2
251.9137115478516,-1.8154113292694087,0.1123967812773452,1,1,3,0,3
42.805023193359375,-1.497447490692139,0.10185041840960046,1,1,3,0,6
80.41178894042969,-1.3665086030960083,0.10510622282369532,1,1,3,0,7
114.60154724121094,-1.6707442998886108,0.13827019036132088,1,1,3,0,0
309.0848693847656,-1.8108389377593996,0.0497603944315288,1,1,0,1,3
309.5980224609375,-1.8111956119537356,0.049746371297537034,1,1,0,1,0
260.39657592773443,-2.0417313575744633,0.06835463521745314,1,1,0,11,1
252.08120727539062,-1.6415783166885376,0.023081931251930168,1,1,0,11,2
110.90213775634766,-1.7176194190979004,0.12085843318946075,1,1,0,11,3
41.99459838867188,-1.4929916858673096,0.1023340384927812,1,1,0,11,6
79.94245910644531,-1.3649494647979736,0.10524899574311493,1,1,0,11,7
110.8616943359375,-1.7141802310943604,0.13168180284876038,1,1,0,11,0
185.77716064453125,-1.8038696050643919,0.059300281003394566,1,1,0,2,3
206.59030151367188,-1.8274880647659304,0.05812468732987085,1,1,0,2,0
471.1945495605469,-1.811982274055481,0.04715628260301024,1,1,0,6,3
522.5737915039061,-1.8344475030899048,0.04635533743659195,1,1,0,6,0
57.15750503540039,-1.575232744216919,0.0820858612750504,1,1,0,7,3
41.92015075683594,-1.511036038398743,0.08798861121111295,1,1,0,7,0
6.265099048614503,-1.0969007015228271,0.24130082348506016,1,1,0,8,1
145.185546875,-1.7252424955368042,0.10098894403383472,1,1,0,8,3
36.03190231323242,-1.3745975494384766,0.1366040219120939,1,1,0,8,6
