K,n,s,exp,det,rot,roc,cen
8.000984191894531,-1.1214110851287842,0.16705626696811207,1,1,1,8,1
126.66068267822266,-1.6985950469970703,0.1121842221176556,1,1,1,8,3
57.45138168334961,-1.3994815349578855,0.11951669304034995,1,1,1,8,6
81.54644012451172,-1.5890905857086182,0.12768677545593982,1,1,1,8,0
129.23320007324222,-1.7456907033920288,0.08325179065693022,1,1,1,9,3
129.30685424804688,-1.745821237564087,0.08324243053070385,1,1,1,9,0
50.33803939819336,-1.5178033113479614,0.09277834913711153,1,1,1,0,1
123.90547943115234,-1.697859525680542,0.11050387958454416,1,1,1,0,3
57.4491081237793,-1.399473786354065,0.11951780913851234,1,1,1,0,6
81.1722183227539,-1.5918666124343872,0.12591410532315414,1,1,1,0,0
192.1344451904297,-1.846396565437317,0.055491748398028604,1,1,2,2,3
231.2508087158203,-1.8884087800979612,0.05355321475663363,1,1,2,2,0
43.718421936035156,-1.522185444831848,0.0872254188903146,1,1,2,7,3
35.14831924438477,-1.4769440889358518,0.09194610399017984,1,1,2,7,0
73.2982406616211,-1.6286799907684326,0.07516209259441596,1,1,2,0,3
128.35223388671878,-1.6732382774353027,0.11628799854611124,1,1,2,0,5
127.46310424804688,-1.7208844423294067,0.09481193439088223,1,1,2,0,0
319.1242980957031,-1.7606403827667236,0.05703840012642681,1,1,3,1,3
319.6553649902344,-1.7609868049621582,0.057022357994894426,1,1,3,1,0
405.3653869628906,-2.034757137298584,0.0638801009488508,1,1,3,11,1
388.86029052734375,-1.6536111831665041,0.021555053703368767,1,1,3,11,2
82.8179702758789,-1.6304004192352295,0.14050718956727284,1,1,3,11,3
45.72430038452149,-1.4795535802841189,0.09970873073206547,1,1,3,11,6
103.88611602783205,-1.329721212387085,0.10011477970463267,1,1,3,11,7
144.32261657714844,-1.7207089662551882,0.1357975020374672,1,1,3,11,0
219.541748046875,-1.7363572120666504,0.052660141362160726,1,1,3,6,3
226.90478515625,-1.7439005374908447,0.05234361569499367,1,1,3,6,0
395.7304992675781,-2.0289990901947017,0.06413369516536856,1,1,3,0,1
380.2981872558594,-1.6486700773239136,0.02161875678369157,1,1,3,0,2
