뇌관,암종,심발,SR SD,CR SD,최대입자속도
전자,화강암,선대구경,41.01,36.54,0.508
전자,화강암,선대구경,28.92,28.61,0.521
전자,화강암,선대구경,43.84,39.06,0.444
전자,화강암,선대구경,65.32,55.47,0.278
전자,화강암,선대구경,55.15,49.14,0.29100000000000004
전자,화강암,선대구경,39.25,38.83,0.281
전자,화강암,선대구경,57.98,51.66,0.237
전자,화강암,선대구경,81.65,69.34,0.113
전자,화강암,선대구경,69.3,61.74,0.09699999999999999
전자,화강암,선대구경,49.57,49.04,0.086
전자,화강암,선대구경,72.12,64.26,0.079
전자,화강암,선대구경,97.98,83.2,0.073
전자,화강암,선대구경,83.44,74.34,0.065
전자,화강암,선대구경,59.9,59.26,0.084
전자,화강암,선대구경,86.27,76.86,0.052000000000000005
전자,화강암,선대구경,114.31,97.07,0.076
전자,화강암,선대구경,97.58,86.93,0.079
전자,화강암,선대구경,70.23,69.48,0.062
전자,화강암,선대구경,100.41,89.45,0.064
전자,화강암,선대구경,130.64,110.94,0.049
전자,화강암,선대구경,111.72,99.53,0.07200000000000001
전자,화강암,선대구경,80.56,79.7,0.055999999999999994
전자,화강암,선대구경,114.55,102.05,0.046
