암석분류,SR SD,CR SD,최대입자속도
변성암,126.07,134.88,0.037000000000000005
변성암,179.09,170.71,0.032
변성암,152.3,152.3,0.044000000000000004
변성암,365.53,372.77,0.013999999999999999
변성암,362.79,369.99,0.012
변성암,311.98,333.8,0.015
변성암,366.19,373.45,0.011000000000000001
변성암,386.9,386.9,0.012
변성암,188.56,226.45,0.013000000000000001
변성암,308.39,314.51,0.011000000000000001
변성암,267.65,286.36,0.012
변성암,326.4,326.4,0.01
변성암,329.2,329.2,0.013999999999999999
변성암,23.59,26.19,0.272
변성암,28.38,28.94,0.267
변성암,31.77,32.4,0.35200000000000004
변성암,25.39,27.17,0.28800000000000003
변성암,32.15,32.79,0.36700000000000005
변성암,45.28,50.28,0.174
변성암,55.91,57.02,0.239
변성암,58.64,59.81,0.193
변성암,56.47,57.59,0.184
변성암,48.91,52.33,0.293
변성암,109.0,103.9,0.015
변성암,108.54,103.46,0.019
변성암,108.2,103.13,0.021
변성암,94.8,94.8,0.013000000000000001
변성암,94.8,94.8,0.013000000000000001
변성암,128.98,122.94,0.022000000000000002
변성암,129.67,123.6,0.015
변성암,112.6,112.6,0.011000000000000001
변성암,104.75,106.82,0.011000000000000001
변성암,104.75,106.82,0.013000000000000001
변성암,254.15,242.25,0.005
변성암,254.61,242.69,0.005
변성암,253.8,241.92,0.006
변성암,206.76,210.86,0.005
변성암,206.0,210.09,0.006
변성암,275.3,275.3,0.003
변성암,275.0,275.0,0.005
변성암,269.8,269.8,0.01
변성암,275.9,275.9,0.004
변성암,318.81,303.89,0.003
변성암,175.05,166.86,0.013000000000000001
변성암,178.52,170.16,0.01
변성암,175.86,167.63,0.011000000000000001
변성암,174.48,166.31,0.013999999999999999
변성암,155.0,155.0,0.006999999999999999
변성암,45.96,43.81,0.08
변성암,44.69,42.59,0.10300000000000001
변성암,39.2,39.2,0.084
변성암,38.84,39.61,0.09
변성암,38.09,38.84,0.095
변성암,65.71,67.02,0.023
변성암,66.47,67.79,0.03
변성암,67.98,69.32,0.021
변성암,259.18,264.32,0.011000000000000001
변성암,220.94,236.39,0.013000000000000001
변성암,223.97,239.62,0.009000000000000001
변성암,277.7,277.7,0.01
변성암,214.94,233.06,0.009000000000000001
변성암,299.8,299.8,0.01
변성암,232.83,252.45,0.011000000000000001
변성암,231.57,251.09,0.01
변성암,229.14,248.45,0.009000000000000001
변성암,228.59,247.86,0.008
변성암,250.88,255.86,0.013000000000000001
변성암,252.2,257.2,0.01
변성암,217.84,233.07,0.012
변성암,252.58,257.59,0.015
변성암,268.2,268.2,0.01
변성암,213.45,217.68,0.019
변성암,185.43,198.39,0.013000000000000001
변성암,227.8,227.8,0.016
변성암,175.72,190.53,0.017
변성암,176.11,190.96,0.016
변성암,56.47,57.59,0.102
변성암,49.4,52.85,0.11599999999999999
변성암,49.81,53.29,0.149
변성암,61.9,61.9,0.11699999999999999
변성암,64.3,64.3,0.156
변성암,58.57,65.04,0.079
변성암,68.18,72.94,0.094
