화약,뇌관,심발,SR SD,CR SD,최대입자속도
에멀젼C,비전기,V-CUT,18.8,14.92,3.2039999999999997
에멀젼C,비전기,V-CUT,18.8,14.92,2.97
에멀젼C,비전기,V-CUT,15.21,12.77,3.9
에멀젼C,비전기,V-CUT,15.21,12.77,2.609
에멀젼C,비전기,V-CUT,15.38,12.91,3.176
에멀젼C,비전기,V-CUT,15.38,12.91,2.6689999999999996
에멀젼C,비전기,V-CUT,179.2,142.23,0.040999999999999995
에멀젼C,비전기,V-CUT,152.47,127.99,0.062
에멀젼C,비전기,V-CUT,152.47,127.99,0.033
에멀젼C,비전기,V-CUT,151.62,127.28,0.06
에멀젼C,비전기,V-CUT,151.62,127.28,0.028999999999999998
에멀젼C,비전기,V-CUT,153.48,128.84,0.032
에멀젼C,비전기,V-CUT,50.7,50.7,0.17800000000000002
에멀젼C,비전기,V-CUT,98.6,78.26,0.14400000000000002
에멀젼C,비전기,V-CUT,98.6,78.26,0.139
에멀젼C,비전기,V-CUT,85.02,71.37,0.20199999999999999
에멀젼C,비전기,V-CUT,85.02,71.37,0.14300000000000002
에멀젼C,비전기,V-CUT,81.81,69.47,0.15
에멀젼C,비전기,V-CUT,80.7,80.7,0.062
에멀젼C,비전기,V-CUT,158.6,125.88,0.035
에멀젼C,비전기,V-CUT,158.6,125.88,0.038
에멀젼C,비전기,V-CUT,158.6,125.88,0.048
에멀젼C,비전기,V-CUT,158.6,125.88,0.039
에멀젼C,비전기,V-CUT,135.39,113.66,0.047
에멀젼C,비전기,V-CUT,111.4,111.4,0.038
에멀젼C,비전기,V-CUT,218.6,173.5,0.028999999999999998
에멀젼C,비전기,V-CUT,218.6,173.5,0.032
에멀젼C,비전기,V-CUT,217.2,172.39,0.033
에멀젼C,비전기,V-CUT,185.93,156.09,0.028999999999999998
에멀젼C,비전기,V-CUT,178.98,151.98,0.035
에멀젼C,비전기,V-CUT,84.2,66.83,0.16399999999999998
에멀젼C,비전기,V-CUT,48.41,45.61,0.14300000000000002
에멀젼C,비전기,V-CUT,47.57,44.82,0.136
에멀젼C,비전기,V-CUT,44.41,39.56,0.24
에멀젼C,비전기,V-CUT,44.41,39.56,0.198
에멀젼C,비전기,V-CUT,435.6,345.74,0.009000000000000001
에멀젼C,비전기,V-CUT,425.2,337.48,0.011000000000000001
에멀젼C,비전기,V-CUT,296.14,263.83,0.009000000000000001
에멀젼C,비전기,V-CUT,295.0,262.82,0.009000000000000001
에멀젼C,비전기,V-CUT,295.0,262.82,0.011000000000000001
에멀젼C,비전기,V-CUT,44.12,39.31,0.19399999999999998
에멀젼C,비전기,V-CUT,51.6,40.95,0.247
에멀젼C,비전기,V-CUT,55.0,43.65,0.222
에멀젼C,비전기,V-CUT,31.67,29.85,0.358
에멀젼C,비전기,V-CUT,34.42,32.44,0.244
에멀젼C,비전기,V-CUT,92.6,73.5,0.09300000000000001
에멀젼C,비전기,V-CUT,61.91,58.34,0.067
에멀젼C,비전기,V-CUT,63.47,59.8,0.071
에멀젼C,비전기,V-CUT,63.07,56.19,0.067
에멀젼C,비전기,V-CUT,61.94,55.18,0.115
에멀젼C,비전기,V-CUT,145.6,115.56,0.033
에멀젼C,비전기,V-CUT,132.0,104.77,0.051
에멀젼C,비전기,V-CUT,94.19,83.91,0.037000000000000005
에멀젼C,비전기,V-CUT,93.06,82.9,0.046
에멀젼C,비전기,V-CUT,91.92,81.89,0.043
에멀젼C,비전기,V-CUT,125.3,111.63,0.068
에멀젼C,비전기,V-CUT,129.4,115.28,0.026000000000000002
에멀젼C,비전기,V-CUT,174.2,138.26,0.032
에멀젼C,비전기,V-CUT,172.6,136.99,0.031
에멀젼C,비전기,V-CUT,120.77,107.6,0.034
에멀젼C,비전기,V-CUT,215.8,171.28,0.027000000000000003
에멀젼C,비전기,V-CUT,212.6,168.74,0.027000000000000003
에멀젼C,비전기,V-CUT,227.6,180.65,0.023
