화약,뇌관,심발,SR SD,CR SD,최대입자속도
정밀폭약,비전기,Cylinder-cut,65.05,46.0,0.114
정밀폭약,비전기,Cylinder-cut,76.37,54.0,0.049
정밀폭약,비전기,Cylinder-cut,104.65,74.0,0.038
정밀폭약,비전기,Cylinder-cut,147.08,104.0,0.019
정밀폭약,비전기,Cylinder-cut,175.36,124.0,0.018000000000000002
정밀폭약,비전기,Cylinder-cut,93.34,66.0,0.049
정밀폭약,비전기,Cylinder-cut,19.38,16.96,0.889
정밀폭약,비전기,Cylinder-cut,26.83,23.49,0.386
정밀폭약,비전기,Cylinder-cut,34.29,30.01,0.259
정밀폭약,비전기,Cylinder-cut,37.27,32.62,0.182
정밀폭약,비전기,Cylinder-cut,40.25,35.23,0.156
정밀폭약,비전기,Cylinder-cut,70.06,61.33,0.062
정밀폭약,비전기,Cylinder-cut,76.03,66.55,0.038
정밀폭약,비전기,Cylinder-cut,92.42,80.91,0.031
