화약,뇌관,암석분류,암종,SR SD,CR SD,최대입자속도
에멀젼C,비전기,변성암,편암,193.65,197.49,0.013999999999999999
에멀젼C,비전기,변성암,편암,192.99,196.82,0.018000000000000002
에멀젼C,비전기,변성암,편암,193.75,197.59,0.016
에멀젼C,비전기,변성암,편암,197.9,201.82,0.013999999999999999
에멀젼C,비전기,변성암,편암,180.85,188.93,0.018000000000000002
에멀젼C,비전기,변성암,편암,201.86,205.86,0.013000000000000001
에멀젼C,비전기,변성암,편암,202.61,206.63,0.013999999999999999
에멀젼C,비전기,변성암,편암,206.76,210.86,0.012
에멀젼C,비전기,변성암,편암,201.86,205.86,0.012
에멀젼C,비전기,변성암,편암,188.57,197.0,0.013000000000000001
에멀젼C,비전기,변성암,편암,31.84,34.07,0.15
에멀젼C,비전기,변성암,편암,35.07,35.77,0.21100000000000002
에멀젼C,비전기,변성암,편암,43.88,41.82,0.125
에멀젼C,비전기,변성암,편암,29.18,31.64,0.146
에멀젼C,비전기,변성암,편암,37.19,38.85,0.152
에멀젼C,비전기,변성암,편암,51.92,57.66,0.063
에멀젼C,비전기,변성암,편암,63.26,64.52,0.08
에멀젼C,비전기,변성암,편암,63.17,64.42,0.07400000000000001
에멀젼C,비전기,변성암,편암,63.26,64.52,0.055999999999999994
에멀젼C,비전기,변성암,편암,62.89,64.13,0.077
에멀젼C,비전기,변성암,편암,80.75,86.4,0.038
에멀젼C,비전기,변성암,편암,92.21,94.03,0.034
에멀젼C,비전기,변성암,편암,92.3,94.13,0.036000000000000004
에멀젼C,비전기,변성암,편암,96.45,98.36,0.034
에멀젼C,비전기,변성암,편암,119.05,113.48,0.024
에멀젼C,비전기,변성암,편암,105.25,112.6,0.025
에멀젼C,비전기,변성암,편암,208.7,177.22,0.018000000000000002
에멀젼C,비전기,변성암,편암,152.65,145.5,0.015
에멀젼C,비전기,변성암,편암,146.65,139.78,0.019
에멀젼C,비전기,변성암,편암,147.57,140.66,0.018000000000000002
에멀젼C,비전기,변성암,편암,131.86,141.08,0.018000000000000002
에멀젼C,비전기,변성암,편암,188.22,179.4,0.016
에멀젼C,비전기,변성암,편암,188.33,179.51,0.017
에멀젼C,비전기,변성암,편암,187.29,178.52,0.019
에멀젼C,비전기,변성암,편암,188.22,179.4,0.016
에멀젼C,비전기,변성암,편암,32.33,30.82,0.38
에멀젼C,비전기,변성암,편암,39.84,37.97,0.17
에멀젼C,비전기,변성암,편암,35.8,34.12,0.27
에멀젼C,비전기,변성암,편암,34.06,32.47,0.22
에멀젼C,비전기,변성암,편암,30.02,28.62,0.53
에멀젼C,비전기,변성암,편암,45.03,42.93,0.1
에멀젼C,비전기,변성암,편암,35.8,34.12,0.35
에멀젼C,비전기,변성암,편암,40.41,38.52,0.68
에멀젼C,비전기,변성암,편암,32.91,31.37,0.4
에멀젼C,비전기,변성암,편암,37.41,35.66,0.38
에멀젼C,비전기,변성암,편암,40.76,38.85,0.27
에멀젼C,비전기,변성암,편암,28.87,27.52,0.764
에멀젼C,비전기,변성암,편암,31.18,29.72,0.721
에멀젼C,비전기,변성암,편암,32.91,31.37,0.22
에멀젼C,비전기,변성암,편암,32.33,30.82,0.12
에멀젼C,비전기,변성암,편암,29.44,28.07,0.3
에멀젼C,비전기,변성암,편암,27.14,25.87,0.43
에멀젼C,비전기,변성암,편암,25.4,24.21,0.5
에멀젼C,비전기,변성암,편암,41.34,39.4,0.3
에멀젼C,비전기,변성암,편암,42.95,40.94,0.48
에멀젼C,비전기,변성암,편암,46.19,44.03,0.38
에멀젼C,비전기,변성암,편암,49.77,47.44,0.12
에멀젼C,비전기,변성암,편암,27.71,26.42,0.34600000000000003
에멀젼C,비전기,변성암,편암,25.4,24.21,0.603
