화약,뇌관,암석분류,암종,심발,SR SD,CR SD,최대입자속도
에멀젼C,전기,화성암,안산암,V-CUT,130.98,159.0,0.04
에멀젼C,전기,화성암,안산암,V-CUT,130.75,158.73,0.07
에멀젼C,전기,화성암,안산암,V-CUT,93.01,126.73,0.064
에멀젼C,전기,화성암,안산암,V-CUT,123.91,153.4,0.042
에멀젼C,전기,화성암,안산암,V-CUT,125.54,155.42,0.03
에멀젼C,전기,화성암,안산암,V-CUT,95.82,129.16,0.033
에멀젼C,전기,화성암,안산암,V-CUT,23.6,32.15,0.226
에멀젼C,전기,화성암,안산암,V-CUT,32.26,39.93,0.242
에멀젼C,전기,화성암,안산암,V-CUT,31.2,38.63,0.335
에멀젼C,전기,화성암,안산암,V-CUT,30.83,38.17,0.32899999999999996
에멀젼C,전기,화성암,안산암,V-CUT,27.71,35.98,0.335
에멀젼C,전기,화성암,안산암,V-CUT,26.18,35.57,0.318
에멀젼C,전기,화성암,안산암,V-CUT,35.3,48.1,0.20199999999999999
에멀젼C,전기,화성암,안산암,V-CUT,47.38,58.66,0.254
에멀젼C,전기,화성암,안산암,V-CUT,46.64,57.74,0.369
에멀젼C,전기,화성암,안산암,V-CUT,36.86,49.69,0.222
에멀젼C,전기,화성암,안산암,V-CUT,36.25,48.87,0.22899999999999998
에멀젼C,전기,화성암,안산암,V-CUT,38.5,51.9,0.271
에멀젼C,전기,화성암,안산암,V-CUT,62.88,77.84,0.136
에멀젼C,전기,화성암,안산암,V-CUT,62.67,77.58,0.133
에멀젼C,전기,화성암,안산암,V-CUT,48.91,65.93,0.142
에멀젼C,전기,화성암,안산암,V-CUT,48.09,64.83,0.141
에멀젼C,전기,화성암,안산암,V-CUT,63.03,78.04,0.122
에멀젼C,전기,화성암,안산암,V-CUT,48.49,65.89,0.125
에멀젼C,전기,화성암,안산암,V-CUT,78.69,97.41,0.10300000000000001
에멀젼C,전기,화성암,안산암,V-CUT,79.95,98.98,0.08800000000000001
에멀젼C,전기,화성암,안산암,V-CUT,61.32,82.66,0.092
에멀젼C,전기,화성암,안산암,V-CUT,66.46,86.9,0.16399999999999998
에멀젼C,전기,화성암,안산암,V-CUT,61.0,82.9,0.09699999999999999
에멀젼C,전기,화성암,안산암,V-CUT,60.44,82.14,0.121
에멀젼C,전기,화성암,안산암,V-CUT,29.41,31.81,0.509
에멀젼C,전기,화성암,안산암,V-CUT,30.52,33.0,0.321
에멀젼C,전기,화성암,안산암,V-CUT,28.07,30.35,0.336
에멀젼C,전기,화성암,안산암,V-CUT,28.86,31.21,0.325
에멀젼C,전기,화성암,안산암,V-CUT,31.68,32.65,0.369
에멀젼C,전기,화성암,안산암,V-CUT,42.45,45.91,0.245
에멀젼C,전기,화성암,안산암,V-CUT,49.39,50.91,0.209
에멀젼C,전기,화성암,안산암,V-CUT,49.3,50.82,0.237
에멀젼C,전기,화성암,안산암,V-CUT,46.23,48.9,0.16699999999999998
에멀젼C,전기,화성암,안산암,V-CUT,53.0,53.0,0.17300000000000001
에멀젼C,전기,화성암,안산암,V-CUT,81.34,83.85,0.141
에멀젼C,전기,화성암,안산암,V-CUT,88.8,88.8,0.10400000000000001
에멀젼C,전기,화성암,안산암,V-CUT,79.69,82.15,0.094
에멀젼C,전기,화성암,안산암,V-CUT,79.05,81.49,0.1
에멀젼C,전기,화성암,안산암,V-CUT,88.1,88.1,0.08800000000000001
에멀젼C,전기,화성암,안산암,V-CUT,29.83,31.55,0.679
에멀젼C,전기,화성암,안산암,V-CUT,32.68,33.69,0.6659999999999999
에멀젼C,전기,화성암,안산암,V-CUT,30.03,30.96,0.815
에멀젼C,전기,화성암,안산암,V-CUT,30.67,31.62,0.6859999999999999
에멀젼C,전기,화성암,안산암,V-CUT,34.0,34.0,0.688
에멀젼C,전기,화성암,안산암,V-CUT,14.06,14.49,1.6369999999999998
에멀젼C,전기,화성암,안산암,V-CUT,13.52,14.3,1.524
에멀젼C,전기,화성암,안산암,V-CUT,15.4,15.4,1.768
에멀젼C,전기,화성암,안산암,V-CUT,17.0,17.0,1.5319999999999998
에멀젼C,전기,화성암,안산암,V-CUT,16.0,16.0,1.695
에멀젼C,전기,화성암,안산암,V-CUT,95.18,102.94,0.053
에멀젼C,전기,화성암,안산암,V-CUT,110.27,113.68,0.054000000000000006
에멀젼C,전기,화성암,안산암,V-CUT,109.18,112.55,0.06
에멀젼C,전기,화성암,안산암,V-CUT,118.2,118.2,0.077
에멀젼C,전기,화성암,안산암,V-CUT,118.8,118.8,0.062
에멀젼C,전기,화성암,안산암,V-CUT,206.18,222.98,0.013999999999999999
에멀젼C,전기,화성암,안산암,V-CUT,206.26,223.07,0.013999999999999999
에멀젼C,전기,화성암,안산암,V-CUT,206.81,223.66,0.008
에멀젼C,전기,화성암,안산암,V-CUT,206.73,223.58,0.009000000000000001
에멀젼C,전기,화성암,안산암,V-CUT,241.91,249.37,0.011000000000000001
에멀젼C,전기,화성암,안산암,V-CUT,231.95,250.85,0.018000000000000002
에멀젼C,전기,화성암,안산암,V-CUT,271.12,279.49,0.016
에멀젼C,전기,화성암,안산암,V-CUT,272.58,280.99,0.013000000000000001
에멀젼C,전기,화성암,안산암,V-CUT,249.66,264.06,0.018000000000000002
에멀젼C,전기,화성암,안산암,V-CUT,297.0,297.0,0.013000000000000001
에멀젼C,전기,화성암,안산암,V-CUT,40.62,41.88,0.29100000000000004
에멀젼C,전기,화성암,안산암,V-CUT,45.3,45.3,0.23
에멀젼C,전기,화성암,안산암,V-CUT,39.8,41.03,0.308
에멀젼C,전기,화성암,안산암,V-CUT,38.16,39.34,0.391
에멀젼C,전기,화성암,안산암,V-CUT,42.6,42.6,0.322
에멀젼C,전기,화성암,안산암,V-CUT,43.19,45.68,0.282
에멀젼C,전기,화성암,안산암,V-CUT,46.92,48.37,0.258
에멀젼C,전기,화성암,안산암,V-CUT,46.19,47.62,0.316
에멀젼C,전기,화성암,안산암,V-CUT,45.46,46.86,0.364
에멀젼C,전기,화성암,안산암,V-CUT,57.0,57.0,0.13
에멀젼C,전기,화성암,안산암,V-CUT,62.35,64.27,0.136
에멀젼C,전기,화성암,안산암,V-CUT,63.72,67.4,0.11599999999999999
에멀젼C,전기,화성암,안산암,V-CUT,64.8,64.8,0.191
에멀젼C,전기,화성암,안산암,V-CUT,67.5,67.5,0.139
에멀젼C,전기,화성암,안산암,V-CUT,65.6,65.6,0.183
에멀젼C,전기,화성암,안산암,V-CUT,71.07,76.86,0.135
에멀젼C,전기,화성암,안산암,V-CUT,80.52,83.0,0.09699999999999999
에멀젼C,전기,화성암,안산암,V-CUT,78.87,81.31,0.149
에멀젼C,전기,화성암,안산암,V-CUT,84.8,84.8,0.153
에멀젼C,전기,화성암,안산암,V-CUT,85.6,85.6,0.151
에멀젼C,전기,화성암,안산암,V-CUT,88.91,94.04,0.125
에멀젼C,전기,화성암,안산암,V-CUT,90.77,96.01,0.149
에멀젼C,전기,화성암,안산암,V-CUT,96.4,99.37,0.157
에멀젼C,전기,화성암,안산암,V-CUT,96.4,99.37,0.172
에멀젼C,전기,화성암,안산암,V-CUT,89.67,94.84,0.237
에멀젼C,전기,화성암,안산암,V-CUT,190.2,150.96,0.015
에멀젼C,전기,화성암,안산암,V-CUT,216.39,163.71,0.012
에멀젼C,전기,화성암,안산암,V-CUT,218.01,164.93,0.012
에멀젼C,전기,화성암,안산암,V-CUT,225.86,170.87,0.012
에멀젼C,전기,화성암,안산암,V-CUT,223.78,169.3,0.016
에멀젼C,전기,화성암,안산암,V-CUT,224.94,170.17,0.017
에멀젼C,전기,화성암,안산암,V-CUT,370.85,314.92,0.008
에멀젼C,전기,화성암,안산암,V-CUT,370.53,314.65,0.011000000000000001
에멀젼C,전기,화성암,안산암,V-CUT,369.55,313.82,0.012
에멀젼C,전기,화성암,안산암,V-CUT,368.57,312.98,0.012
에멀젼C,전기,화성암,안산암,V-CUT,367.59,312.15,0.013999999999999999
에멀젼C,전기,화성암,안산암,V-CUT,360.56,306.19,0.013999999999999999
에멀젼C,전기,화성암,안산암,V-CUT,93.73,79.6,0.12
에멀젼C,전기,화성암,안산암,V-CUT,92.75,78.77,0.161
에멀젼C,전기,화성암,안산암,V-CUT,126.56,95.74,0.087
에멀젼C,전기,화성암,안산암,V-CUT,127.02,96.09,0.095
에멀젼C,전기,화성암,안산암,V-CUT,125.86,95.22,0.081
에멀젼C,전기,화성암,안산암,V-CUT,91.61,77.8,0.086
에멀젼C,전기,화성암,안산암,V-CUT,76.91,65.31,0.139
에멀젼C,전기,화성암,안산암,V-CUT,79.04,67.12,0.111
에멀젼C,전기,화성암,안산암,V-CUT,76.91,65.31,0.131
에멀젼C,전기,화성암,안산암,V-CUT,99.4,78.89,0.084
에멀젼C,전기,화성암,안산암,V-CUT,102.77,77.75,0.09699999999999999
에멀젼C,전기,화성암,안산암,V-CUT,75.44,64.07,0.105
에멀젼C,전기,화성암,안산암,V-CUT,89.81,76.27,0.084
에멀젼C,전기,화성암,안산암,V-CUT,87.53,74.33,0.109
에멀젼C,전기,화성암,안산암,V-CUT,87.69,74.47,0.15
에멀젼C,전기,화성암,안산암,V-CUT,116.86,88.41,0.09
에멀젼C,전기,화성암,안산암,V-CUT,114.55,86.66,0.106
에멀젼C,전기,화성암,안산암,V-CUT,85.24,72.39,0.079
