암종,심발,SR SD,CR SD,최대입자속도
안산암,V-CUT,130.98,159.0,0.04
안산암,V-CUT,130.75,158.73,0.07
안산암,V-CUT,93.01,126.73,0.064
안산암,V-CUT,123.91,153.4,0.042
안산암,V-CUT,125.54,155.42,0.03
안산암,V-CUT,95.82,129.16,0.033
안산암,V-CUT,23.6,32.15,0.226
안산암,V-CUT,32.26,39.93,0.242
안산암,V-CUT,31.2,38.63,0.335
안산암,V-CUT,30.83,38.17,0.32899999999999996
안산암,V-CUT,27.71,35.98,0.335
안산암,V-CUT,26.18,35.57,0.318
안산암,V-CUT,35.3,48.1,0.20199999999999999
안산암,V-CUT,47.38,58.66,0.254
안산암,V-CUT,46.64,57.74,0.369
안산암,V-CUT,36.86,49.69,0.222
안산암,V-CUT,36.25,48.87,0.22899999999999998
안산암,V-CUT,38.5,51.9,0.271
안산암,V-CUT,62.88,77.84,0.136
안산암,V-CUT,62.67,77.58,0.133
안산암,V-CUT,48.91,65.93,0.142
안산암,V-CUT,48.09,64.83,0.141
안산암,V-CUT,63.03,78.04,0.122
안산암,V-CUT,48.49,65.89,0.125
안산암,V-CUT,78.69,97.41,0.10300000000000001
안산암,V-CUT,79.95,98.98,0.08800000000000001
안산암,V-CUT,61.32,82.66,0.092
안산암,V-CUT,66.46,86.9,0.16399999999999998
안산암,V-CUT,61.0,82.9,0.09699999999999999
안산암,V-CUT,60.44,82.14,0.121
안산암,V-CUT,198.91,215.11,0.024
안산암,V-CUT,114.57,148.8,0.042
안산암,V-CUT,114.38,148.56,0.047
안산암,V-CUT,178.05,199.85,0.027000000000000003
안산암,V-CUT,125.4,157.99,0.027999999999999997
안산암,V-CUT,100.59,135.6,0.044000000000000004
안산암,V-CUT,99.78,134.5,0.055
안산암,V-CUT,100.96,136.09,0.042
안산암,V-CUT,124.1,156.36,0.034
안산암,V-CUT,122.75,154.66,0.045
안산암,V-CUT,28.3,36.75,0.872
안산암,V-CUT,28.44,36.93,0.768
