화약,뇌관,암석분류,SR SD,CR SD,최대입자속도
정밀폭약,비전기,화성암,19.38,16.96,0.889
정밀폭약,비전기,화성암,26.83,23.49,0.386
정밀폭약,비전기,화성암,34.29,30.01,0.259
정밀폭약,비전기,화성암,37.27,32.62,0.182
정밀폭약,비전기,화성암,40.25,35.23,0.156
정밀폭약,비전기,화성암,70.06,61.33,0.062
정밀폭약,비전기,화성암,76.03,66.55,0.038
정밀폭약,비전기,화성암,92.42,80.91,0.031
정밀폭약,비전기,화성암,21.91,20.52,0.175
정밀폭약,비전기,화성암,27.99,26.22,0.252
정밀폭약,비전기,화성암,46.25,43.32,0.081
정밀폭약,비전기,화성암,57.21,53.58,0.035
정밀폭약,비전기,화성암,59.64,55.86,0.044000000000000004
정밀폭약,비전기,화성암,58.42,54.72,0.068
정밀폭약,비전기,화성암,70.6,66.12,0.07200000000000001
정밀폭약,비전기,화성암,82.77,77.52,0.053
정밀폭약,비전기,화성암,94.94,88.92,0.026000000000000002
정밀폭약,비전기,화성암,119.28,111.72,0.032
정밀폭약,비전기,화성암,225.17,210.9,0.006999999999999999
