화약,암석분류,암종,SR SD,CR SD,최대입자속도
정밀폭약,화성암,화강암,19.38,16.96,0.889
정밀폭약,화성암,화강암,26.83,23.49,0.386
정밀폭약,화성암,화강암,34.29,30.01,0.259
정밀폭약,화성암,화강암,37.27,32.62,0.182
정밀폭약,화성암,화강암,40.25,35.23,0.156
정밀폭약,화성암,화강암,70.06,61.33,0.062
정밀폭약,화성암,화강암,76.03,66.55,0.038
정밀폭약,화성암,화강암,92.42,80.91,0.031
정밀폭약,화성암,화강암,23.19,18.09,0.24100000000000002
정밀폭약,화성암,화강암,67.46,52.61,0.095
정밀폭약,화성암,화강암,80.11,62.48,0.067
정밀폭약,화성암,화강암,101.19,78.92,0.040999999999999995
정밀폭약,화성암,화강암,109.63,85.5,0.013999999999999999
정밀폭약,화성암,화강암,122.27,95.36,0.025
정밀폭약,화성암,화강암,217.14,169.35,0.003
정밀폭약,화성암,화강암,229.79,179.21,0.016
정밀폭약,화성암,화강암,320.44,249.91,0.003
정밀폭약,화성암,화강암,550.24,429.12,0.006999999999999999
정밀폭약,화성암,화강암,23.0,16.95,0.419
정밀폭약,화성암,화강암,32.5,23.95,0.381
정밀폭약,화성암,화강암,98.75,72.76,0.049
정밀폭약,화성암,화강암,145.0,106.84,0.051
정밀폭약,화성암,화강암,170.0,125.26,0.037000000000000005
정밀폭약,화성암,화강암,195.0,143.68,0.035
정밀폭약,화성암,화강암,220.0,162.1,0.027000000000000003
정밀폭약,화성암,화강암,95.0,70.0,0.068
정밀폭약,화성암,화강암,120.0,88.42,0.028999999999999998
정밀폭약,화성암,화강암,145.0,106.84,0.006
정밀폭약,화성암,화강암,170.0,125.26,0.01
정밀폭약,화성암,화강암,195.0,143.68,0.008
정밀폭약,화성암,화강암,52.5,38.68,0.08900000000000001
정밀폭약,화성암,화강암,395.0,291.04,0.012
정밀폭약,화성암,화강암,425.0,313.14,0.027000000000000003
정밀폭약,화성암,화강암,21.91,20.52,0.175
정밀폭약,화성암,화강암,27.99,26.22,0.252
정밀폭약,화성암,화강암,46.25,43.32,0.081
정밀폭약,화성암,화강암,57.21,53.58,0.035
정밀폭약,화성암,화강암,59.64,55.86,0.044000000000000004
정밀폭약,화성암,화강암,58.42,54.72,0.068
정밀폭약,화성암,화강암,70.6,66.12,0.07200000000000001
정밀폭약,화성암,화강암,82.77,77.52,0.053
정밀폭약,화성암,화강암,94.94,88.92,0.026000000000000002
정밀폭약,화성암,화강암,119.28,111.72,0.032
정밀폭약,화성암,화강암,225.17,210.9,0.006999999999999999
정밀폭약,화성암,화강암,40.25,30.78,0.289
정밀폭약,화성암,화강암,51.43,39.33,0.051
정밀폭약,화성암,화강암,84.97,64.98,0.064
정밀폭약,화성암,화강암,105.1,80.37,0.042
정밀폭약,화성암,화강암,109.57,83.79,0.038
정밀폭약,화성암,화강암,107.33,82.08,0.048
정밀폭약,화성암,화강암,129.69,99.18,0.02
정밀폭약,화성암,화강암,152.05,116.28,0.016
정밀폭약,화성암,화강암,174.41,133.38,0.013000000000000001
정밀폭약,화성암,화강암,219.13,167.58,0.013000000000000001
정밀폭약,화성암,화강암,39.76,30.53,0.47600000000000003
정밀폭약,화성암,화강암,61.84,47.49,0.225
정밀폭약,화성암,화강암,72.88,55.97,0.171
정밀폭약,화성암,화강암,106.01,81.41,0.10300000000000001
정밀폭약,화성암,화강암,132.52,101.76,0.06
정밀폭약,화성암,화강암,161.23,123.81,0.084
정밀폭약,화성암,화강암,194.36,149.24,0.005
정밀폭약,화성암,화강암,72.88,55.97,0.114
정밀폭약,화성암,화강암,106.01,81.41,0.013000000000000001
정밀폭약,화성암,화강암,128.1,98.37,0.037000000000000005
정밀폭약,화성암,화강암,150.19,115.33,0.018000000000000002
정밀폭약,화성암,화강암,172.27,132.28,0.006
정밀폭약,화성암,화강암,194.36,149.24,0.005
정밀폭약,화성암,화강암,216.45,166.2,0.006
정밀폭약,화성암,화강암,71.18,57.74,0.064
정밀폭약,화성암,화강암,89.91,72.94,0.033
정밀폭약,화성암,화강암,108.64,88.13,0.028999999999999998
정밀폭약,화성암,화강암,127.38,103.33,0.040999999999999995
정밀폭약,화성암,화강암,146.11,118.53,0.024
정밀폭약,화성암,화강암,164.84,133.72,0.013999999999999999
정밀폭약,화성암,화강암,187.32,151.96,0.013999999999999999
정밀폭약,화성암,화강암,228.53,185.39,0.013000000000000001
정밀폭약,화성암,화강암,192.94,156.51,0.017
정밀폭약,화성암,화강암,80.11,62.48,0.10300000000000001
정밀폭약,화성암,화강암,111.73,87.14,0.040999999999999995
정밀폭약,화성암,화강암,145.46,113.45,0.035
정밀폭약,화성암,화강암,174.98,136.46,0.003
정밀폭약,화성암,화강암,206.6,161.13,0.006
정밀폭약,화성암,화강암,282.5,220.31,0.006
