화약,뇌관,암석분류,암종,SR SD,CR SD,최대입자속도
에멀젼C,전자,화성암,화강암,30.02,22.71,0.24100000000000002
에멀젼C,전자,화성암,화강암,27.71,20.97,0.22899999999999998
에멀젼C,전자,화성암,화강암,32.33,24.46,0.17800000000000002
에멀젼C,전자,화성암,화강암,78.52,59.4,0.057999999999999996
에멀젼C,전자,화성암,화강암,76.21,57.66,0.102
에멀젼C,전자,화성암,화강암,80.83,61.15,0.079
에멀젼C,전자,화성암,화강암,92.38,69.89,0.04
에멀젼C,전자,화성암,화강암,90.07,68.14,0.084
에멀젼C,전자,화성암,화강암,94.69,71.63,0.052000000000000005
에멀젼C,전자,화성암,화강암,115.47,87.36,0.033
에멀젼C,전자,화성암,화강암,113.16,85.61,0.049
에멀젼C,전자,화성암,화강암,117.78,89.11,0.051
에멀젼C,전자,화성암,화강암,124.71,94.35,0.075
에멀젼C,전자,화성암,화강암,122.4,92.6,0.095
에멀젼C,전자,화성암,화강암,127.02,96.09,0.07
에멀젼C,전자,화성암,화강암,138.56,104.83,0.022000000000000002
에멀젼C,전자,화성암,화강암,136.25,103.08,0.024
에멀젼C,전자,화성암,화강암,140.87,106.58,0.024
에멀젼C,전자,화성암,화강암,242.49,183.45,0.011000000000000001
에멀젼C,전자,화성암,화강암,240.18,181.7,0.011000000000000001
에멀젼C,전자,화성암,화강암,244.8,185.2,0.002
에멀젼C,전자,화성암,화강암,256.34,193.93,0.016
에멀젼C,전자,화성암,화강암,254.03,192.19,0.016
에멀젼C,전자,화성암,화강암,258.65,195.68,0.027000000000000003
에멀젼C,전자,화성암,화강암,355.65,269.06,0.021
에멀젼C,전자,화성암,화강암,353.34,267.32,0.024
에멀젼C,전자,화성암,화강암,357.96,270.81,0.003
에멀젼C,전자,화성암,화강암,607.37,459.5,0.004
에멀젼C,전자,화성암,화강암,605.06,457.76,0.006
에멀젼C,전자,화성암,화강암,609.68,461.25,0.006999999999999999
에멀젼C,전자,화성암,화강암,25.5,18.79,0.34299999999999997
에멀젼C,전자,화성암,화강암,30.0,22.1,0.152
에멀젼C,전자,화성암,화강암,35.0,25.79,0.34299999999999997
에멀젼C,전자,화성암,화강암,40.0,29.47,0.22899999999999998
