화약,뇌관,심발,SR SD,CR SD,최대입자속도
에멀젼C,비전기,Cylinder-cut,118.7,121.05,0.031
에멀젼C,비전기,Cylinder-cut,134.81,131.84,0.038
에멀젼C,비전기,Cylinder-cut,132.56,129.64,0.043
에멀젼C,비전기,Cylinder-cut,132.35,129.43,0.037000000000000005
에멀젼C,비전기,Cylinder-cut,130.85,127.97,0.049
에멀젼C,비전기,Cylinder-cut,112.25,109.78,0.059000000000000004
에멀젼C,비전기,Cylinder-cut,111.18,108.73,0.045
에멀젼C,비전기,Cylinder-cut,109.04,106.64,0.057999999999999996
에멀젼C,비전기,Cylinder-cut,109.58,107.17,0.067
에멀젼C,비전기,Cylinder-cut,107.87,105.49,0.057
에멀젼C,비전기,Cylinder-cut,128.39,125.57,0.039
에멀젼C,비전기,Cylinder-cut,126.68,123.89,0.04
에멀젼C,비전기,Cylinder-cut,127.0,124.21,0.051
에멀젼C,비전기,Cylinder-cut,124.01,121.28,0.048
에멀젼C,비전기,Cylinder-cut,125.08,122.33,0.037000000000000005
에멀젼C,비전기,Cylinder-cut,154.26,150.87,0.02
에멀젼C,비전기,Cylinder-cut,153.3,149.93,0.03
에멀젼C,비전기,Cylinder-cut,153.3,149.93,0.021
에멀젼C,비전기,Cylinder-cut,153.19,149.82,0.027000000000000003
에멀젼C,비전기,Cylinder-cut,162.0,154.42,0.022000000000000002
에멀젼C,비전기,Cylinder-cut,87.78,89.52,0.065
에멀젼C,비전기,Cylinder-cut,99.21,97.02,0.055999999999999994
에멀젼C,비전기,Cylinder-cut,96.21,94.1,0.064
에멀젼C,비전기,Cylinder-cut,95.15,93.05,0.055
에멀젼C,비전기,Cylinder-cut,97.07,94.93,0.06
에멀젼C,비전기,Cylinder-cut,51.95,52.98,0.11800000000000001
에멀젼C,비전기,Cylinder-cut,59.23,57.92,0.09300000000000001
에멀젼C,비전기,Cylinder-cut,57.62,56.35,0.114
에멀젼C,비전기,Cylinder-cut,56.98,55.73,0.10099999999999999
에멀젼C,비전기,Cylinder-cut,59.7,56.9,0.091
에멀젼C,비전기,Cylinder-cut,69.96,71.34,0.10800000000000001
