화약,뇌관,암석분류,암종,SR SD,CR SD,최대입자속도
정밀폭약,전자,화성암,화강암,23.19,18.09,0.24100000000000002
정밀폭약,전자,화성암,화강암,67.46,52.61,0.095
정밀폭약,전자,화성암,화강암,80.11,62.48,0.067
정밀폭약,전자,화성암,화강암,101.19,78.92,0.040999999999999995
정밀폭약,전자,화성암,화강암,109.63,85.5,0.013999999999999999
정밀폭약,전자,화성암,화강암,122.27,95.36,0.025
정밀폭약,전자,화성암,화강암,217.14,169.35,0.003
정밀폭약,전자,화성암,화강암,229.79,179.21,0.016
정밀폭약,전자,화성암,화강암,320.44,249.91,0.003
정밀폭약,전자,화성암,화강암,550.24,429.12,0.006999999999999999
정밀폭약,전자,화성암,화강암,23.0,16.95,0.419
정밀폭약,전자,화성암,화강암,32.5,23.95,0.381
정밀폭약,전자,화성암,화강암,98.75,72.76,0.049
정밀폭약,전자,화성암,화강암,145.0,106.84,0.051
정밀폭약,전자,화성암,화강암,170.0,125.26,0.037000000000000005
정밀폭약,전자,화성암,화강암,195.0,143.68,0.035
정밀폭약,전자,화성암,화강암,220.0,162.1,0.027000000000000003
정밀폭약,전자,화성암,화강암,95.0,70.0,0.068
정밀폭약,전자,화성암,화강암,120.0,88.42,0.028999999999999998
정밀폭약,전자,화성암,화강암,145.0,106.84,0.006
정밀폭약,전자,화성암,화강암,170.0,125.26,0.01
정밀폭약,전자,화성암,화강암,195.0,143.68,0.008
정밀폭약,전자,화성암,화강암,52.5,38.68,0.08900000000000001
정밀폭약,전자,화성암,화강암,395.0,291.04,0.012
정밀폭약,전자,화성암,화강암,425.0,313.14,0.027000000000000003
정밀폭약,전자,화성암,화강암,40.25,30.78,0.289
정밀폭약,전자,화성암,화강암,51.43,39.33,0.051
정밀폭약,전자,화성암,화강암,84.97,64.98,0.064
정밀폭약,전자,화성암,화강암,105.1,80.37,0.042
정밀폭약,전자,화성암,화강암,109.57,83.79,0.038
정밀폭약,전자,화성암,화강암,107.33,82.08,0.048
정밀폭약,전자,화성암,화강암,129.69,99.18,0.02
정밀폭약,전자,화성암,화강암,152.05,116.28,0.016
정밀폭약,전자,화성암,화강암,174.41,133.38,0.013000000000000001
정밀폭약,전자,화성암,화강암,219.13,167.58,0.013000000000000001
정밀폭약,전자,화성암,화강암,39.76,30.53,0.47600000000000003
