암석분류,암종,SR SD,CR SD,최대입자속도
퇴적암,석회암,40.0,31.75,0.064
퇴적암,석회암,38.0,30.16,0.106
퇴적암,석회암,37.95,29.59,0.083
퇴적암,석회암,42.0,33.34,0.079
퇴적암,석회암,60.0,47.62,0.073
퇴적암,석회암,58.0,46.03,0.098
퇴적암,석회암,59.03,46.04,0.064
퇴적암,석회암,62.0,49.21,0.071
퇴적암,석회암,76.0,60.32,0.092
퇴적암,석회암,74.0,58.73,0.11900000000000001
퇴적암,석회암,75.89,59.19,0.066
퇴적암,석회암,78.0,61.91,0.087
퇴적암,석회암,82.0,65.08,0.064
퇴적암,석회암,80.0,63.5,0.083
퇴적암,석회암,82.22,64.12,0.059000000000000004
퇴적암,석회암,84.0,66.67,0.064
퇴적암,석회암,100.0,79.37,0.039
퇴적암,석회암,98.0,77.78,0.034
퇴적암,석회암,101.19,78.92,0.006999999999999999
퇴적암,석회암,102.0,80.96,0.006999999999999999
퇴적암,석회암,120.0,95.24,0.019
퇴적암,석회암,118.0,93.66,0.021
퇴적암,석회암,122.27,95.36,0.019
퇴적암,석회암,122.0,96.83,0.019
퇴적암,석회암,140.0,111.12,0.019
퇴적암,석회암,138.0,109.53,0.019
퇴적암,석회암,143.36,111.8,0.005
퇴적암,석회암,142.0,112.71,0.005
