뇌관,암석분류,암종,심발,SR SD,CR SD,최대입자속도
전자,화성암,화강암,Cylinder-cut,30.02,22.71,0.24100000000000002
전자,화성암,화강암,Cylinder-cut,27.71,20.97,0.22899999999999998
전자,화성암,화강암,Cylinder-cut,23.19,18.09,0.24100000000000002
전자,화성암,화강암,Cylinder-cut,32.33,24.46,0.17800000000000002
전자,화성암,화강암,Cylinder-cut,78.52,59.4,0.057999999999999996
전자,화성암,화강암,Cylinder-cut,76.21,57.66,0.102
전자,화성암,화강암,Cylinder-cut,67.46,52.61,0.095
전자,화성암,화강암,Cylinder-cut,80.83,61.15,0.079
전자,화성암,화강암,Cylinder-cut,92.38,69.89,0.04
전자,화성암,화강암,Cylinder-cut,90.07,68.14,0.084
전자,화성암,화강암,Cylinder-cut,80.11,62.48,0.067
전자,화성암,화강암,Cylinder-cut,94.69,71.63,0.052000000000000005
전자,화성암,화강암,Cylinder-cut,115.47,87.36,0.033
전자,화성암,화강암,Cylinder-cut,113.16,85.61,0.049
전자,화성암,화강암,Cylinder-cut,101.19,78.92,0.040999999999999995
전자,화성암,화강암,Cylinder-cut,117.78,89.11,0.051
전자,화성암,화강암,Cylinder-cut,124.71,94.35,0.075
전자,화성암,화강암,Cylinder-cut,122.4,92.6,0.095
전자,화성암,화강암,Cylinder-cut,109.63,85.5,0.013999999999999999
전자,화성암,화강암,Cylinder-cut,127.02,96.09,0.07
전자,화성암,화강암,Cylinder-cut,138.56,104.83,0.022000000000000002
전자,화성암,화강암,Cylinder-cut,136.25,103.08,0.024
전자,화성암,화강암,Cylinder-cut,122.27,95.36,0.025
전자,화성암,화강암,Cylinder-cut,140.87,106.58,0.024
전자,화성암,화강암,Cylinder-cut,242.49,183.45,0.011000000000000001
전자,화성암,화강암,Cylinder-cut,240.18,181.7,0.011000000000000001
전자,화성암,화강암,Cylinder-cut,217.14,169.35,0.003
전자,화성암,화강암,Cylinder-cut,244.8,185.2,0.002
전자,화성암,화강암,Cylinder-cut,256.34,193.93,0.016
전자,화성암,화강암,Cylinder-cut,254.03,192.19,0.016
전자,화성암,화강암,Cylinder-cut,229.79,179.21,0.016
전자,화성암,화강암,Cylinder-cut,258.65,195.68,0.027000000000000003
전자,화성암,화강암,Cylinder-cut,355.65,269.06,0.021
전자,화성암,화강암,Cylinder-cut,353.34,267.32,0.024
전자,화성암,화강암,Cylinder-cut,320.44,249.91,0.003
전자,화성암,화강암,Cylinder-cut,357.96,270.81,0.003
전자,화성암,화강암,Cylinder-cut,607.37,459.5,0.004
전자,화성암,화강암,Cylinder-cut,605.06,457.76,0.006
전자,화성암,화강암,Cylinder-cut,550.24,429.12,0.006999999999999999
전자,화성암,화강암,Cylinder-cut,609.68,461.25,0.006999999999999999
전자,화성암,화강암,Cylinder-cut,25.5,18.79,0.34299999999999997
전자,화성암,화강암,Cylinder-cut,23.0,16.95,0.419
전자,화성암,화강암,Cylinder-cut,30.0,22.1,0.152
전자,화성암,화강암,Cylinder-cut,35.0,25.79,0.34299999999999997
전자,화성암,화강암,Cylinder-cut,32.5,23.95,0.381
전자,화성암,화강암,Cylinder-cut,40.0,29.47,0.22899999999999998
전자,화성암,화강암,Cylinder-cut,101.25,74.6,0.064
전자,화성암,화강암,Cylinder-cut,98.75,72.76,0.049
전자,화성암,화강암,Cylinder-cut,102.5,75.52,0.439
전자,화성암,화강암,Cylinder-cut,150.0,110.52,0.016
전자,화성암,화강암,Cylinder-cut,147.5,108.68,0.048
전자,화성암,화강암,Cylinder-cut,145.0,106.84,0.051
전자,화성암,화강암,Cylinder-cut,152.5,112.36,0.03
전자,화성암,화강암,Cylinder-cut,175.0,128.94,0.021
전자,화성암,화강암,Cylinder-cut,172.5,127.1,0.037000000000000005
전자,화성암,화강암,Cylinder-cut,170.0,125.26,0.037000000000000005
전자,화성암,화강암,Cylinder-cut,177.5,130.78,0.024
전자,화성암,화강암,Cylinder-cut,200.0,147.36,0.022000000000000002
전자,화성암,화강암,Cylinder-cut,197.5,145.52,0.033
전자,화성암,화강암,Cylinder-cut,195.0,143.68,0.035
전자,화성암,화강암,Cylinder-cut,202.5,149.2,0.019
전자,화성암,화강암,Cylinder-cut,222.5,163.94,0.032
전자,화성암,화강암,Cylinder-cut,220.0,162.1,0.027000000000000003
전자,화성암,화강암,Cylinder-cut,227.5,167.62,0.022000000000000002
전자,화성암,화강암,Cylinder-cut,42.49,32.49,0.337
전자,화성암,화강암,Cylinder-cut,40.25,30.78,0.289
전자,화성암,화강암,Cylinder-cut,46.96,35.91,0.091
전자,화성암,화강암,Cylinder-cut,55.9,42.75,0.09699999999999999
전자,화성암,화강암,Cylinder-cut,53.67,41.04,0.09699999999999999
전자,화성암,화강암,Cylinder-cut,51.43,39.33,0.051
전자,화성암,화강암,Cylinder-cut,58.14,44.46,0.011000000000000001
전자,화성암,화강암,Cylinder-cut,89.44,68.4,0.040999999999999995
