화약,뇌관,SR SD,CR SD,최대입자속도
에멀젼C,비전기,28.43,25.32,0.574
에멀젼C,비전기,28.43,25.32,0.456
에멀젼C,비전기,28.0,24.95,0.479
에멀젼C,비전기,28.0,24.95,0.42100000000000004
에멀젼C,비전기,25.6,22.8,0.41700000000000004
에멀젼C,비전기,40.02,35.66,0.353
에멀젼C,비전기,40.73,36.29,0.38
에멀젼C,비전기,43.42,38.68,0.332
에멀젼C,비전기,44.26,39.44,0.281
에멀젼C,비전기,35.36,31.5,0.273
에멀젼C,비전기,63.36,56.44,0.248
에멀젼C,비전기,64.63,57.58,0.331
에멀젼C,비전기,67.18,59.85,0.282
에멀젼C,비전기,58.12,51.78,0.209
에멀젼C,비전기,57.7,51.4,0.205
에멀젼C,비전기,90.93,81.01,0.085
에멀젼C,비전기,90.93,81.01,0.045
에멀젼C,비전기,93.34,83.15,0.073
에멀젼C,비전기,92.77,82.65,0.061
에멀젼C,비전기,90.37,80.51,0.048
에멀젼C,비전기,113.99,101.55,0.048
에멀젼C,비전기,113.99,101.55,0.062
에멀젼C,비전기,112.43,100.16,0.046
에멀젼C,비전기,120.49,107.35,0.038
에멀젼C,비전기,117.95,105.08,0.036000000000000004
에멀젼C,비전기,143.97,128.26,0.04
에멀젼C,비전기,144.11,128.39,0.037000000000000005
에멀젼C,비전기,141.56,126.12,0.034
에멀젼C,비전기,146.09,130.15,0.032
에멀젼C,비전기,145.52,129.65,0.031
에멀젼C,비전기,120.2,95.4,0.098
에멀젼C,비전기,98.47,83.62,0.077
에멀젼C,비전기,89.49,75.99,0.109
에멀젼C,비전기,101.08,85.84,0.077
에멀젼C,비전기,85.57,72.66,0.111
에멀젼C,비전기,173.6,137.79,0.033
에멀젼C,비전기,174.8,138.74,0.035
에멀젼C,비전기,132.76,112.74,0.045
에멀젼C,비전기,145.66,123.7,0.034
에멀젼C,비전기,146.97,124.81,0.034
에멀젼C,비전기,225.8,179.22,0.011000000000000001
에멀젼C,비전기,228.8,181.6,0.01
에멀젼C,비전기,186.16,158.09,0.009000000000000001
에멀젼C,비전기,233.2,185.09,0.009000000000000001
에멀젼C,비전기,182.24,154.76,0.013000000000000001
에멀젼C,비전기,168.2,133.5,0.027999999999999997
에멀젼C,비전기,170.4,135.25,0.028999999999999998
에멀젼C,비전기,133.25,113.16,0.028999999999999998
에멀젼C,비전기,167.8,133.18,0.026000000000000002
에멀젼C,비전기,137.17,116.48,0.026000000000000002
에멀젼C,비전기,216.4,171.76,0.008
에멀젼C,비전기,209.8,166.52,0.008
에멀젼C,비전기,173.42,147.27,0.013000000000000001
에멀젼C,비전기,179.79,152.68,0.008
에멀젼C,비전기,181.1,153.79,0.008
에멀젼C,비전기,38.0,30.16,0.685
에멀젼C,비전기,30.86,26.21,0.7490000000000001
에멀젼C,비전기,30.54,25.93,0.951
에멀젼C,비전기,35.44,30.09,0.677
에멀젼C,비전기,30.37,25.79,0.9329999999999999
에멀젼C,비전기,59.2,46.99,0.21899999999999997
에멀젼C,비전기,44.58,37.86,0.23600000000000002
에멀젼C,비전기,43.6,37.03,0.25
에멀젼C,비전기,54.87,46.59,0.203
에멀젼C,비전기,56.01,47.56,0.188
에멀젼C,비전기,88.2,70.0,0.091
에멀젼C,비전기,92.6,73.5,0.107
에멀젼C,비전기,71.53,60.74,0.126
에멀젼C,비전기,82.47,70.03,0.11800000000000001
에멀젼C,비전기,83.61,71.0,0.094
에멀젼C,비전기,32.2,33.42,0.245
에멀젼C,비전기,33.94,34.61,0.19699999999999998
에멀젼C,비전기,36.1,36.1,0.157
에멀젼C,비전기,36.0,36.0,0.102
에멀젼C,비전기,36.0,36.0,0.129
에멀젼C,비전기,29.39,31.45,0.252
에멀젼C,비전기,54.47,56.53,0.07200000000000001
에멀젼C,비전기,57.42,58.56,0.043
에멀젼C,비전기,70.44,67.14,0.037000000000000005
에멀젼C,비전기,60.9,60.9,0.057
에멀젼C,비전기,60.9,60.9,0.047
에멀젼C,비전기,49.72,53.2,0.08
에멀젼C,비전기,76.74,79.65,0.065
에멀젼C,비전기,99.07,94.44,0.028999999999999998
에멀젼C,비전기,99.07,94.44,0.027000000000000003
에멀젼C,비전기,99.19,94.55,0.022000000000000002
에멀젼C,비전기,85.8,85.8,0.03
에멀젼C,비전기,85.8,85.8,0.018000000000000002
에멀젼C,비전기,99.1,102.86,0.062
에멀젼C,비전기,99.1,102.86,0.036000000000000004
에멀젼C,비전기,110.8,110.8,0.033
에멀젼C,비전기,110.8,110.8,0.017
에멀젼C,비전기,110.8,110.8,0.023
에멀젼C,비전기,90.47,96.79,0.039
에멀젼C,비전기,121.37,125.97,0.048
에멀젼C,비전기,156.69,149.36,0.016
에멀젼C,비전기,156.69,149.36,0.02
에멀젼C,비전기,135.7,135.7,0.028999999999999998
에멀젼C,비전기,135.7,135.7,0.012
에멀젼C,비전기,110.8,118.54,0.03
에멀젼C,비전기,232.5,183.28,0.03
