뇌관,암석분류,암종,SR SD,CR SD,최대입자속도
전기,변성암,편마암,18.04,20.11,1.5
전기,변성암,편마암,18.04,20.11,0.8
전기,변성암,편마암,25.52,25.34,0.12
전기,변성암,편마암,28.15,31.38,0.35
전기,변성암,편마암,28.15,31.38,0.3
전기,변성암,편마암,34.47,35.92,0.31
전기,변성암,편마암,39.8,39.53,0.1
전기,변성암,편마암,63.3,66.38,0.13699999999999998
전기,변성암,편마암,71.1,74.56,0.1
전기,변성암,편마암,66.77,70.02,0.12
전기,변성암,편마암,68.5,71.84,0.1
전기,변성암,편마암,62.43,65.47,0.12
전기,변성암,편마암,64.17,67.29,0.12
전기,변성암,편마암,65.9,69.11,0.1
전기,변성암,편마암,63.3,66.38,0.1
전기,변성암,편마암,60.7,63.65,0.1
전기,변성암,편마암,58.96,61.83,0.12
전기,변성암,편마암,52.03,54.56,0.15
전기,변성암,편마암,56.36,59.11,0.1
전기,변성암,편마암,35.8,34.12,0.162
전기,변성암,편마암,33.49,31.92,0.09
전기,변성암,편마암,48.5,46.23,0.1
전기,변성암,편마암,40.41,38.52,0.1
전기,변성암,편마암,40.41,38.52,0.07
전기,변성암,편마암,34.64,33.02,0.07
전기,변성암,편마암,16.17,19.41,0.16
전기,변성암,편마암,17.32,20.8,0.10800000000000001
전기,변성암,편마암,23.09,27.73,0.1
전기,변성암,편마암,19.05,22.88,0.15
전기,변성암,편마암,23.67,28.43,0.05
전기,변성암,편마암,27.0,27.0,0.27
전기,변성암,편마암,32.0,32.0,0.1
전기,변성암,편마암,31.0,31.0,0.07
전기,변성암,편마암,32.0,32.0,0.1
전기,변성암,편마암,30.0,30.0,0.12
전기,변성암,편마암,32.0,32.0,0.067
전기,변성암,편마암,34.0,34.0,0.1
전기,변성암,편마암,27.0,27.0,0.1
전기,변성암,편마암,33.49,31.92,0.162
전기,변성암,편마암,35.8,34.12,0.121
전기,변성암,편마암,50.81,48.43,0.1
전기,변성암,편마암,41.57,39.62,0.1
전기,변성암,편마암,42.72,40.72,0.1
전기,변성암,편마암,35.8,34.12,0.1
전기,변성암,편마암,38.11,36.32,0.12
전기,변성암,편마암,43.88,41.82,0.12
전기,변성암,편마암,20.78,24.96,0.10800000000000001
전기,변성암,편마암,24.83,29.81,0.1
전기,변성암,편마암,20.78,24.96,0.1
전기,변성암,편마암,20.78,24.96,0.1
전기,변성암,편마암,17.32,20.8,0.12
전기,변성암,편마암,18.48,22.19,0.07
전기,변성암,편마암,21.94,26.35,0.12
전기,변성암,편마암,52.8,41.91,0.21600000000000003
전기,변성암,편마암,59.4,47.15,0.113
전기,변성암,편마암,58.0,46.03,0.16699999999999998
전기,변성암,편마암,46.0,36.51,0.25
전기,변성암,편마암,70.8,56.19,0.07
전기,변성암,편마암,42.0,33.34,0.88
전기,변성암,편마암,55.2,43.81,0.15
전기,변성암,편마암,72.0,57.15,0.05
전기,변성암,편마암,39.2,31.11,0.254
전기,변성암,편마암,55.3,41.04,0.265
전기,변성암,편마암,35.4,28.1,0.373
전기,변성암,편마암,57.2,45.4,0.6
전기,변성암,편마암,44.6,35.4,0.35
전기,변성암,편마암,45.2,35.88,0.27
전기,변성암,편마암,34.8,27.62,0.2
전기,변성암,편마암,41.0,32.54,0.35
전기,변성암,편마암,42.0,33.34,0.25
전기,변성암,편마암,42.0,33.34,0.22
전기,변성암,편마암,46.8,37.15,0.1
전기,변성암,편마암,46.98,34.87,0.27
전기,변성암,편마암,53.83,39.95,0.12
전기,변성암,편마암,59.22,43.95,0.15
전기,변성암,편마암,45.52,33.78,0.15
전기,변성암,편마암,42.09,31.23,0.4
전기,변성암,편마암,51.39,38.13,0.1
전기,변성암,편마암,63.62,47.21,0.05
전기,변성암,편마암,38.38,41.06,0.05
전기,변성암,편마암,37.8,40.45,0.4
전기,변성암,편마암,39.6,42.37,0.25
전기,변성암,편마암,38.38,41.06,0.3
전기,변성암,편마암,37.56,40.18,0.27
전기,변성암,편마암,38.38,41.06,0.27
전기,변성암,편마암,39.6,42.37,0.38
전기,변성암,편마암,38.87,41.58,0.22
전기,변성암,편마암,36.99,39.57,0.268
전기,변성암,편마암,47.36,50.67,0.42700000000000005
전기,변성암,편마암,37.8,40.45,0.24100000000000002
전기,변성암,편마암,36.95,35.22,0.25
전기,변성암,편마암,45.03,42.93,0.25
전기,변성암,편마암,41.57,39.62,0.3
전기,변성암,편마암,42.72,40.72,0.43200000000000005
전기,변성암,편마암,36.95,35.22,0.457
전기,변성암,편마암,31.35,33.55,0.3
전기,변성암,편마암,37.4,40.01,0.25
전기,변성암,편마암,30.7,32.85,0.4
전기,변성암,편마암,33.72,36.08,0.537
전기,변성암,편마암,32.99,35.29,0.27
전기,변성암,편마암,36.74,39.31,0.27
전기,변성암,편마암,32.17,34.42,0.38
전기,변성암,편마암,48.99,52.41,0.22
전기,변성암,편마암,33.07,35.38,0.275
전기,변성암,편마암,18.72,21.81,0.34299999999999997
전기,변성암,편마암,19.23,22.4,0.55
전기,변성암,편마암,25.3,29.47,0.4
전기,변성암,편마암,19.8,23.06,0.07
전기,변성암,편마암,23.84,27.78,0.12
전기,변성암,편마암,18.02,21.0,0.4
전기,변성암,편마암,19.04,22.18,0.48
전기,변성암,편마암,19.04,22.18,0.3
전기,변성암,편마암,46.99,43.16,0.1
전기,변성암,편마암,49.57,45.53,0.2
전기,변성암,편마암,67.91,62.36,0.38
전기,변성암,편마암,79.9,69.95,0.05
전기,변성암,편마암,50.87,46.71,0.1
전기,변성암,편마암,27.63,25.37,0.3
전기,변성암,편마암,42.86,39.36,0.35
전기,변성암,편마암,28.32,24.79,0.14800000000000002
전기,변성암,편마암,27.13,23.75,0.556
전기,변성암,편마암,19.62,18.02,0.495
전기,변성암,편마암,28.91,28.97,0.268
전기,변성암,편마암,37.46,37.54,0.965
전기,변성암,편마암,26.03,26.09,0.4
전기,변성암,편마암,23.35,23.4,0.4
전기,변성암,편마암,33.28,33.36,0.22
전기,변성암,편마암,28.81,28.88,0.78
전기,변성암,편마암,31.99,32.06,0.25
전기,변성암,편마암,48.08,42.84,0.292
전기,변성암,편마암,52.33,46.62,0.25
전기,변성암,편마암,70.71,63.0,0.27
전기,변성암,편마암,63.64,56.7,0.05
전기,변성암,편마암,53.74,47.88,0.3
전기,변성암,편마암,37.0,37.0,0.22899999999999998
전기,변성암,편마암,47.92,45.68,0.254
전기,변성암,편마암,62.05,52.7,1.95
전기,변성암,편마암,78.0,61.91,0.3
전기,변성암,편마암,80.0,63.5,0.35
전기,변성암,편마암,82.0,65.08,0.25
전기,변성암,편마암,61.38,54.68,0.264
전기,변성암,편마암,42.72,40.72,0.111
전기,변성암,편마암,76.0,60.32,0.4
전기,변성암,편마암,43.88,41.82,1.67
전기,변성암,편마암,61.12,53.5,0.5
전기,변성암,편마암,64.34,54.64,0.4
전기,변성암,편마암,66.95,56.86,0.3
전기,변성암,편마암,59.93,50.89,0.6
전기,변성암,편마암,57.98,51.66,0.5
전기,변성암,편마암,67.83,59.38,0.25
전기,변성암,편마암,84.0,66.67,0.2
전기,변성암,편마암,80.0,63.5,0.17
전기,변성암,편마암,91.92,65.0,0.2
