뇌관,심발,SR SD,CR SD,최대입자속도
비전기,Cylinder-cut,104.0,82.54,0.038
비전기,Cylinder-cut,104.0,82.54,0.048
비전기,Cylinder-cut,76.03,66.55,0.038
비전기,Cylinder-cut,129.0,102.39,0.019
비전기,Cylinder-cut,129.0,102.39,0.011000000000000001
비전기,Cylinder-cut,126.0,100.01,0.021
비전기,Cylinder-cut,126.0,100.01,0.024
비전기,Cylinder-cut,126.0,100.01,0.03
비전기,Cylinder-cut,126.0,100.01,0.028999999999999998
비전기,Cylinder-cut,92.42,80.91,0.031
