뇌관,암석분류,암종,심발,SR SD,CR SD,최대입자속도
비전기,화성암,화강암,Cylinder-cut,30.4,24.13,0.22899999999999998
비전기,화성암,화강암,Cylinder-cut,30.4,24.13,0.317
비전기,화성암,화강암,Cylinder-cut,28.0,22.22,0.267
비전기,화성암,화강암,Cylinder-cut,28.0,22.22,0.305
비전기,화성암,화강암,Cylinder-cut,28.0,22.22,0.762
비전기,화성암,화강암,Cylinder-cut,28.0,22.22,0.698
비전기,화성암,화강암,Cylinder-cut,19.38,16.96,0.889
비전기,화성암,화강암,Cylinder-cut,40.0,31.75,0.13699999999999998
비전기,화성암,화강암,Cylinder-cut,40.0,31.75,0.268
비전기,화성암,화강암,Cylinder-cut,38.0,30.16,0.24100000000000002
비전기,화성암,화강암,Cylinder-cut,38.0,30.16,0.243
비전기,화성암,화강암,Cylinder-cut,38.0,30.16,0.32899999999999996
비전기,화성암,화강암,Cylinder-cut,38.0,30.16,0.33
비전기,화성암,화강암,Cylinder-cut,26.83,23.49,0.386
비전기,화성암,화강암,Cylinder-cut,50.0,39.69,0.11699999999999999
비전기,화성암,화강암,Cylinder-cut,50.0,39.69,0.151
비전기,화성암,화강암,Cylinder-cut,48.0,38.1,0.135
비전기,화성암,화강암,Cylinder-cut,48.0,38.1,0.129
비전기,화성암,화강암,Cylinder-cut,48.0,38.1,0.24
비전기,화성암,화강암,Cylinder-cut,48.0,38.1,0.221
비전기,화성암,화강암,Cylinder-cut,34.29,30.01,0.259
비전기,화성암,화강암,Cylinder-cut,55.0,43.65,0.163
비전기,화성암,화강암,Cylinder-cut,55.0,43.65,0.038
비전기,화성암,화강암,Cylinder-cut,52.0,41.27,0.115
비전기,화성암,화강암,Cylinder-cut,52.0,41.27,0.109
비전기,화성암,화강암,Cylinder-cut,52.0,41.27,0.185
비전기,화성암,화강암,Cylinder-cut,52.0,41.27,0.24100000000000002
비전기,화성암,화강암,Cylinder-cut,37.27,32.62,0.182
비전기,화성암,화강암,Cylinder-cut,59.0,46.83,0.14400000000000002
비전기,화성암,화강암,Cylinder-cut,59.0,46.83,0.054000000000000006
비전기,화성암,화강암,Cylinder-cut,56.0,44.45,0.122
비전기,화성암,화강암,Cylinder-cut,56.0,44.45,0.111
비전기,화성암,화강암,Cylinder-cut,56.0,44.45,0.163
비전기,화성암,화강암,Cylinder-cut,56.0,44.45,0.203
비전기,화성암,화강암,Cylinder-cut,40.25,35.23,0.156
비전기,화성암,화강암,Cylinder-cut,101.4,80.48,0.023
비전기,화성암,화강암,Cylinder-cut,101.4,80.48,0.013000000000000001
비전기,화성암,화강암,Cylinder-cut,96.0,76.2,0.025
비전기,화성암,화강암,Cylinder-cut,96.0,76.2,0.038
비전기,화성암,화강암,Cylinder-cut,96.0,76.2,0.051
비전기,화성암,화강암,Cylinder-cut,96.0,76.2,0.08199999999999999
비전기,화성암,화강암,Cylinder-cut,70.06,61.33,0.062
비전기,화성암,화강암,Cylinder-cut,106.6,84.61,0.027000000000000003
비전기,화성암,화강암,Cylinder-cut,106.6,84.61,0.021
비전기,화성암,화강암,Cylinder-cut,104.0,82.54,0.032
비전기,화성암,화강암,Cylinder-cut,104.0,82.54,0.035
비전기,화성암,화강암,Cylinder-cut,104.0,82.54,0.038
비전기,화성암,화강암,Cylinder-cut,104.0,82.54,0.048
비전기,화성암,화강암,Cylinder-cut,76.03,66.55,0.038
비전기,화성암,화강암,Cylinder-cut,129.0,102.39,0.019
비전기,화성암,화강암,Cylinder-cut,129.0,102.39,0.011000000000000001
비전기,화성암,화강암,Cylinder-cut,126.0,100.01,0.021
비전기,화성암,화강암,Cylinder-cut,126.0,100.01,0.024
비전기,화성암,화강암,Cylinder-cut,126.0,100.01,0.03
비전기,화성암,화강암,Cylinder-cut,126.0,100.01,0.028999999999999998
비전기,화성암,화강암,Cylinder-cut,92.42,80.91,0.031
