뇌관,SR SD,CR SD,최대입자속도
전기,42.49,32.15,0.49200000000000005
전기,42.03,31.8,0.439
전기,40.66,34.53,0.446
전기,142.4,113.02,0.038
전기,158.42,119.86,0.05
전기,155.65,117.76,0.047
전기,153.81,116.36,0.051
전기,122.64,104.14,0.043
전기,29.41,31.81,0.509
전기,30.52,33.0,0.321
전기,28.07,30.35,0.336
전기,28.86,31.21,0.325
전기,31.68,32.65,0.369
전기,42.45,45.91,0.245
전기,49.39,50.91,0.209
전기,49.3,50.82,0.237
전기,46.23,48.9,0.16699999999999998
전기,53.0,53.0,0.17300000000000001
전기,81.34,83.85,0.141
전기,88.8,88.8,0.10400000000000001
전기,79.69,82.15,0.094
전기,79.05,81.49,0.1
전기,88.1,88.1,0.08800000000000001
전기,29.83,31.55,0.679
전기,32.68,33.69,0.6659999999999999
전기,30.03,30.96,0.815
전기,30.67,31.62,0.6859999999999999
전기,34.0,34.0,0.688
전기,14.06,14.49,1.6369999999999998
전기,13.52,14.3,1.524
전기,15.4,15.4,1.768
전기,17.0,17.0,1.5319999999999998
전기,16.0,16.0,1.695
전기,95.18,102.94,0.053
전기,110.27,113.68,0.054000000000000006
전기,109.18,112.55,0.06
전기,118.2,118.2,0.077
전기,118.8,118.8,0.062
전기,206.18,222.98,0.013999999999999999
전기,206.26,223.07,0.013999999999999999
전기,206.81,223.66,0.008
전기,206.73,223.58,0.009000000000000001
전기,241.91,249.37,0.011000000000000001
전기,231.95,250.85,0.018000000000000002
전기,271.12,279.49,0.016
전기,272.58,280.99,0.013000000000000001
전기,249.66,264.06,0.018000000000000002
전기,297.0,297.0,0.013000000000000001
전기,40.62,41.88,0.29100000000000004
전기,45.3,45.3,0.23
전기,39.8,41.03,0.308
전기,38.16,39.34,0.391
전기,42.6,42.6,0.322
전기,43.19,45.68,0.282
전기,46.92,48.37,0.258
전기,46.19,47.62,0.316
전기,45.46,46.86,0.364
전기,57.0,57.0,0.13
전기,62.35,64.27,0.136
전기,63.72,67.4,0.11599999999999999
전기,64.8,64.8,0.191
전기,67.5,67.5,0.139
전기,65.6,65.6,0.183
전기,71.07,76.86,0.135
