암석분류,암종,심발,SR SD,CR SD,최대입자속도
변성암,편암,V-CUT,193.65,197.49,0.013999999999999999
변성암,편암,V-CUT,192.99,196.82,0.018000000000000002
변성암,편암,V-CUT,193.75,197.59,0.016
변성암,편암,V-CUT,197.9,201.82,0.013999999999999999
변성암,편암,V-CUT,180.85,188.93,0.018000000000000002
변성암,편암,V-CUT,201.86,205.86,0.013000000000000001
변성암,편암,V-CUT,202.61,206.63,0.013999999999999999
변성암,편암,V-CUT,206.76,210.86,0.012
변성암,편암,V-CUT,201.86,205.86,0.012
변성암,편암,V-CUT,188.57,197.0,0.013000000000000001
변성암,편암,V-CUT,31.84,34.07,0.15
변성암,편암,V-CUT,35.07,35.77,0.21100000000000002
변성암,편암,V-CUT,43.88,41.82,0.125
변성암,편암,V-CUT,29.18,31.64,0.146
변성암,편암,V-CUT,37.19,38.85,0.152
변성암,편암,V-CUT,51.92,57.66,0.063
변성암,편암,V-CUT,63.26,64.52,0.08
변성암,편암,V-CUT,63.17,64.42,0.07400000000000001
변성암,편암,V-CUT,63.26,64.52,0.055999999999999994
변성암,편암,V-CUT,62.89,64.13,0.077
변성암,편암,V-CUT,80.75,86.4,0.038
변성암,편암,V-CUT,92.21,94.03,0.034
변성암,편암,V-CUT,92.3,94.13,0.036000000000000004
변성암,편암,V-CUT,96.45,98.36,0.034
변성암,편암,V-CUT,119.05,113.48,0.024
변성암,편암,V-CUT,105.25,112.6,0.025
변성암,편암,V-CUT,208.7,177.22,0.018000000000000002
변성암,편암,V-CUT,152.65,145.5,0.015
변성암,편암,V-CUT,146.65,139.78,0.019
변성암,편암,V-CUT,147.57,140.66,0.018000000000000002
변성암,편암,V-CUT,131.86,141.08,0.018000000000000002
변성암,편암,V-CUT,188.22,179.4,0.016
변성암,편암,V-CUT,188.33,179.51,0.017
변성암,편암,V-CUT,187.29,178.52,0.019
변성암,편암,V-CUT,188.22,179.4,0.016
변성암,편암,V-CUT,91.87,105.16,0.156
변성암,편암,V-CUT,112.51,120.38,0.1
변성암,편암,V-CUT,79.56,95.55,0.2
변성암,편암,V-CUT,79.56,95.55,0.19
변성암,편암,V-CUT,289.61,309.86,0.021
변성암,편암,V-CUT,204.79,245.94,0.04
변성암,편암,V-CUT,236.47,270.69,0.03
변성암,편암,V-CUT,236.47,270.69,0.032
변성암,편암,V-CUT,32.91,31.37,0.5
변성암,편암,V-CUT,40.41,38.52,0.3
변성암,편암,V-CUT,36.37,34.67,0.4
변성암,편암,V-CUT,34.64,33.02,0.22
변성암,편암,V-CUT,32.1,30.6,1.143
변성암,편암,V-CUT,28.87,27.52,0.7190000000000001
변성암,편암,V-CUT,33.49,31.92,0.22
변성암,편암,V-CUT,32.56,31.04,0.17
변성암,편암,V-CUT,30.02,28.62,0.3
변성암,편암,V-CUT,26.56,25.31,0.33
변성암,편암,V-CUT,26.79,25.53,0.344
변성암,편암,V-CUT,26.1,24.87,0.546
변성암,편암,V-CUT,32.33,30.82,0.38
변성암,편암,V-CUT,39.84,37.97,0.17
변성암,편암,V-CUT,35.8,34.12,0.27
변성암,편암,V-CUT,34.06,32.47,0.22
변성암,편암,V-CUT,30.02,28.62,0.53
변성암,편암,V-CUT,45.03,42.93,0.1
변성암,편암,V-CUT,35.8,34.12,0.35
변성암,편암,V-CUT,40.41,38.52,0.68
변성암,편암,V-CUT,32.91,31.37,0.4
변성암,편암,V-CUT,37.41,35.66,0.38
변성암,편암,V-CUT,40.76,38.85,0.27
변성암,편암,V-CUT,28.87,27.52,0.764
변성암,편암,V-CUT,31.18,29.72,0.721
변성암,편암,V-CUT,32.91,31.37,0.22
변성암,편암,V-CUT,32.33,30.82,0.12
변성암,편암,V-CUT,29.44,28.07,0.3
변성암,편암,V-CUT,27.14,25.87,0.43
변성암,편암,V-CUT,25.4,24.21,0.5
변성암,편암,V-CUT,41.34,39.4,0.3
변성암,편암,V-CUT,42.95,40.94,0.48
변성암,편암,V-CUT,46.19,44.03,0.38
변성암,편암,V-CUT,49.77,47.44,0.12
변성암,편암,V-CUT,27.71,26.42,0.34600000000000003
변성암,편암,V-CUT,25.4,24.21,0.603
