화약,뇌관,암석분류,SR SD,CR SD,최대입자속도
에멀젼C,전기,화성암,104.27,99.39,0.139
에멀젼C,전기,화성암,101.96,97.19,0.11199999999999999
에멀젼C,전기,화성암,103.35,98.51,0.096
에멀젼C,전기,화성암,110.54,108.11,0.107
에멀젼C,전기,화성암,114.17,111.66,0.12
에멀젼C,전기,화성암,110.43,108.0,0.079
에멀젼C,전기,화성암,119.28,113.7,0.10099999999999999
에멀젼C,전기,화성암,119.4,113.81,0.12300000000000001
에멀젼C,전기,화성암,229.86,236.95,0.013000000000000001
에멀젼C,전기,화성암,226.39,233.38,0.013999999999999999
에멀젼C,전기,화성암,227.94,234.98,0.01
에멀젼C,전기,화성암,225.66,232.62,0.018000000000000002
에멀젼C,전기,화성암,227.12,234.13,0.013999999999999999
에멀젼C,전기,화성암,184.22,189.9,0.018000000000000002
에멀젼C,전기,화성암,186.5,192.25,0.013999999999999999
에멀젼C,전기,화성암,181.48,187.08,0.024
에멀젼C,전기,화성암,182.03,187.64,0.022000000000000002
에멀젼C,전기,화성암,180.57,186.14,0.025
에멀젼C,전기,화성암,37.79,38.96,0.493
에멀젼C,전기,화성암,32.77,33.78,0.586
에멀젼C,전기,화성암,37.52,38.68,0.431
에멀젼C,전기,화성암,37.25,38.39,0.5
에멀젼C,전기,화성암,33.68,34.72,0.53
에멀젼C,전기,화성암,37.98,39.15,0.307
에멀젼C,전기,화성암,41.17,42.44,0.21100000000000002
에멀젼C,전기,화성암,40.26,41.5,0.3
에멀젼C,전기,화성암,34.99,37.01,0.6809999999999999
에멀젼C,전기,화성암,34.23,36.2,0.442
에멀젼C,전기,화성암,62.17,64.08,0.158
에멀젼C,전기,화성암,62.81,64.74,0.132
에멀젼C,전기,화성암,63.44,65.4,0.125
에멀젼C,전기,화성암,59.58,63.02,0.215
에멀젼C,전기,화성암,60.34,63.82,0.21899999999999997
에멀젼C,전기,화성암,82.61,85.16,0.1
에멀젼C,전기,화성암,81.88,84.41,0.124
에멀젼C,전기,화성암,81.06,83.56,0.111
에멀젼C,전기,화성암,78.26,82.78,0.131
에멀젼C,전기,화성암,79.02,83.58,0.131
에멀젼C,전기,화성암,100.78,103.89,0.055
에멀젼C,전기,화성암,99.05,102.1,0.075
에멀젼C,전기,화성암,99.96,103.04,0.054000000000000006
에멀젼C,전기,화성암,93.39,98.78,0.055999999999999994
에멀젼C,전기,화성암,91.78,97.08,0.10300000000000001
에멀젼C,전기,화성암,116.66,120.26,0.077
에멀젼C,전기,화성암,117.3,120.92,0.068
에멀젼C,전기,화성암,115.93,119.51,0.051
에멀젼C,전기,화성암,116.57,120.17,0.066
에멀젼C,전기,화성암,115.93,119.51,0.091
에멀젼C,전기,화성암,175.03,189.29,0.024
에멀젼C,전기,화성암,174.95,189.21,0.019
에멀젼C,전기,화성암,174.56,188.78,0.026000000000000002
에멀젼C,전기,화성암,173.69,187.84,0.022000000000000002
에멀젼C,전기,화성암,183.99,194.6,0.017
에멀젼C,전기,화성암,183.57,194.16,0.016
에멀젼C,전기,화성암,156.3,169.03,0.013999999999999999
에멀젼C,전기,화성암,155.82,168.52,0.016
에멀젼C,전기,화성암,155.58,168.26,0.013000000000000001
에멀젼C,전기,화성암,155.82,168.52,0.015
