암석분류,암종,심발,SR SD,CR SD,최대입자속도
화성암,화강암,선대구경,56.58,53.93,0.235
화성암,화강암,선대구경,73.9,70.44,0.261
화성암,화강암,선대구경,91.22,86.95,0.268
화성암,화강암,선대구경,108.54,103.46,0.22899999999999998
화성암,화강암,선대구경,125.86,119.97,0.162
화성암,화강암,선대구경,143.18,136.48,0.156
화성암,화강암,선대구경,160.5,152.99,0.17600000000000002
화성암,화강암,선대구경,185.91,177.2,0.040999999999999995
화성암,화강암,선대구경,56.58,53.93,0.048
화성암,화강암,선대구경,73.9,70.44,0.031
화성암,화강암,선대구경,91.22,86.95,0.024
화성암,화강암,선대구경,108.54,103.46,0.038
화성암,화강암,선대구경,125.86,119.97,0.016
화성암,화강암,선대구경,143.18,136.48,0.015
화성암,화강암,선대구경,160.5,152.99,0.011000000000000001
화성암,화강암,선대구경,183.6,175.0,0.009000000000000001
화성암,화강암,선대구경,152.16,146.61,0.031
화성암,화강암,선대구경,124.24,128.08,0.05
화성암,화강암,선대구경,157.15,149.8,0.028999999999999998
화성암,화강암,선대구경,180.12,173.54,0.023
화성암,화강암,선대구경,180.12,173.54,0.021
화성암,화강암,선대구경,147.06,151.6,0.027000000000000003
화성암,화강암,선대구경,208.07,200.47,0.02
화성암,화강암,선대구경,208.07,200.47,0.021
화성암,화강암,선대구경,208.07,200.47,0.017
화성암,화강암,선대구경,49.64,42.16,0.8290000000000001
화성암,화강암,선대구경,49.64,42.16,0.932
화성암,화강암,선대구경,49.64,42.16,0.799
화성암,화강암,선대구경,60.8,48.26,0.701
화성암,화강암,선대구경,49.64,42.16,0.866
화성암,화강암,선대구경,130.64,110.94,0.068
화성암,화강암,선대구경,130.64,110.94,0.075
화성암,화강암,선대구경,160.0,126.99,0.091
화성암,화강암,선대구경,130.64,110.94,0.095
화성암,화강암,선대구경,130.64,110.94,0.1
화성암,화강암,선대구경,179.63,152.54,0.021
화성암,화강암,선대구경,179.63,152.54,0.032
화성암,화강암,선대구경,179.63,152.54,0.02
화성암,화강암,선대구경,179.63,152.54,0.022000000000000002
화성암,화강암,선대구경,220.0,174.61,0.016
화성암,화강암,선대구경,212.29,180.27,0.011000000000000001
화성암,화강암,선대구경,212.29,180.27,0.017
화성암,화강암,선대구경,212.29,180.27,0.012
화성암,화강암,선대구경,212.29,180.27,0.013000000000000001
화성암,화강암,선대구경,212.29,180.27,0.015
화성암,화강암,선대구경,245.11,208.15,0.01
