화약,뇌관,SR SD,CR SD,최대입자속도
정밀폭약,전기,21.96,23.5,0.35700000000000004
정밀폭약,전기,21.96,23.5,0.23
정밀폭약,전기,30.29,32.41,0.11
정밀폭약,전기,48.01,51.37,0.025
정밀폭약,전기,59.6,63.77,0.099
정밀폭약,전기,65.89,70.5,0.064
정밀폭약,전기,81.0,86.66,0.11199999999999999
정밀폭약,전기,166.08,177.69,0.034
정밀폭약,전기,209.43,224.07,0.024
정밀폭약,전기,19.3,16.0,0.978
정밀폭약,전기,43.85,36.36,0.11
정밀폭약,전기,66.66,55.27,0.2
정밀폭약,전기,84.2,69.81,0.24600000000000002
정밀폭약,전기,101.74,84.36,0.187
정밀폭약,전기,119.28,98.9,0.102
정밀폭약,전기,136.82,113.45,0.083
정밀폭약,전기,163.13,135.27,0.011000000000000001
