암석분류,암종,심발,SR SD,CR SD,최대입자속도
화성암,안산암,Cylinder-cut,157.33,130.12,0.043
화성암,안산암,Cylinder-cut,164.84,133.72,0.025
화성암,안산암,Cylinder-cut,143.88,123.51,0.006
화성암,안산암,Cylinder-cut,185.62,153.51,0.038
화성암,안산암,Cylinder-cut,183.85,152.05,0.037000000000000005
화성암,안산암,Cylinder-cut,192.94,156.51,0.022000000000000002
화성암,안산암,Cylinder-cut,167.6,143.86,0.021
화성암,안산암,Cylinder-cut,251.02,207.61,0.03
화성암,안산암,Cylinder-cut,249.26,206.14,0.028999999999999998
화성암,안산암,Cylinder-cut,262.24,212.74,0.019
화성암,안산암,Cylinder-cut,226.1,194.08,0.008
화성암,안산암,Cylinder-cut,440.17,364.04,0.012
화성암,안산암,Cylinder-cut,438.41,362.58,0.013999999999999999
화성암,안산암,Cylinder-cut,462.67,375.33,0.012
화성암,안산암,Cylinder-cut,395.28,339.3,0.015
화성암,안산암,Cylinder-cut,503.81,416.67,0.015
화성암,안산암,Cylinder-cut,502.05,415.21,0.015
화성암,안산암,Cylinder-cut,530.11,430.04,0.015
화성암,안산암,Cylinder-cut,452.21,388.16,0.012
화성암,안산암,Cylinder-cut,38.89,32.16,0.184
화성암,안산암,Cylinder-cut,74.25,61.4,0.08800000000000001
화성암,안산암,Cylinder-cut,114.9,95.03,0.032
화성암,안산암,Cylinder-cut,88.39,73.1,0.043
화성암,안산암,Cylinder-cut,173.24,143.28,0.022000000000000002
화성암,안산암,Cylinder-cut,167.94,138.89,0.027000000000000003
