뇌관,심발,SR SD,CR SD,최대입자속도
비전기,선대구경,232.5,183.28,0.03
비전기,선대구경,229.23,180.71,0.037000000000000005
비전기,선대구경,228.62,180.22,0.034
비전기,선대구경,233.11,183.76,0.031
비전기,선대구경,228.62,180.22,0.053
비전기,선대구경,204.33,161.08,0.047
비전기,선대구경,201.06,158.5,0.06
비전기,선대구경,204.12,160.91,0.044000000000000004
비전기,선대구경,204.94,161.56,0.055
비전기,선대구경,200.45,158.02,0.065
비전기,선대구경,231.23,204.6,0.018000000000000002
비전기,선대구경,231.66,204.99,0.012
비전기,선대구경,232.24,205.5,0.015
비전기,선대구경,230.22,203.71,0.023
비전기,선대구경,324.56,255.85,0.019
비전기,선대구경,308.74,273.19,0.022000000000000002
비전기,선대구경,437.44,344.84,0.019
비전기,선대구경,438.25,345.48,0.019
비전기,선대구경,439.07,346.13,0.018000000000000002
비전기,선대구경,440.09,346.93,0.018000000000000002
비전기,선대구경,470.51,370.91,0.006
비전기,선대구경,470.71,371.07,0.005
비전기,선대구경,469.28,369.94,0.006999999999999999
비전기,선대구경,470.51,370.91,0.006
비전기,선대구경,468.26,369.14,0.005
비전기,선대구경,53.68,42.32,0.49200000000000005
비전기,선대구경,53.48,42.16,0.502
비전기,선대구경,51.44,40.55,0.47200000000000003
비전기,선대구경,48.79,38.46,0.46
비전기,선대구경,47.97,37.82,0.511
비전기,선대구경,102.67,80.94,0.19399999999999998
비전기,선대구경,102.06,80.46,0.204
비전기,선대구경,100.84,79.49,0.17600000000000002
비전기,선대구경,100.63,79.33,0.171
비전기,선대구경,97.57,76.92,0.18100000000000002
비전기,선대구경,155.34,122.46,0.07400000000000001
비전기,선대구경,155.95,122.94,0.07200000000000001
비전기,선대구경,151.05,119.08,0.102
비전기,선대구경,149.83,118.11,0.07
비전기,선대구경,148.6,117.15,0.085
비전기,선대구경,361.25,266.17,0.016
비전기,선대구경,357.5,263.41,0.013999999999999999
비전기,선대구경,313.4,240.66,0.017
비전기,선대구경,312.52,239.98,0.017
비전기,선대구경,312.52,239.98,0.02
비전기,선대구경,108.25,79.76,0.040999999999999995
비전기,선대구경,110.75,81.6,0.039
비전기,선대구경,109.25,80.5,0.036000000000000004
비전기,선대구경,95.63,73.44,0.036000000000000004
비전기,선대구경,89.01,68.35,0.044000000000000004
비전기,선대구경,13.5,9.95,1.236
비전기,선대구경,10.41,8.21,1.795
비전기,선대구경,13.75,10.13,1.579
비전기,선대구경,12.37,9.5,1.122
비전기,선대구경,10.82,8.31,1.3780000000000001
비전기,선대구경,87.25,64.29,0.057
비전기,선대구경,95.5,70.37,0.055999999999999994
비전기,선대구경,76.64,58.85,0.078
비전기,선대구경,80.17,61.56,0.087
비전기,선대구경,82.6,63.43,0.07
비전기,선대구경,123.75,91.18,0.044000000000000004
비전기,선대구경,120.5,88.79,0.045
비전기,선대구경,124.0,91.36,0.040999999999999995
비전기,선대구경,123.25,90.81,0.055999999999999994
비전기,선대구경,115.51,88.7,0.061
비전기,선대구경,162.0,119.36,0.055
비전기,선대구경,164.0,120.84,0.049
비전기,선대구경,161.5,118.99,0.045
비전기,선대구경,146.21,112.27,0.044000000000000004
비전기,선대구경,149.3,114.65,0.04
비전기,선대구경,29.02,25.63,0.252
비전기,선대구경,21.94,20.91,0.37200000000000005
비전기,선대구경,21.91,20.52,0.175
비전기,선대구경,29.7,26.46,0.18899999999999997
비전기,선대구경,36.27,32.04,0.44
비전기,선대구경,27.71,26.42,0.613
비전기,선대구경,27.99,26.22,0.252
비전기,선대구경,36.77,32.76,0.377
비전기,선대구경,58.04,51.27,0.1
비전기,선대구경,45.03,42.93,0.134
비전기,선대구경,46.25,43.32,0.081
비전기,선대구경,57.98,51.66,0.07200000000000001
비전기,선대구경,71.1,62.8,0.09300000000000001
비전기,선대구경,55.43,52.83,0.08800000000000001
비전기,선대구경,57.21,53.58,0.035
비전기,선대구경,70.71,63.0,0.042
비전기,선대구경,74.0,65.36,0.08199999999999999
비전기,선대구경,57.74,55.03,0.067
비전기,선대구경,59.64,55.86,0.044000000000000004
비전기,선대구경,73.54,65.52,0.042
비전기,선대구경,72.55,64.08,0.09300000000000001
비전기,선대구경,56.58,53.93,0.11
비전기,선대구경,58.42,54.72,0.068
비전기,선대구경,72.12,64.26,0.07400000000000001
비전기,선대구경,87.06,76.9,0.084
비전기,선대구경,68.13,64.94,0.134
비전기,선대구경,70.6,66.12,0.07200000000000001
비전기,선대구경,86.27,76.86,0.07
비전기,선대구경,101.57,89.72,0.086
비전기,선대구경,79.67,75.94,0.09300000000000001
비전기,선대구경,82.77,77.52,0.053
비전기,선대구경,100.41,89.45,0.055999999999999994
비전기,선대구경,116.08,102.53,0.044000000000000004
비전기,선대구경,91.22,86.95,0.052000000000000005
비전기,선대구경,94.94,88.92,0.026000000000000002
비전기,선대구경,114.55,102.05,0.023
비전기,선대구경,145.1,128.16,0.055999999999999994
비전기,선대구경,114.32,108.96,0.08900000000000001
비전기,선대구경,119.28,111.72,0.032
비전기,선대구경,142.84,127.25,0.025
비전기,선대구경,271.33,239.67,0.015
비전기,선대구경,214.77,204.72,0.012
비전기,선대구경,225.17,210.9,0.006999999999999999
비전기,선대구경,265.87,236.87,0.006999999999999999
