화약,뇌관,암종,심발,SR SD,CR SD,최대입자속도
에멀젼C,전자,화강암,Cylinder-cut,30.02,22.71,0.24100000000000002
에멀젼C,전자,화강암,Cylinder-cut,27.71,20.97,0.22899999999999998
에멀젼C,전자,화강암,Cylinder-cut,32.33,24.46,0.17800000000000002
에멀젼C,전자,화강암,Cylinder-cut,78.52,59.4,0.057999999999999996
에멀젼C,전자,화강암,Cylinder-cut,76.21,57.66,0.102
에멀젼C,전자,화강암,Cylinder-cut,80.83,61.15,0.079
에멀젼C,전자,화강암,Cylinder-cut,92.38,69.89,0.04
에멀젼C,전자,화강암,Cylinder-cut,90.07,68.14,0.084
에멀젼C,전자,화강암,Cylinder-cut,94.69,71.63,0.052000000000000005
에멀젼C,전자,화강암,Cylinder-cut,115.47,87.36,0.033
에멀젼C,전자,화강암,Cylinder-cut,113.16,85.61,0.049
에멀젼C,전자,화강암,Cylinder-cut,117.78,89.11,0.051
에멀젼C,전자,화강암,Cylinder-cut,124.71,94.35,0.075
에멀젼C,전자,화강암,Cylinder-cut,122.4,92.6,0.095
에멀젼C,전자,화강암,Cylinder-cut,127.02,96.09,0.07
에멀젼C,전자,화강암,Cylinder-cut,138.56,104.83,0.022000000000000002
에멀젼C,전자,화강암,Cylinder-cut,136.25,103.08,0.024
에멀젼C,전자,화강암,Cylinder-cut,140.87,106.58,0.024
에멀젼C,전자,화강암,Cylinder-cut,242.49,183.45,0.011000000000000001
에멀젼C,전자,화강암,Cylinder-cut,240.18,181.7,0.011000000000000001
에멀젼C,전자,화강암,Cylinder-cut,244.8,185.2,0.002
에멀젼C,전자,화강암,Cylinder-cut,256.34,193.93,0.016
에멀젼C,전자,화강암,Cylinder-cut,254.03,192.19,0.016
에멀젼C,전자,화강암,Cylinder-cut,258.65,195.68,0.027000000000000003
에멀젼C,전자,화강암,Cylinder-cut,355.65,269.06,0.021
에멀젼C,전자,화강암,Cylinder-cut,353.34,267.32,0.024
에멀젼C,전자,화강암,Cylinder-cut,357.96,270.81,0.003
에멀젼C,전자,화강암,Cylinder-cut,607.37,459.5,0.004
에멀젼C,전자,화강암,Cylinder-cut,605.06,457.76,0.006
에멀젼C,전자,화강암,Cylinder-cut,609.68,461.25,0.006999999999999999
에멀젼C,전자,화강암,Cylinder-cut,25.5,18.79,0.34299999999999997
에멀젼C,전자,화강암,Cylinder-cut,30.0,22.1,0.152
에멀젼C,전자,화강암,Cylinder-cut,35.0,25.79,0.34299999999999997
에멀젼C,전자,화강암,Cylinder-cut,40.0,29.47,0.22899999999999998
에멀젼C,전자,화강암,Cylinder-cut,101.25,74.6,0.064
에멀젼C,전자,화강암,Cylinder-cut,102.5,75.52,0.439
에멀젼C,전자,화강암,Cylinder-cut,150.0,110.52,0.016
에멀젼C,전자,화강암,Cylinder-cut,147.5,108.68,0.048
에멀젼C,전자,화강암,Cylinder-cut,152.5,112.36,0.03
에멀젼C,전자,화강암,Cylinder-cut,175.0,128.94,0.021
에멀젼C,전자,화강암,Cylinder-cut,172.5,127.1,0.037000000000000005
에멀젼C,전자,화강암,Cylinder-cut,177.5,130.78,0.024
에멀젼C,전자,화강암,Cylinder-cut,200.0,147.36,0.022000000000000002
에멀젼C,전자,화강암,Cylinder-cut,197.5,145.52,0.033
에멀젼C,전자,화강암,Cylinder-cut,202.5,149.2,0.019
에멀젼C,전자,화강암,Cylinder-cut,222.5,163.94,0.032
에멀젼C,전자,화강암,Cylinder-cut,227.5,167.62,0.022000000000000002
에멀젼C,전자,화강암,Cylinder-cut,42.49,32.49,0.337
에멀젼C,전자,화강암,Cylinder-cut,46.96,35.91,0.091
에멀젼C,전자,화강암,Cylinder-cut,55.9,42.75,0.09699999999999999
에멀젼C,전자,화강암,Cylinder-cut,53.67,41.04,0.09699999999999999
에멀젼C,전자,화강암,Cylinder-cut,58.14,44.46,0.011000000000000001
에멀젼C,전자,화강암,Cylinder-cut,89.44,68.4,0.040999999999999995
에멀젼C,전자,화강암,Cylinder-cut,87.21,66.69,0.085
에멀젼C,전자,화강암,Cylinder-cut,91.68,70.11,0.012
에멀젼C,전자,화강암,Cylinder-cut,109.57,83.79,0.040999999999999995
에멀젼C,전자,화강암,Cylinder-cut,107.33,82.08,0.054000000000000006
에멀젼C,전자,화강암,Cylinder-cut,111.8,85.5,0.026000000000000002
에멀젼C,전자,화강암,Cylinder-cut,114.04,87.21,0.038
에멀젼C,전자,화강암,Cylinder-cut,111.8,85.5,0.049
에멀젼C,전자,화강암,Cylinder-cut,116.28,88.92,0.017
에멀젼C,전자,화강암,Cylinder-cut,111.8,85.5,0.045
에멀젼C,전자,화강암,Cylinder-cut,109.57,83.79,0.049
에멀젼C,전자,화강암,Cylinder-cut,114.04,87.21,0.021
에멀젼C,전자,화강암,Cylinder-cut,134.16,102.6,0.035
에멀젼C,전자,화강암,Cylinder-cut,131.93,100.89,0.039
에멀젼C,전자,화강암,Cylinder-cut,136.4,104.31,0.009000000000000001
에멀젼C,전자,화강암,Cylinder-cut,156.52,119.7,0.02
에멀젼C,전자,화강암,Cylinder-cut,154.29,117.99,0.02
에멀젼C,전자,화강암,Cylinder-cut,158.76,121.41,0.004
에멀젼C,전자,화강암,Cylinder-cut,178.89,136.8,0.018000000000000002
에멀젼C,전자,화강암,Cylinder-cut,176.65,135.09,0.018000000000000002
에멀젼C,전자,화강암,Cylinder-cut,181.12,138.51,0.002
에멀젼C,전자,화강암,Cylinder-cut,223.61,171.0,0.013999999999999999
에멀젼C,전자,화강암,Cylinder-cut,221.37,169.29,0.019
에멀젼C,전자,화강암,Cylinder-cut,225.84,172.71,0.005
에멀젼C,전자,화강암,Cylinder-cut,50.0,36.84,0.225
에멀젼C,전자,화강암,Cylinder-cut,47.5,35.0,0.43700000000000006
에멀젼C,전자,화강암,Cylinder-cut,52.5,38.68,0.289
에멀젼C,전자,화강암,Cylinder-cut,75.0,55.26,0.071
에멀젼C,전자,화강암,Cylinder-cut,72.5,53.42,0.121
에멀젼C,전자,화강암,Cylinder-cut,77.5,57.1,0.11900000000000001
에멀젼C,전자,화강암,Cylinder-cut,87.5,64.47,0.084
에멀젼C,전자,화강암,Cylinder-cut,85.0,62.63,0.12300000000000001
에멀젼C,전자,화강암,Cylinder-cut,90.0,66.31,0.09699999999999999
에멀젼C,전자,화강암,Cylinder-cut,125.0,92.1,0.040999999999999995
에멀젼C,전자,화강암,Cylinder-cut,122.5,90.26,0.067
에멀젼C,전자,화강암,Cylinder-cut,127.5,93.94,0.057
에멀젼C,전자,화강암,Cylinder-cut,155.0,114.2,0.027999999999999997
에멀젼C,전자,화강암,Cylinder-cut,152.5,112.36,0.052000000000000005
에멀젼C,전자,화강암,Cylinder-cut,157.5,116.05,0.034
에멀젼C,전자,화강암,Cylinder-cut,187.5,138.15,0.044000000000000004
에멀젼C,전자,화강암,Cylinder-cut,185.0,136.31,0.062
에멀젼C,전자,화강암,Cylinder-cut,190.0,139.99,0.049
에멀젼C,전자,화강암,Cylinder-cut,225.0,165.78,0.013999999999999999
에멀젼C,전자,화강암,Cylinder-cut,222.5,163.94,0.021
에멀젼C,전자,화강암,Cylinder-cut,227.5,167.62,0.006
에멀젼C,전자,화강암,Cylinder-cut,87.5,64.47,0.064
에멀젼C,전자,화강암,Cylinder-cut,69.4,54.71,0.203
에멀젼C,전자,화강암,Cylinder-cut,73.48,57.93,0.038
에멀젼C,전자,화강암,Cylinder-cut,125.0,92.1,0.051
에멀젼C,전자,화강암,Cylinder-cut,100.02,78.85,0.114
에멀젼C,전자,화강암,Cylinder-cut,104.1,82.07,0.013000000000000001
에멀젼C,전자,화강암,Cylinder-cut,150.0,110.52,0.021
에멀젼C,전자,화강암,Cylinder-cut,120.43,94.94,0.044000000000000004
에멀젼C,전자,화강암,Cylinder-cut,124.52,98.16,0.016
에멀젼C,전자,화강암,Cylinder-cut,175.0,128.94,0.024
에멀젼C,전자,화강암,Cylinder-cut,140.85,111.03,0.043
에멀젼C,전자,화강암,Cylinder-cut,144.93,114.25,0.013000000000000001
에멀젼C,전자,화강암,Cylinder-cut,200.0,147.36,0.018000000000000002
