뇌관,암석분류,심발,SR SD,CR SD,최대입자속도
전기,화성암,V-CUT,16.0,16.0,1.695
전기,화성암,V-CUT,95.18,102.94,0.053
전기,화성암,V-CUT,110.27,113.68,0.054000000000000006
전기,화성암,V-CUT,109.18,112.55,0.06
전기,화성암,V-CUT,118.2,118.2,0.077
전기,화성암,V-CUT,118.8,118.8,0.062
전기,화성암,V-CUT,206.18,222.98,0.013999999999999999
전기,화성암,V-CUT,206.26,223.07,0.013999999999999999
전기,화성암,V-CUT,206.81,223.66,0.008
전기,화성암,V-CUT,206.73,223.58,0.009000000000000001
전기,화성암,V-CUT,241.91,249.37,0.011000000000000001
전기,화성암,V-CUT,231.95,250.85,0.018000000000000002
전기,화성암,V-CUT,271.12,279.49,0.016
전기,화성암,V-CUT,272.58,280.99,0.013000000000000001
전기,화성암,V-CUT,249.66,264.06,0.018000000000000002
전기,화성암,V-CUT,297.0,297.0,0.013000000000000001
전기,화성암,V-CUT,40.62,41.88,0.29100000000000004
전기,화성암,V-CUT,45.3,45.3,0.23
전기,화성암,V-CUT,39.8,41.03,0.308
전기,화성암,V-CUT,38.16,39.34,0.391
전기,화성암,V-CUT,42.6,42.6,0.322
전기,화성암,V-CUT,43.19,45.68,0.282
전기,화성암,V-CUT,46.92,48.37,0.258
전기,화성암,V-CUT,46.19,47.62,0.316
전기,화성암,V-CUT,45.46,46.86,0.364
전기,화성암,V-CUT,57.0,57.0,0.13
전기,화성암,V-CUT,62.35,64.27,0.136
전기,화성암,V-CUT,63.72,67.4,0.11599999999999999
전기,화성암,V-CUT,64.8,64.8,0.191
전기,화성암,V-CUT,67.5,67.5,0.139
전기,화성암,V-CUT,65.6,65.6,0.183
전기,화성암,V-CUT,71.07,76.86,0.135
전기,화성암,V-CUT,80.52,83.0,0.09699999999999999
전기,화성암,V-CUT,78.87,81.31,0.149
전기,화성암,V-CUT,84.8,84.8,0.153
전기,화성암,V-CUT,85.6,85.6,0.151
전기,화성암,V-CUT,88.91,94.04,0.125
전기,화성암,V-CUT,90.77,96.01,0.149
전기,화성암,V-CUT,96.4,99.37,0.157
전기,화성암,V-CUT,96.4,99.37,0.172
전기,화성암,V-CUT,89.67,94.84,0.237
전기,화성암,V-CUT,190.2,150.96,0.015
전기,화성암,V-CUT,216.39,163.71,0.012
전기,화성암,V-CUT,218.01,164.93,0.012
전기,화성암,V-CUT,225.86,170.87,0.012
전기,화성암,V-CUT,223.78,169.3,0.016
