뇌관,SR SD,CR SD,최대입자속도
전자,143.88,123.51,0.024
전자,185.62,153.51,0.024
전자,183.85,152.05,0.032
전자,192.94,156.51,0.028999999999999998
전자,167.6,143.86,0.01
전자,252.79,209.07,0.013999999999999999
전자,251.02,207.61,0.016
전자,264.12,214.26,0.013000000000000001
전자,227.68,195.44,0.008
전자,438.41,362.58,0.012
전자,436.64,361.12,0.01
전자,460.8,373.81,0.012
전자,393.7,337.94,0.012
전자,503.81,416.67,0.015
전자,502.05,415.21,0.015
전자,530.11,430.04,0.015
전자,452.21,388.16,0.012
전자,88.39,73.1,0.102
전자,86.62,71.64,0.08900000000000001
전자,89.91,72.94,0.102
전자,80.64,69.22,0.127
전자,123.74,102.34,0.051
전자,121.98,100.88,0.051
전자,127.38,103.33,0.038
전자,112.26,96.36,0.013000000000000001
전자,159.1,131.58,0.028999999999999998
전자,157.33,130.12,0.043
전자,164.84,133.72,0.025
전자,143.88,123.51,0.006
전자,185.62,153.51,0.038
전자,183.85,152.05,0.037000000000000005
전자,192.94,156.51,0.022000000000000002
전자,167.6,143.86,0.021
전자,251.02,207.61,0.03
전자,249.26,206.14,0.028999999999999998
전자,262.24,212.74,0.019
전자,226.1,194.08,0.008
전자,440.17,364.04,0.012
전자,438.41,362.58,0.013999999999999999
전자,462.67,375.33,0.012
전자,395.28,339.3,0.015
전자,503.81,416.67,0.015
전자,502.05,415.21,0.015
전자,530.11,430.04,0.015
전자,452.21,388.16,0.012
전자,53.75,49.9,0.435
전자,77.5,71.94,0.142
전자,90.0,83.55,0.11599999999999999
전자,150.0,139.25,0.057
전자,227.5,211.19,0.023
전자,375.0,348.12,0.011000000000000001
전자,38.89,32.16,0.184
전자,74.25,61.4,0.08800000000000001
전자,114.9,95.03,0.032
전자,88.39,73.1,0.043
전자,173.24,143.28,0.022000000000000002
전자,167.94,138.89,0.027000000000000003
전자,34.0,26.99,0.106
전자,34.0,26.99,0.10800000000000001
전자,58.0,46.03,0.24100000000000002
전자,48.0,38.1,0.179
전자,128.0,101.59,0.04
전자,56.0,44.45,0.14
전자,110.0,87.31,0.045
전자,60.0,47.62,0.092
전자,208.0,165.09,0.025
전자,128.0,101.59,0.043
전자,30.02,22.71,0.24100000000000002
전자,27.71,20.97,0.22899999999999998
전자,23.19,18.09,0.24100000000000002
전자,32.33,24.46,0.17800000000000002
전자,78.52,59.4,0.057999999999999996
전자,76.21,57.66,0.102
전자,67.46,52.61,0.095
전자,80.83,61.15,0.079
전자,92.38,69.89,0.04
전자,90.07,68.14,0.084
전자,80.11,62.48,0.067
전자,94.69,71.63,0.052000000000000005
전자,115.47,87.36,0.033
전자,113.16,85.61,0.049
전자,101.19,78.92,0.040999999999999995
전자,117.78,89.11,0.051
전자,124.71,94.35,0.075
전자,122.4,92.6,0.095
전자,109.63,85.5,0.013999999999999999
전자,127.02,96.09,0.07
전자,138.56,104.83,0.022000000000000002
전자,136.25,103.08,0.024
전자,122.27,95.36,0.025
전자,140.87,106.58,0.024
전자,242.49,183.45,0.011000000000000001
전자,240.18,181.7,0.011000000000000001
전자,217.14,169.35,0.003
전자,244.8,185.2,0.002
전자,256.34,193.93,0.016
전자,254.03,192.19,0.016
전자,229.79,179.21,0.016
전자,258.65,195.68,0.027000000000000003
전자,355.65,269.06,0.021
전자,353.34,267.32,0.024
전자,320.44,249.91,0.003
전자,357.96,270.81,0.003
전자,607.37,459.5,0.004
전자,605.06,457.76,0.006
전자,550.24,429.12,0.006999999999999999
전자,609.68,461.25,0.006999999999999999
전자,25.5,18.79,0.34299999999999997
전자,23.0,16.95,0.419
전자,30.0,22.1,0.152
전자,35.0,25.79,0.34299999999999997
전자,32.5,23.95,0.381
전자,40.0,29.47,0.22899999999999998
전자,101.25,74.6,0.064
전자,98.75,72.76,0.049
전자,102.5,75.52,0.439
전자,150.0,110.52,0.016
전자,147.5,108.68,0.048
전자,145.0,106.84,0.051
전자,152.5,112.36,0.03
전자,175.0,128.94,0.021
전자,172.5,127.1,0.037000000000000005
전자,170.0,125.26,0.037000000000000005
전자,177.5,130.78,0.024
전자,200.0,147.36,0.022000000000000002
전자,197.5,145.52,0.033
전자,195.0,143.68,0.035
전자,202.5,149.2,0.019
전자,222.5,163.94,0.032
전자,220.0,162.1,0.027000000000000003
전자,227.5,167.62,0.022000000000000002
전자,56.58,53.93,0.235
전자,73.9,70.44,0.261
전자,91.22,86.95,0.268
전자,108.54,103.46,0.22899999999999998
전자,125.86,119.97,0.162
전자,143.18,136.48,0.156
전자,160.5,152.99,0.17600000000000002
전자,185.91,177.2,0.040999999999999995
전자,56.58,53.93,0.048
전자,73.9,70.44,0.031
전자,91.22,86.95,0.024
전자,108.54,103.46,0.038
전자,125.86,119.97,0.016
전자,143.18,136.48,0.015
전자,160.5,152.99,0.011000000000000001
전자,183.6,175.0,0.009000000000000001
전자,152.16,146.61,0.031
전자,124.24,128.08,0.05
전자,157.15,149.8,0.028999999999999998
전자,180.12,173.54,0.023
전자,180.12,173.54,0.021
전자,147.06,151.6,0.027000000000000003
전자,208.07,200.47,0.02
전자,208.07,200.47,0.021
전자,208.07,200.47,0.017
전자,49.64,42.16,0.8290000000000001
