뇌관,심발,SR SD,CR SD,최대입자속도
전기,V-CUT,370.53,314.65,0.011000000000000001
전기,V-CUT,369.55,313.82,0.012
전기,V-CUT,368.57,312.98,0.012
전기,V-CUT,367.59,312.15,0.013999999999999999
전기,V-CUT,360.56,306.19,0.013999999999999999
전기,V-CUT,93.73,79.6,0.12
전기,V-CUT,92.75,78.77,0.161
전기,V-CUT,126.56,95.74,0.087
전기,V-CUT,127.02,96.09,0.095
전기,V-CUT,125.86,95.22,0.081
전기,V-CUT,91.61,77.8,0.086
전기,V-CUT,76.91,65.31,0.139
전기,V-CUT,79.04,67.12,0.111
전기,V-CUT,76.91,65.31,0.131
전기,V-CUT,99.4,78.89,0.084
전기,V-CUT,102.77,77.75,0.09699999999999999
전기,V-CUT,75.44,64.07,0.105
전기,V-CUT,89.81,76.27,0.084
전기,V-CUT,87.53,74.33,0.109
전기,V-CUT,87.69,74.47,0.15
전기,V-CUT,116.86,88.41,0.09
전기,V-CUT,114.55,86.66,0.106
전기,V-CUT,85.24,72.39,0.079
전기,V-CUT,27.9,27.29,0.616
전기,V-CUT,21.54,22.21,0.5589999999999999
전기,V-CUT,21.96,23.5,0.35700000000000004
전기,V-CUT,16.4,18.09,0.5329999999999999
전기,V-CUT,27.9,27.29,0.319
전기,V-CUT,21.54,22.21,0.33
전기,V-CUT,21.96,23.5,0.23
전기,V-CUT,16.4,18.09,0.36200000000000004
전기,V-CUT,39.02,38.16,0.155
전기,V-CUT,31.77,32.75,0.14400000000000002
전기,V-CUT,30.29,32.41,0.11
전기,V-CUT,25.19,27.79,0.099
전기,V-CUT,62.43,61.06,0.094
전기,V-CUT,52.31,53.92,0.068
전기,V-CUT,48.01,51.37,0.025
전기,V-CUT,42.26,46.61,0.071
전기,V-CUT,77.72,76.01,0.09699999999999999
전기,V-CUT,65.64,67.66,0.154
전기,V-CUT,59.6,63.77,0.099
전기,V-CUT,53.22,58.7,0.153
전기,V-CUT,86.06,84.16,0.076
전기,V-CUT,72.94,75.19,0.091
전기,V-CUT,65.89,70.5,0.064
전기,V-CUT,59.26,65.35,0.13
전기,V-CUT,105.84,103.51,0.21
전기,V-CUT,89.83,92.6,0.28800000000000003
전기,V-CUT,81.0,86.66,0.11199999999999999
전기,V-CUT,73.12,80.65,0.195
전기,V-CUT,217.34,212.55,0.078
전기,V-CUT,185.5,191.22,0.042
전기,V-CUT,166.08,177.69,0.034
전기,V-CUT,151.38,166.96,0.042
전기,V-CUT,274.1,268.07,0.059000000000000004
전기,V-CUT,234.06,241.28,0.039
전기,V-CUT,209.43,224.07,0.024
전기,V-CUT,191.11,210.78,0.037000000000000005
전기,V-CUT,91.87,105.16,0.156
전기,V-CUT,112.51,120.38,0.1
전기,V-CUT,79.56,95.55,0.2
전기,V-CUT,79.56,95.55,0.19
전기,V-CUT,289.61,309.86,0.021
전기,V-CUT,204.79,245.94,0.04
전기,V-CUT,236.47,270.69,0.03
전기,V-CUT,236.47,270.69,0.032
전기,V-CUT,401.58,418.99,0.023
전기,V-CUT,414.37,428.92,0.025
전기,V-CUT,425.7,437.8,0.011000000000000001
전기,V-CUT,427.97,440.44,0.021
전기,V-CUT,425.98,440.15,0.013999999999999999
전기,V-CUT,441.64,451.26,0.013999999999999999
전기,V-CUT,424.67,440.17,0.016
전기,V-CUT,438.54,450.49,0.023
전기,V-CUT,434.42,448.44,0.023
전기,V-CUT,433.8,448.79,0.042
전기,V-CUT,439.08,453.26,0.016
전기,V-CUT,436.66,452.29,0.02
전기,V-CUT,454.42,465.27,0.027999999999999997
전기,V-CUT,428.68,441.9,0.011000000000000001
전기,V-CUT,406.36,456.62,0.012
전기,V-CUT,535.06,549.72,0.011000000000000001
전기,V-CUT,411.65,462.06,0.013000000000000001
전기,V-CUT,437.97,481.93,0.038
전기,V-CUT,499.69,526.48,0.012
전기,V-CUT,424.72,473.09,0.038
전기,V-CUT,505.78,531.59,0.012
전기,V-CUT,475.15,510.49,0.023
전기,V-CUT,425.77,475.74,0.011000000000000001
전기,V-CUT,439.95,487.19,0.012
전기,V-CUT,430.54,481.15,0.024
전기,V-CUT,432.1,484.16,0.013000000000000001
전기,V-CUT,426.45,480.84,0.044000000000000004
전기,V-CUT,470.58,514.44,0.028999999999999998
전기,V-CUT,468.6,513.97,0.028999999999999998
전기,V-CUT,417.94,477.49,0.027000000000000003
전기,V-CUT,421.21,480.37,0.051
전기,V-CUT,440.52,496.51,0.036000000000000004
전기,V-CUT,433.4,491.92,0.024
전기,V-CUT,434.81,493.74,0.043
전기,V-CUT,436.38,495.72,0.012
전기,V-CUT,424.63,487.16,0.016
전기,V-CUT,428.58,490.93,0.012
전기,V-CUT,584.07,605.31,0.013000000000000001
전기,V-CUT,696.19,718.77,0.006999999999999999
