암석분류,심발,SR SD,CR SD,최대입자속도
퇴적암,V-CUT,40.25,43.07,0.151
퇴적암,V-CUT,39.85,42.63,0.172
퇴적암,V-CUT,50.06,51.06,0.149
퇴적암,V-CUT,53.17,54.23,0.10800000000000001
퇴적암,V-CUT,50.53,51.54,0.14400000000000002
퇴적암,V-CUT,52.23,53.27,0.086
퇴적암,V-CUT,51.1,52.11,0.125
퇴적암,V-CUT,52.7,53.75,0.081
퇴적암,V-CUT,55.36,59.23,0.098
퇴적암,V-CUT,55.28,59.14,0.098
퇴적암,V-CUT,54.95,58.79,0.14
퇴적암,V-CUT,61.28,62.5,0.11699999999999999
퇴적암,V-CUT,63.07,64.32,0.102
퇴적암,V-CUT,61.85,63.07,0.11199999999999999
퇴적암,V-CUT,62.41,63.65,0.10300000000000001
퇴적암,V-CUT,60.62,61.82,0.128
퇴적암,V-CUT,74.22,79.41,0.048
퇴적암,V-CUT,74.71,79.93,0.04
퇴적암,V-CUT,85.32,87.02,0.048
퇴적암,V-CUT,82.21,83.84,0.084
퇴적암,V-CUT,83.44,85.09,0.066
퇴적암,V-CUT,82.78,84.42,0.068
퇴적암,V-CUT,84.1,85.77,0.053
퇴적암,V-CUT,89.19,90.96,0.053
퇴적암,V-CUT,118.07,126.32,0.019
퇴적암,V-CUT,118.56,126.84,0.019
퇴적암,V-CUT,118.47,126.76,0.016
퇴적암,V-CUT,118.07,126.32,0.025
퇴적암,V-CUT,135.29,137.98,0.021
퇴적암,V-CUT,133.97,136.63,0.03
퇴적암,V-CUT,135.95,138.65,0.019
퇴적암,V-CUT,134.63,137.3,0.026000000000000002
퇴적암,V-CUT,109.2,125.0,0.084
퇴적암,V-CUT,109.47,125.31,0.064
퇴적암,V-CUT,110.2,126.15,0.051
퇴적암,V-CUT,122.69,136.24,0.043
퇴적암,V-CUT,122.62,136.16,0.048
퇴적암,V-CUT,131.95,148.1,0.022000000000000002
퇴적암,V-CUT,117.76,137.19,0.022000000000000002
퇴적암,V-CUT,126.93,145.3,0.023
퇴적암,V-CUT,125.93,144.16,0.025
퇴적암,V-CUT,136.93,152.06,0.024
퇴적암,V-CUT,42.28,47.46,0.322
퇴적암,V-CUT,36.53,41.82,0.331
퇴적암,V-CUT,37.07,42.43,0.24100000000000002
퇴적암,V-CUT,37.07,42.43,0.309
퇴적암,V-CUT,37.73,43.19,0.33
퇴적암,V-CUT,63.57,71.35,0.153
퇴적암,V-CUT,63.99,71.83,0.1
퇴적암,V-CUT,63.53,72.73,0.091
퇴적암,V-CUT,57.73,66.09,0.11199999999999999
퇴적암,V-CUT,59.47,68.07,0.115
퇴적암,V-CUT,76.6,87.69,0.059000000000000004
퇴적암,V-CUT,76.6,87.69,0.055999999999999994
퇴적암,V-CUT,77.13,88.3,0.034
퇴적암,V-CUT,84.42,93.75,0.042
퇴적암,V-CUT,84.64,93.99,0.051
퇴적암,V-CUT,106.0,118.98,0.04
퇴적암,V-CUT,98.6,112.87,0.039
퇴적암,V-CUT,97.87,112.03,0.053
퇴적암,V-CUT,97.87,112.03,0.032
퇴적암,V-CUT,97.27,111.34,0.033
퇴적암,V-CUT,127.63,143.26,0.02
퇴적암,V-CUT,116.93,133.86,0.026000000000000002
퇴적암,V-CUT,117.0,133.93,0.018000000000000002
퇴적암,V-CUT,119.87,137.21,0.019
퇴적암,V-CUT,116.93,133.86,0.023
퇴적암,V-CUT,176.21,156.99,0.046
퇴적암,V-CUT,175.65,156.48,0.025
퇴적암,V-CUT,200.04,169.87,0.026000000000000002
퇴적암,V-CUT,203.63,172.92,0.024
퇴적암,V-CUT,204.45,173.62,0.028999999999999998
퇴적암,V-CUT,297.27,264.84,0.01
퇴적암,V-CUT,298.4,265.84,0.009000000000000001
퇴적암,V-CUT,341.3,289.83,0.006999999999999999
퇴적암,V-CUT,343.75,291.91,0.006999999999999999
퇴적암,V-CUT,344.72,292.74,0.009000000000000001
퇴적암,V-CUT,129.4,115.28,0.069
퇴적암,V-CUT,130.11,115.91,0.069
퇴적암,V-CUT,129.12,115.03,0.052000000000000005
퇴적암,V-CUT,143.21,121.62,0.047
퇴적암,V-CUT,144.19,122.45,0.049
퇴적암,V-CUT,55.58,49.51,0.24
퇴적암,V-CUT,56.85,50.65,0.308
퇴적암,V-CUT,59.6,50.62,0.20800000000000002
퇴적암,V-CUT,54.02,48.13,0.318
퇴적암,V-CUT,63.03,53.53,0.32799999999999996
퇴적암,V-CUT,70.0,62.37,0.107
퇴적암,V-CUT,79.85,67.81,0.091
퇴적암,V-CUT,79.04,67.12,0.1
퇴적암,V-CUT,62.87,59.24,0.077
퇴적암,V-CUT,69.08,65.1,0.068
퇴적암,V-CUT,99.28,88.45,0.032
퇴적암,V-CUT,99.14,88.32,0.028999999999999998
퇴적암,V-CUT,112.02,95.13,0.027000000000000003
퇴적암,V-CUT,113.66,96.52,0.036000000000000004
퇴적암,V-CUT,110.72,94.02,0.027000000000000003
퇴적암,V-CUT,135.06,120.32,0.025
퇴적암,V-CUT,134.21,119.57,0.027000000000000003
퇴적암,V-CUT,133.78,119.19,0.031
퇴적암,V-CUT,153.34,130.21,0.019
퇴적암,V-CUT,151.22,128.41,0.021
퇴적암,V-CUT,147.87,158.21,0.02
퇴적암,V-CUT,169.05,172.4,0.017
퇴적암,V-CUT,154.71,161.63,0.019
퇴적암,V-CUT,155.41,162.36,0.021
퇴적암,V-CUT,146.32,156.55,0.023
퇴적암,V-CUT,195.35,199.22,0.016
퇴적암,V-CUT,186.81,195.16,0.015
퇴적암,V-CUT,181.2,189.3,0.015
퇴적암,V-CUT,212.17,211.28,0.02
퇴적암,V-CUT,210.1,210.1,0.015
퇴적암,V-CUT,45.72,50.77,0.126
퇴적암,V-CUT,49.56,53.03,0.11900000000000001
퇴적암,V-CUT,51.19,54.77,0.165
퇴적암,V-CUT,51.77,55.39,0.11199999999999999
퇴적암,V-CUT,60.25,61.44,0.098
퇴적암,V-CUT,89.57,95.83,0.025
퇴적암,V-CUT,91.28,97.67,0.037000000000000005
퇴적암,V-CUT,105.5,107.59,0.021
퇴적암,V-CUT,102.95,105.0,0.047
퇴적암,V-CUT,105.78,107.88,0.039
퇴적암,V-CUT,121.15,123.55,0.028999999999999998
퇴적암,V-CUT,126.15,128.65,0.027999999999999997
퇴적암,V-CUT,122.85,125.28,0.046
퇴적암,V-CUT,125.21,127.69,0.034
퇴적암,V-CUT,112.18,117.19,0.026000000000000002
퇴적암,V-CUT,122.07,130.6,0.035
퇴적암,V-CUT,141.61,144.42,0.032
퇴적암,V-CUT,140.48,143.26,0.034
퇴적암,V-CUT,143.97,146.82,0.035
퇴적암,V-CUT,128.93,134.69,0.054000000000000006
퇴적암,V-CUT,138.4,148.07,0.018000000000000002
퇴적암,V-CUT,195.38,186.23,0.02
퇴적암,V-CUT,159.99,163.17,0.039
퇴적암,V-CUT,152.7,159.52,0.035
퇴적암,V-CUT,152.61,159.43,0.035
퇴적암,V-CUT,261.89,249.63,0.009000000000000001
퇴적암,V-CUT,262.58,250.29,0.008
퇴적암,V-CUT,214.02,218.26,0.008
퇴적암,V-CUT,213.64,217.88,0.008
퇴적암,V-CUT,215.34,219.61,0.006999999999999999
퇴적암,V-CUT,33.39,35.73,0.151
퇴적암,V-CUT,48.73,46.45,0.09
퇴적암,V-CUT,53.17,47.37,0.09
퇴적암,V-CUT,41.39,42.21,0.153
퇴적암,V-CUT,39.41,40.19,0.142
퇴적암,V-CUT,65.15,66.44,0.096
퇴적암,V-CUT,83.25,79.36,0.065
퇴적암,V-CUT,101.96,90.84,0.087
퇴적암,V-CUT,103.66,92.35,0.039
퇴적암,V-CUT,67.51,68.84,0.07
퇴적암,V-CUT,92.96,94.8,0.031
퇴적암,V-CUT,117.78,112.27,0.027000000000000003
퇴적암,V-CUT,144.39,128.64,0.026000000000000002
퇴적암,V-CUT,119.05,113.48,0.027999999999999997
퇴적암,V-CUT,95.98,97.88,0.027999999999999997
퇴적암,V-CUT,123.6,126.05,0.016
퇴적암,V-CUT,188.37,167.82,0.013999999999999999
퇴적암,V-CUT,123.6,126.05,0.023
퇴적암,V-CUT,124.26,126.73,0.013000000000000001
퇴적암,V-CUT,125.49,127.98,0.009000000000000001
퇴적암,V-CUT,222.17,197.93,0.013000000000000001
퇴적암,V-CUT,229.24,204.23,0.012
퇴적암,V-CUT,151.23,154.22,0.026000000000000002
퇴적암,V-CUT,153.21,156.24,0.017
퇴적암,V-CUT,154.24,157.3,0.023
퇴적암,V-CUT,27.29,24.32,0.2
퇴적암,V-CUT,29.98,26.71,0.38
퇴적암,V-CUT,33.94,30.24,0.33
퇴적암,V-CUT,38.61,34.4,0.33
퇴적암,V-CUT,44.12,39.31,0.48
퇴적암,V-CUT,40.8,32.38,0.58
퇴적암,V-CUT,44.2,35.08,0.38
퇴적암,V-CUT,49.6,39.37,0.45
퇴적암,V-CUT,56.2,44.61,0.27
퇴적암,V-CUT,63.0,50.0,0.45
