화약,암종,심발,SR SD,CR SD,최대입자속도
함수폭약,셰일,V-CUT,27.29,24.32,0.2
함수폭약,셰일,V-CUT,29.98,26.71,0.38
함수폭약,셰일,V-CUT,33.94,30.24,0.33
함수폭약,셰일,V-CUT,38.61,34.4,0.33
함수폭약,셰일,V-CUT,44.12,39.31,0.48
함수폭약,셰일,V-CUT,40.8,32.38,0.58
함수폭약,셰일,V-CUT,44.2,35.08,0.38
함수폭약,셰일,V-CUT,49.6,39.37,0.45
함수폭약,셰일,V-CUT,56.2,44.61,0.27
함수폭약,셰일,V-CUT,63.0,50.0,0.45
