화약,뇌관,심발,SR SD,CR SD,최대입자속도
에멀젼C,전기,V-CUT,45.3,45.3,0.23
에멀젼C,전기,V-CUT,39.8,41.03,0.308
에멀젼C,전기,V-CUT,38.16,39.34,0.391
에멀젼C,전기,V-CUT,42.6,42.6,0.322
에멀젼C,전기,V-CUT,43.19,45.68,0.282
에멀젼C,전기,V-CUT,46.92,48.37,0.258
에멀젼C,전기,V-CUT,46.19,47.62,0.316
에멀젼C,전기,V-CUT,45.46,46.86,0.364
에멀젼C,전기,V-CUT,57.0,57.0,0.13
에멀젼C,전기,V-CUT,62.35,64.27,0.136
에멀젼C,전기,V-CUT,63.72,67.4,0.11599999999999999
에멀젼C,전기,V-CUT,64.8,64.8,0.191
에멀젼C,전기,V-CUT,67.5,67.5,0.139
에멀젼C,전기,V-CUT,65.6,65.6,0.183
에멀젼C,전기,V-CUT,71.07,76.86,0.135
에멀젼C,전기,V-CUT,80.52,83.0,0.09699999999999999
에멀젼C,전기,V-CUT,78.87,81.31,0.149
에멀젼C,전기,V-CUT,84.8,84.8,0.153
에멀젼C,전기,V-CUT,85.6,85.6,0.151
에멀젼C,전기,V-CUT,88.91,94.04,0.125
에멀젼C,전기,V-CUT,90.77,96.01,0.149
에멀젼C,전기,V-CUT,96.4,99.37,0.157
에멀젼C,전기,V-CUT,96.4,99.37,0.172
에멀젼C,전기,V-CUT,89.67,94.84,0.237
에멀젼C,전기,V-CUT,190.2,150.96,0.015
에멀젼C,전기,V-CUT,216.39,163.71,0.012
에멀젼C,전기,V-CUT,218.01,164.93,0.012
에멀젼C,전기,V-CUT,225.86,170.87,0.012
에멀젼C,전기,V-CUT,223.78,169.3,0.016
에멀젼C,전기,V-CUT,224.94,170.17,0.017
에멀젼C,전기,V-CUT,370.85,314.92,0.008
에멀젼C,전기,V-CUT,370.53,314.65,0.011000000000000001
에멀젼C,전기,V-CUT,369.55,313.82,0.012
에멀젼C,전기,V-CUT,368.57,312.98,0.012
에멀젼C,전기,V-CUT,367.59,312.15,0.013999999999999999
에멀젼C,전기,V-CUT,360.56,306.19,0.013999999999999999
에멀젼C,전기,V-CUT,93.73,79.6,0.12
에멀젼C,전기,V-CUT,92.75,78.77,0.161
에멀젼C,전기,V-CUT,126.56,95.74,0.087
에멀젼C,전기,V-CUT,127.02,96.09,0.095
에멀젼C,전기,V-CUT,125.86,95.22,0.081
에멀젼C,전기,V-CUT,91.61,77.8,0.086
에멀젼C,전기,V-CUT,76.91,65.31,0.139
에멀젼C,전기,V-CUT,79.04,67.12,0.111
에멀젼C,전기,V-CUT,76.91,65.31,0.131
에멀젼C,전기,V-CUT,99.4,78.89,0.084
에멀젼C,전기,V-CUT,102.77,77.75,0.09699999999999999
에멀젼C,전기,V-CUT,75.44,64.07,0.105
에멀젼C,전기,V-CUT,89.81,76.27,0.084
에멀젼C,전기,V-CUT,87.53,74.33,0.109
에멀젼C,전기,V-CUT,87.69,74.47,0.15
에멀젼C,전기,V-CUT,116.86,88.41,0.09
에멀젼C,전기,V-CUT,114.55,86.66,0.106
에멀젼C,전기,V-CUT,85.24,72.39,0.079
에멀젼C,전기,V-CUT,27.9,27.29,0.616
에멀젼C,전기,V-CUT,21.54,22.21,0.5589999999999999
에멀젼C,전기,V-CUT,16.4,18.09,0.5329999999999999
에멀젼C,전기,V-CUT,27.9,27.29,0.319
에멀젼C,전기,V-CUT,21.54,22.21,0.33
에멀젼C,전기,V-CUT,16.4,18.09,0.36200000000000004
에멀젼C,전기,V-CUT,39.02,38.16,0.155
에멀젼C,전기,V-CUT,31.77,32.75,0.14400000000000002
에멀젼C,전기,V-CUT,25.19,27.79,0.099
에멀젼C,전기,V-CUT,62.43,61.06,0.094
에멀젼C,전기,V-CUT,52.31,53.92,0.068
