심발,SR SD,CR SD,최대입자속도
V-CUT,231.95,250.85,0.018000000000000002
V-CUT,271.12,279.49,0.016
V-CUT,272.58,280.99,0.013000000000000001
V-CUT,249.66,264.06,0.018000000000000002
V-CUT,297.0,297.0,0.013000000000000001
V-CUT,40.62,41.88,0.29100000000000004
V-CUT,45.3,45.3,0.23
V-CUT,39.8,41.03,0.308
V-CUT,38.16,39.34,0.391
V-CUT,42.6,42.6,0.322
V-CUT,43.19,45.68,0.282
V-CUT,46.92,48.37,0.258
V-CUT,46.19,47.62,0.316
V-CUT,45.46,46.86,0.364
V-CUT,57.0,57.0,0.13
V-CUT,62.35,64.27,0.136
V-CUT,63.72,67.4,0.11599999999999999
V-CUT,64.8,64.8,0.191
V-CUT,67.5,67.5,0.139
V-CUT,65.6,65.6,0.183
V-CUT,71.07,76.86,0.135
V-CUT,80.52,83.0,0.09699999999999999
V-CUT,78.87,81.31,0.149
V-CUT,84.8,84.8,0.153
V-CUT,85.6,85.6,0.151
V-CUT,88.91,94.04,0.125
V-CUT,90.77,96.01,0.149
V-CUT,96.4,99.37,0.157
V-CUT,96.4,99.37,0.172
V-CUT,89.67,94.84,0.237
V-CUT,273.0,253.43,0.009000000000000001
V-CUT,273.0,253.43,0.016
V-CUT,272.88,253.31,0.011000000000000001
V-CUT,272.88,253.31,0.017
V-CUT,272.88,253.31,0.013999999999999999
V-CUT,59.38,55.12,0.147
V-CUT,68.56,60.67,0.134
V-CUT,68.7,60.79,0.12
V-CUT,68.7,60.79,0.134
V-CUT,59.38,55.12,0.16899999999999998
V-CUT,87.88,81.58,0.081
V-CUT,87.88,81.58,0.09699999999999999
V-CUT,101.47,89.79,0.086
V-CUT,101.47,89.79,0.1
V-CUT,87.88,81.58,0.146
V-CUT,117.88,109.43,0.063
V-CUT,117.88,109.43,0.07
V-CUT,136.11,120.44,0.067
V-CUT,136.11,120.44,0.085
V-CUT,136.11,120.44,0.066
V-CUT,142.13,131.94,0.038
V-CUT,164.11,145.22,0.031
V-CUT,164.11,145.22,0.035
V-CUT,164.11,145.22,0.039
V-CUT,164.11,145.22,0.037000000000000005
V-CUT,166.63,154.68,0.03
V-CUT,192.4,170.25,0.025
V-CUT,192.4,170.25,0.027000000000000003
V-CUT,192.4,170.25,0.027000000000000003
V-CUT,166.63,154.68,0.027999999999999997
V-CUT,193.65,197.49,0.013999999999999999
V-CUT,192.99,196.82,0.018000000000000002
V-CUT,193.75,197.59,0.016
V-CUT,197.9,201.82,0.013999999999999999
V-CUT,180.85,188.93,0.018000000000000002
V-CUT,201.86,205.86,0.013000000000000001
V-CUT,202.61,206.63,0.013999999999999999
V-CUT,206.76,210.86,0.012
V-CUT,201.86,205.86,0.012
V-CUT,188.57,197.0,0.013000000000000001
V-CUT,31.84,34.07,0.15
V-CUT,35.07,35.77,0.21100000000000002
V-CUT,43.88,41.82,0.125
V-CUT,29.18,31.64,0.146
V-CUT,37.19,38.85,0.152
V-CUT,51.92,57.66,0.063
V-CUT,63.26,64.52,0.08
V-CUT,63.17,64.42,0.07400000000000001
V-CUT,63.26,64.52,0.055999999999999994
V-CUT,62.89,64.13,0.077
V-CUT,80.75,86.4,0.038
V-CUT,92.21,94.03,0.034
V-CUT,92.3,94.13,0.036000000000000004
V-CUT,96.45,98.36,0.034
V-CUT,119.05,113.48,0.024
V-CUT,105.25,112.6,0.025
V-CUT,208.7,177.22,0.018000000000000002
V-CUT,152.65,145.5,0.015
V-CUT,146.65,139.78,0.019
V-CUT,147.57,140.66,0.018000000000000002
V-CUT,131.86,141.08,0.018000000000000002
V-CUT,188.22,179.4,0.016
V-CUT,188.33,179.51,0.017
V-CUT,187.29,178.52,0.019
V-CUT,188.22,179.4,0.016
V-CUT,261.89,249.63,0.009000000000000001
V-CUT,262.58,250.29,0.008
V-CUT,214.02,218.26,0.008
V-CUT,213.64,217.88,0.008
V-CUT,215.34,219.61,0.006999999999999999
V-CUT,33.39,35.73,0.151
V-CUT,48.73,46.45,0.09
V-CUT,53.17,47.37,0.09
V-CUT,41.39,42.21,0.153
V-CUT,39.41,40.19,0.142
V-CUT,65.15,66.44,0.096
V-CUT,83.25,79.36,0.065
V-CUT,101.96,90.84,0.087
V-CUT,103.66,92.35,0.039
V-CUT,67.51,68.84,0.07
V-CUT,92.96,94.8,0.031
V-CUT,117.78,112.27,0.027000000000000003
V-CUT,144.39,128.64,0.026000000000000002
V-CUT,119.05,113.48,0.027999999999999997
V-CUT,95.98,97.88,0.027999999999999997
V-CUT,123.6,126.05,0.016
V-CUT,188.37,167.82,0.013999999999999999
V-CUT,123.6,126.05,0.023
V-CUT,124.26,126.73,0.013000000000000001
V-CUT,125.49,127.98,0.009000000000000001
V-CUT,222.17,197.93,0.013000000000000001
V-CUT,229.24,204.23,0.012
V-CUT,151.23,154.22,0.026000000000000002
V-CUT,153.21,156.24,0.017
V-CUT,154.24,157.3,0.023
V-CUT,47.47,64.69,0.11800000000000001
V-CUT,40.07,57.79,0.122
V-CUT,40.07,57.79,0.131
V-CUT,40.03,57.74,0.258
V-CUT,47.43,64.63,0.122
V-CUT,59.29,80.79,0.10099999999999999
V-CUT,59.29,80.79,0.109
V-CUT,50.0,72.11,0.17600000000000002
V-CUT,50.0,72.11,0.209
V-CUT,59.29,80.79,0.13699999999999998
V-CUT,111.8,135.72,0.039
V-CUT,79.06,107.72,0.067
V-CUT,66.67,96.15,0.105
V-CUT,66.67,96.15,0.075
V-CUT,79.06,107.72,0.096
V-CUT,88.94,121.19,0.036000000000000004
V-CUT,75.0,108.17,0.061
V-CUT,88.94,121.19,0.04
V-CUT,88.94,121.19,0.054000000000000006
V-CUT,88.94,121.19,0.042
V-CUT,98.82,134.65,0.02
V-CUT,98.82,134.65,0.021
V-CUT,83.33,120.19,0.076
V-CUT,98.82,134.65,0.054000000000000006
V-CUT,98.82,134.65,0.043
V-CUT,118.59,161.58,0.022000000000000002
V-CUT,100.0,144.22,0.054000000000000006
V-CUT,100.0,144.22,0.045
V-CUT,118.59,161.58,0.033
V-CUT,118.59,161.58,0.039
V-CUT,190.2,150.96,0.015
V-CUT,216.39,163.71,0.012
V-CUT,218.01,164.93,0.012
V-CUT,225.86,170.87,0.012
V-CUT,223.78,169.3,0.016
V-CUT,224.94,170.17,0.017
V-CUT,370.85,314.92,0.008
V-CUT,370.53,314.65,0.011000000000000001
V-CUT,369.55,313.82,0.012
V-CUT,368.57,312.98,0.012
V-CUT,367.59,312.15,0.013999999999999999
V-CUT,360.56,306.19,0.013999999999999999
V-CUT,93.73,79.6,0.12
V-CUT,92.75,78.77,0.161
V-CUT,126.56,95.74,0.087
V-CUT,127.02,96.09,0.095
V-CUT,125.86,95.22,0.081
V-CUT,91.61,77.8,0.086
V-CUT,76.91,65.31,0.139
V-CUT,79.04,67.12,0.111
V-CUT,76.91,65.31,0.131
V-CUT,99.4,78.89,0.084
V-CUT,102.77,77.75,0.09699999999999999
V-CUT,75.44,64.07,0.105
V-CUT,89.81,76.27,0.084
V-CUT,87.53,74.33,0.109
V-CUT,87.69,74.47,0.15
V-CUT,116.86,88.41,0.09
V-CUT,114.55,86.66,0.106
V-CUT,85.24,72.39,0.079
V-CUT,53.75,49.9,0.435
V-CUT,77.5,71.94,0.142
V-CUT,90.0,83.55,0.11599999999999999
V-CUT,150.0,139.25,0.057
V-CUT,227.5,211.19,0.023
V-CUT,375.0,348.12,0.011000000000000001
V-CUT,28.86,28.23,0.217
V-CUT,28.41,27.08,0.191
V-CUT,34.44,30.14,0.27
V-CUT,32.1,30.6,0.195
V-CUT,28.86,28.23,0.111
V-CUT,28.41,27.08,0.10800000000000001
V-CUT,34.44,30.14,0.11
V-CUT,32.1,30.6,0.09699999999999999
V-CUT,79.32,77.58,0.054000000000000006
V-CUT,84.76,80.79,0.044000000000000004
V-CUT,108.67,95.13,0.057
V-CUT,86.03,82.0,0.049
V-CUT,107.44,105.07,0.023
V-CUT,115.47,110.06,0.026000000000000002
V-CUT,148.62,130.1,0.024
V-CUT,116.28,110.83,0.023
V-CUT,118.34,115.74,0.023
V-CUT,127.36,121.4,0.022000000000000002
V-CUT,163.98,143.55,0.022000000000000002
V-CUT,128.06,122.06,0.016
V-CUT,27.9,27.29,0.616
V-CUT,21.54,22.21,0.5589999999999999
V-CUT,21.96,23.5,0.35700000000000004
V-CUT,16.4,18.09,0.5329999999999999
V-CUT,27.9,27.29,0.319
V-CUT,21.54,22.21,0.33
V-CUT,21.96,23.5,0.23
V-CUT,16.4,18.09,0.36200000000000004
V-CUT,39.02,38.16,0.155
V-CUT,31.77,32.75,0.14400000000000002
V-CUT,30.29,32.41,0.11
V-CUT,25.19,27.79,0.099
V-CUT,62.43,61.06,0.094
V-CUT,52.31,53.92,0.068
V-CUT,48.01,51.37,0.025
V-CUT,42.26,46.61,0.071
V-CUT,77.72,76.01,0.09699999999999999
V-CUT,65.64,67.66,0.154
V-CUT,59.6,63.77,0.099
V-CUT,53.22,58.7,0.153
V-CUT,86.06,84.16,0.076
V-CUT,72.94,75.19,0.091
V-CUT,65.89,70.5,0.064
V-CUT,59.26,65.35,0.13
V-CUT,105.84,103.51,0.21
V-CUT,89.83,92.6,0.28800000000000003
V-CUT,81.0,86.66,0.11199999999999999
V-CUT,73.12,80.65,0.195
V-CUT,217.34,212.55,0.078
V-CUT,185.5,191.22,0.042
V-CUT,166.08,177.69,0.034
V-CUT,151.38,166.96,0.042
V-CUT,274.1,268.07,0.059000000000000004
V-CUT,234.06,241.28,0.039
V-CUT,209.43,224.07,0.024
V-CUT,191.11,210.78,0.037000000000000005
V-CUT,30.89,27.33,2.16
V-CUT,30.04,25.79,2.93
V-CUT,34.93,30.91,1.071
V-CUT,47.78,42.27,0.266
V-CUT,52.34,44.92,0.447
V-CUT,48.21,42.66,0.325
V-CUT,70.58,62.45,0.098
V-CUT,77.32,66.37,0.127
V-CUT,71.01,62.84,0.078
V-CUT,96.42,85.32,0.076
V-CUT,105.62,90.66,0.081
V-CUT,96.71,85.57,0.081
V-CUT,187.35,165.78,0.017
V-CUT,205.55,176.44,0.019
V-CUT,187.21,165.65,0.012
V-CUT,217.37,192.34,0.017
V-CUT,238.44,204.67,0.017
V-CUT,217.23,192.22,0.013000000000000001
V-CUT,236.42,209.2,0.012
V-CUT,259.15,222.45,0.009000000000000001
V-CUT,236.14,208.95,0.009000000000000001
V-CUT,261.68,231.55,0.013999999999999999
V-CUT,287.13,246.47,0.017
V-CUT,261.54,231.43,0.017
V-CUT,279.29,247.13,0.034
V-CUT,306.42,263.03,0.034
V-CUT,279.0,246.88,0.034
V-CUT,58.75,51.98,0.12
V-CUT,62.61,53.75,0.271
V-CUT,60.48,53.51,0.129
V-CUT,205.54,181.87,0.044000000000000004
V-CUT,224.21,192.45,0.024
V-CUT,206.26,182.51,0.02
V-CUT,17.8,18.47,2.175
V-CUT,75.76,78.63,0.023
V-CUT,69.59,72.22,0.054000000000000006
V-CUT,16.1,16.71,1.9880000000000002
V-CUT,36.4,37.78,0.24600000000000002
V-CUT,47.76,49.57,0.132
V-CUT,76.92,79.84,0.168
V-CUT,84.61,87.82,0.07200000000000001
V-CUT,89.8,93.2,0.1
V-CUT,98.57,102.3,0.059000000000000004
V-CUT,138.73,143.98,0.042
V-CUT,91.87,105.16,0.156
V-CUT,112.51,120.38,0.1
V-CUT,79.56,95.55,0.2
V-CUT,79.56,95.55,0.19
V-CUT,289.61,309.86,0.021
V-CUT,204.79,245.94,0.04
V-CUT,236.47,270.69,0.03
V-CUT,236.47,270.69,0.032
V-CUT,401.58,418.99,0.023
V-CUT,414.37,428.92,0.025
V-CUT,425.7,437.8,0.011000000000000001
V-CUT,427.97,440.44,0.021
V-CUT,425.98,440.15,0.013999999999999999
V-CUT,441.64,451.26,0.013999999999999999
V-CUT,424.67,440.17,0.016
V-CUT,438.54,450.49,0.023
V-CUT,434.42,448.44,0.023
V-CUT,433.8,448.79,0.042
V-CUT,439.08,453.26,0.016
V-CUT,436.66,452.29,0.02
V-CUT,454.42,465.27,0.027999999999999997
V-CUT,428.68,441.9,0.011000000000000001
V-CUT,406.36,456.62,0.012
V-CUT,535.06,549.72,0.011000000000000001
V-CUT,411.65,462.06,0.013000000000000001
V-CUT,437.97,481.93,0.038
V-CUT,499.69,526.48,0.012
V-CUT,424.72,473.09,0.038
V-CUT,505.78,531.59,0.012
V-CUT,475.15,510.49,0.023
V-CUT,425.77,475.74,0.011000000000000001
V-CUT,439.95,487.19,0.012
V-CUT,430.54,481.15,0.024
V-CUT,432.1,484.16,0.013000000000000001
V-CUT,426.45,480.84,0.044000000000000004
V-CUT,470.58,514.44,0.028999999999999998
V-CUT,468.6,513.97,0.028999999999999998
V-CUT,417.94,477.49,0.027000000000000003
V-CUT,421.21,480.37,0.051
V-CUT,440.52,496.51,0.036000000000000004
V-CUT,433.4,491.92,0.024
V-CUT,434.81,493.74,0.043
V-CUT,436.38,495.72,0.012
V-CUT,424.63,487.16,0.016
V-CUT,428.58,490.93,0.012
V-CUT,584.07,605.31,0.013000000000000001
V-CUT,696.19,718.77,0.006999999999999999
V-CUT,698.0,720.63,0.028999999999999998
V-CUT,685.81,712.83,0.035
V-CUT,758.76,765.8,0.006
V-CUT,709.27,733.37,0.006999999999999999
V-CUT,696.54,725.8,0.009000000000000001
V-CUT,698.31,727.64,0.013000000000000001
V-CUT,730.8,751.35,0.028999999999999998
V-CUT,711.83,742.69,0.015
V-CUT,618.5,681.15,0.017
V-CUT,35.93,35.55,0.17
V-CUT,35.93,35.55,0.22
V-CUT,35.93,35.55,0.254
V-CUT,18.04,20.11,1.5
V-CUT,18.04,20.11,0.8
V-CUT,28.15,31.38,0.35
V-CUT,28.15,31.38,0.3
V-CUT,35.36,42.17,0.40399999999999997
V-CUT,38.08,44.07,0.24600000000000002
V-CUT,48.33,51.36,0.256
V-CUT,33.76,40.2,0.467
V-CUT,44.02,49.08,0.368
V-CUT,41.25,49.2,0.302
V-CUT,44.54,51.54,0.14800000000000002
V-CUT,56.67,60.22,0.09699999999999999
V-CUT,39.69,47.26,0.363
V-CUT,51.24,57.12,0.263
V-CUT,47.14,56.23,0.177
V-CUT,50.99,59.01,0.154
V-CUT,65.0,69.07,0.16399999999999998
V-CUT,45.61,54.31,0.154
V-CUT,58.46,65.17,0.154
V-CUT,53.03,63.26,0.136
V-CUT,57.45,66.47,0.091
V-CUT,73.33,77.93,0.10099999999999999
V-CUT,51.53,61.36,0.132
V-CUT,65.67,73.22,0.083
V-CUT,58.93,70.29,0.079
V-CUT,63.9,73.94,0.069
V-CUT,81.67,86.78,0.064
V-CUT,57.46,68.42,0.087
V-CUT,72.89,81.26,0.069
V-CUT,176.78,210.86,0.032
V-CUT,193.0,223.32,0.038
V-CUT,248.33,263.89,0.024
V-CUT,175.93,209.48,0.044000000000000004
V-CUT,217.23,242.18,0.02
V-CUT,63.3,66.38,0.13699999999999998
V-CUT,71.1,74.56,0.1
V-CUT,66.77,70.02,0.12
V-CUT,68.5,71.84,0.1
V-CUT,62.43,65.47,0.12
V-CUT,64.17,67.29,0.12
V-CUT,65.9,69.11,0.1
V-CUT,63.3,66.38,0.1
V-CUT,60.7,63.65,0.1
V-CUT,58.96,61.83,0.12
V-CUT,52.03,54.56,0.15
V-CUT,56.36,59.11,0.1
V-CUT,73.7,77.29,0.15
V-CUT,71.1,74.56,0.15
V-CUT,65.03,68.2,0.12
V-CUT,65.9,69.11,0.15
V-CUT,66.77,70.02,0.12
V-CUT,52.89,55.47,0.102
V-CUT,52.03,54.56,0.1
V-CUT,52.03,54.56,0.12
V-CUT,58.96,61.83,0.12
V-CUT,62.43,65.47,0.1
V-CUT,56.36,59.11,0.1
V-CUT,52.89,55.47,0.1
V-CUT,35.8,34.12,0.162
V-CUT,33.49,31.92,0.09
V-CUT,48.5,46.23,0.1
V-CUT,40.41,38.52,0.1
V-CUT,40.41,38.52,0.07
V-CUT,34.64,33.02,0.07
V-CUT,16.17,19.41,0.16
V-CUT,17.32,20.8,0.10800000000000001
V-CUT,23.09,27.73,0.1
V-CUT,19.05,22.88,0.15
V-CUT,23.67,28.43,0.05
V-CUT,33.49,31.92,0.162
V-CUT,35.8,34.12,0.121
V-CUT,50.81,48.43,0.1
V-CUT,41.57,39.62,0.1
V-CUT,42.72,40.72,0.1
V-CUT,35.8,34.12,0.1
V-CUT,38.11,36.32,0.12
V-CUT,43.88,41.82,0.12
V-CUT,20.78,24.96,0.10800000000000001
V-CUT,24.83,29.81,0.1
V-CUT,20.78,24.96,0.1
V-CUT,20.78,24.96,0.1
V-CUT,17.32,20.8,0.12
V-CUT,18.48,22.19,0.07
V-CUT,21.94,26.35,0.12
V-CUT,32.91,31.37,0.5
V-CUT,40.41,38.52,0.3
V-CUT,36.37,34.67,0.4
V-CUT,34.64,33.02,0.22
V-CUT,32.1,30.6,1.143
V-CUT,28.87,27.52,0.7190000000000001
V-CUT,33.49,31.92,0.22
V-CUT,32.56,31.04,0.17
V-CUT,30.02,28.62,0.3
V-CUT,26.56,25.31,0.33
V-CUT,26.79,25.53,0.344
V-CUT,26.1,24.87,0.546
V-CUT,32.33,30.82,0.38
V-CUT,39.84,37.97,0.17
V-CUT,35.8,34.12,0.27
V-CUT,34.06,32.47,0.22
V-CUT,30.02,28.62,0.53
V-CUT,45.03,42.93,0.1
V-CUT,35.8,34.12,0.35
V-CUT,40.41,38.52,0.68
V-CUT,32.91,31.37,0.4
V-CUT,37.41,35.66,0.38
V-CUT,40.76,38.85,0.27
V-CUT,28.87,27.52,0.764
V-CUT,31.18,29.72,0.721
V-CUT,32.91,31.37,0.22
V-CUT,32.33,30.82,0.12
V-CUT,29.44,28.07,0.3
V-CUT,27.14,25.87,0.43
V-CUT,25.4,24.21,0.5
V-CUT,41.34,39.4,0.3
V-CUT,42.95,40.94,0.48
V-CUT,46.19,44.03,0.38
V-CUT,49.77,47.44,0.12
V-CUT,27.71,26.42,0.34600000000000003
V-CUT,25.4,24.21,0.603
V-CUT,52.8,41.91,0.21600000000000003
V-CUT,59.4,47.15,0.113
V-CUT,58.0,46.03,0.16699999999999998
V-CUT,46.0,36.51,0.25
V-CUT,70.8,56.19,0.07
V-CUT,42.0,33.34,0.88
V-CUT,55.2,43.81,0.15
V-CUT,72.0,57.15,0.05
V-CUT,39.2,31.11,0.254
V-CUT,55.3,41.04,0.265
V-CUT,35.4,28.1,0.373
V-CUT,57.2,45.4,0.6
V-CUT,44.6,35.4,0.35
V-CUT,45.2,35.88,0.27
V-CUT,34.8,27.62,0.2
V-CUT,41.0,32.54,0.35
V-CUT,42.0,33.34,0.25
V-CUT,42.0,33.34,0.22
V-CUT,46.8,37.15,0.1
V-CUT,46.98,34.87,0.27
V-CUT,53.83,39.95,0.12
V-CUT,59.22,43.95,0.15
V-CUT,45.52,33.78,0.15
V-CUT,42.09,31.23,0.4
V-CUT,51.39,38.13,0.1
V-CUT,63.62,47.21,0.05
V-CUT,38.38,41.06,0.05
V-CUT,37.8,40.45,0.4
V-CUT,39.6,42.37,0.25
V-CUT,38.38,41.06,0.3
V-CUT,37.56,40.18,0.27
V-CUT,38.38,41.06,0.27
V-CUT,39.6,42.37,0.38
V-CUT,38.87,41.58,0.22
V-CUT,36.99,39.57,0.268
V-CUT,47.36,50.67,0.42700000000000005
V-CUT,37.8,40.45,0.24100000000000002
V-CUT,36.95,35.22,0.25
V-CUT,45.03,42.93,0.25
V-CUT,41.57,39.62,0.3
V-CUT,42.72,40.72,0.43200000000000005
V-CUT,36.95,35.22,0.457
V-CUT,31.35,33.55,0.3
V-CUT,37.4,40.01,0.25
V-CUT,30.7,32.85,0.4
V-CUT,33.72,36.08,0.537
V-CUT,32.99,35.29,0.27
V-CUT,36.74,39.31,0.27
V-CUT,32.17,34.42,0.38
V-CUT,48.99,52.41,0.22
V-CUT,33.07,35.38,0.275
V-CUT,75.8,60.16,0.2
V-CUT,69.4,55.08,0.25
V-CUT,66.0,52.38,0.12
V-CUT,49.99,41.45,0.12
V-CUT,76.8,60.96,0.5
V-CUT,56.14,50.02,0.12
V-CUT,54.16,48.25,0.15
V-CUT,46.53,41.45,0.22
V-CUT,50.52,41.89,0.17
V-CUT,47.01,38.98,0.191
V-CUT,18.72,21.81,0.34299999999999997
V-CUT,19.23,22.4,0.55
V-CUT,25.3,29.47,0.4
V-CUT,19.8,23.06,0.07
V-CUT,23.84,27.78,0.12
V-CUT,18.02,21.0,0.4
V-CUT,19.04,22.18,0.48
V-CUT,19.04,22.18,0.3
V-CUT,46.99,43.16,0.1
V-CUT,49.57,45.53,0.2
V-CUT,67.91,62.36,0.38
V-CUT,79.9,69.95,0.05
V-CUT,50.87,46.71,0.1
V-CUT,27.63,25.37,0.3
V-CUT,42.86,39.36,0.35
V-CUT,28.32,24.79,0.14800000000000002
V-CUT,27.13,23.75,0.556
V-CUT,19.62,18.02,0.495
V-CUT,28.91,28.97,0.268
V-CUT,37.46,37.54,0.965
V-CUT,26.03,26.09,0.4
V-CUT,23.35,23.4,0.4
V-CUT,33.28,33.36,0.22
V-CUT,28.81,28.88,0.78
V-CUT,31.99,32.06,0.25
V-CUT,48.08,42.84,0.292
V-CUT,52.33,46.62,0.25
V-CUT,70.71,63.0,0.27
V-CUT,63.64,56.7,0.05
V-CUT,53.74,47.88,0.3
V-CUT,37.0,37.0,0.22899999999999998
V-CUT,47.92,45.68,0.254
V-CUT,62.05,52.7,1.95
V-CUT,78.0,61.91,0.3
V-CUT,80.0,63.5,0.35
V-CUT,82.0,65.08,0.25
V-CUT,61.38,54.68,0.264
V-CUT,42.72,40.72,0.111
V-CUT,76.0,60.32,0.4
V-CUT,43.88,41.82,1.67
V-CUT,61.12,53.5,0.5
V-CUT,64.34,54.64,0.4
V-CUT,66.95,56.86,0.3
V-CUT,59.93,50.89,0.6
V-CUT,57.98,51.66,0.5
V-CUT,67.83,59.38,0.25
V-CUT,84.0,66.67,0.2
V-CUT,80.0,63.5,0.17
V-CUT,91.92,65.0,0.2
V-CUT,86.83,61.4,0.1
V-CUT,80.83,61.15,0.051
V-CUT,63.05,47.7,0.311
V-CUT,65.05,46.0,0.5
V-CUT,91.64,64.8,0.2
V-CUT,87.68,62.0,0.22
V-CUT,68.03,50.48,0.15
V-CUT,76.84,57.02,0.15
V-CUT,92.25,68.46,0.5589999999999999
V-CUT,64.11,47.58,0.44299999999999995
V-CUT,56.53,41.95,0.079
V-CUT,55.64,41.92,0.3
V-CUT,45.58,37.94,0.4
V-CUT,44.54,37.08,0.2
V-CUT,60.65,50.5,0.3
V-CUT,43.92,37.58,0.17
V-CUT,51.27,43.86,0.2
V-CUT,48.0,39.96,0.14400000000000002
V-CUT,67.79,51.08,0.546
V-CUT,67.32,47.6,0.28300000000000003
V-CUT,27.29,24.32,0.2
V-CUT,29.98,26.71,0.38
V-CUT,33.94,30.24,0.33
V-CUT,38.61,34.4,0.33
V-CUT,44.12,39.31,0.48
V-CUT,40.8,32.38,0.58
V-CUT,44.2,35.08,0.38
V-CUT,49.6,39.37,0.45
V-CUT,56.2,44.61,0.27
V-CUT,63.0,50.0,0.45
