심발,SR SD,CR SD,최대입자속도
V-CUT,275.3,275.3,0.003
V-CUT,275.0,275.0,0.005
V-CUT,269.8,269.8,0.01
V-CUT,275.9,275.9,0.004
V-CUT,318.81,303.89,0.003
V-CUT,175.05,166.86,0.013000000000000001
V-CUT,178.52,170.16,0.01
V-CUT,175.86,167.63,0.011000000000000001
V-CUT,174.48,166.31,0.013999999999999999
V-CUT,155.0,155.0,0.006999999999999999
V-CUT,45.96,43.81,0.08
V-CUT,44.69,42.59,0.10300000000000001
V-CUT,39.2,39.2,0.084
V-CUT,38.84,39.61,0.09
V-CUT,38.09,38.84,0.095
V-CUT,65.71,67.02,0.023
V-CUT,66.47,67.79,0.03
V-CUT,67.98,69.32,0.021
V-CUT,259.18,264.32,0.011000000000000001
V-CUT,220.94,236.39,0.013000000000000001
V-CUT,223.97,239.62,0.009000000000000001
V-CUT,277.7,277.7,0.01
V-CUT,214.94,233.06,0.009000000000000001
V-CUT,299.8,299.8,0.01
V-CUT,232.83,252.45,0.011000000000000001
V-CUT,231.57,251.09,0.01
V-CUT,229.14,248.45,0.009000000000000001
V-CUT,228.59,247.86,0.008
V-CUT,250.88,255.86,0.013000000000000001
V-CUT,252.2,257.2,0.01
V-CUT,217.84,233.07,0.012
V-CUT,252.58,257.59,0.015
V-CUT,268.2,268.2,0.01
V-CUT,213.45,217.68,0.019
V-CUT,185.43,198.39,0.013000000000000001
V-CUT,227.8,227.8,0.016
V-CUT,175.72,190.53,0.017
V-CUT,176.11,190.96,0.016
V-CUT,56.47,57.59,0.102
V-CUT,49.4,52.85,0.11599999999999999
V-CUT,49.81,53.29,0.149
V-CUT,61.9,61.9,0.11699999999999999
V-CUT,64.3,64.3,0.156
V-CUT,58.57,65.04,0.079
V-CUT,68.18,72.94,0.094
V-CUT,77.59,79.13,0.128
V-CUT,92.84,88.49,0.125
V-CUT,84.9,84.9,0.08900000000000001
V-CUT,136.84,146.41,0.021
V-CUT,132.93,142.22,0.042
V-CUT,116.11,130.33,0.047
V-CUT,163.67,166.92,0.039
V-CUT,120.65,133.97,0.032
V-CUT,240.6,249.72,0.01
V-CUT,214.74,231.63,0.011000000000000001
V-CUT,214.18,231.03,0.011000000000000001
V-CUT,262.29,267.49,0.008
V-CUT,196.89,218.63,0.011000000000000001
V-CUT,193.26,206.78,0.006999999999999999
V-CUT,200.89,208.5,0.011000000000000001
V-CUT,301.68,278.95,0.01
V-CUT,169.5,188.22,0.009000000000000001
V-CUT,169.94,188.71,0.009000000000000001
V-CUT,156.85,167.81,0.021
V-CUT,157.42,168.43,0.023
V-CUT,195.0,195.0,0.024
V-CUT,170.3,176.75,0.024
V-CUT,155.62,167.86,0.024
V-CUT,142.04,147.42,0.026000000000000002
V-CUT,159.6,159.6,0.031
V-CUT,160.5,160.5,0.044000000000000004
V-CUT,211.87,195.91,0.03
V-CUT,157.17,160.28,0.032
V-CUT,44.17,47.26,0.11
V-CUT,42.05,44.99,0.11
V-CUT,58.89,56.13,0.129
V-CUT,58.74,59.9,0.128
V-CUT,46.59,51.74,0.10300000000000001
V-CUT,51.99,60.57,0.111
V-CUT,101.95,94.27,0.09
V-CUT,92.84,88.49,0.09
V-CUT,92.15,87.83,0.087
V-CUT,87.12,88.84,0.073
V-CUT,72.12,64.26,0.156
V-CUT,73.68,65.64,0.285
V-CUT,76.08,67.78,0.17800000000000002
V-CUT,67.03,59.72,0.187
V-CUT,65.76,58.59,0.151
V-CUT,28.43,25.32,0.574
V-CUT,28.43,25.32,0.456
V-CUT,28.0,24.95,0.479
V-CUT,28.0,24.95,0.42100000000000004
V-CUT,25.6,22.8,0.41700000000000004
V-CUT,40.02,35.66,0.353
V-CUT,40.73,36.29,0.38
V-CUT,43.42,38.68,0.332
V-CUT,44.26,39.44,0.281
V-CUT,35.36,31.5,0.273
V-CUT,63.36,56.44,0.248
V-CUT,64.63,57.58,0.331
V-CUT,67.18,59.85,0.282
V-CUT,58.12,51.78,0.209
V-CUT,57.7,51.4,0.205
V-CUT,90.93,81.01,0.085
V-CUT,90.93,81.01,0.045
V-CUT,93.34,83.15,0.073
V-CUT,92.77,82.65,0.061
V-CUT,90.37,80.51,0.048
V-CUT,113.99,101.55,0.048
V-CUT,113.99,101.55,0.062
V-CUT,112.43,100.16,0.046
V-CUT,120.49,107.35,0.038
V-CUT,117.95,105.08,0.036000000000000004
V-CUT,143.97,128.26,0.04
V-CUT,144.11,128.39,0.037000000000000005
