화약,뇌관,심발,SR SD,CR SD,최대입자속도
에멀젼C,전기,Cylinder-cut,281.71,250.98,0.013000000000000001
에멀젼C,전기,Cylinder-cut,281.99,251.23,0.015
에멀젼C,전기,Cylinder-cut,213.17,208.48,0.018000000000000002
에멀젼C,전기,Cylinder-cut,213.17,208.48,0.015
에멀젼C,전기,Cylinder-cut,232.56,221.67,0.013999999999999999
에멀젼C,전기,Cylinder-cut,318.2,283.48,0.01
에멀젼C,전기,Cylinder-cut,318.48,283.73,0.01
에멀젼C,전기,Cylinder-cut,241.07,235.76,0.006
에멀젼C,전기,Cylinder-cut,241.07,235.76,0.006
에멀젼C,전기,Cylinder-cut,241.07,235.76,0.008
에멀젼C,전기,Cylinder-cut,46.4,45.38,0.17
에멀젼C,전기,Cylinder-cut,46.4,45.38,0.28600000000000003
에멀젼C,전기,Cylinder-cut,52.31,49.86,0.23
에멀젼C,전기,Cylinder-cut,51.38,48.98,0.337
에멀젼C,전기,Cylinder-cut,50.46,48.1,0.217
에멀젼C,전기,Cylinder-cut,62.43,61.06,0.165
에멀젼C,전기,Cylinder-cut,62.33,60.95,0.179
에멀젼C,전기,Cylinder-cut,69.63,66.37,0.163
에멀젼C,전기,Cylinder-cut,68.59,65.38,0.188
에멀젼C,전기,Cylinder-cut,67.55,64.39,0.17
에멀젼C,전기,Cylinder-cut,82.1,80.3,0.12300000000000001
에멀젼C,전기,Cylinder-cut,78.36,76.64,0.11
에멀젼C,전기,Cylinder-cut,82.0,80.19,0.115
에멀젼C,전기,Cylinder-cut,80.18,78.41,0.12
에멀젼C,전기,Cylinder-cut,82.68,78.81,0.17300000000000001
에멀젼C,전기,Cylinder-cut,94.4,92.32,0.122
에멀젼C,전기,Cylinder-cut,103.11,98.29,0.10300000000000001
에멀젼C,전기,Cylinder-cut,104.27,99.39,0.139
에멀젼C,전기,Cylinder-cut,101.96,97.19,0.11199999999999999
에멀젼C,전기,Cylinder-cut,103.35,98.51,0.096
에멀젼C,전기,Cylinder-cut,110.54,108.11,0.107
에멀젼C,전기,Cylinder-cut,114.17,111.66,0.12
에멀젼C,전기,Cylinder-cut,110.43,108.0,0.079
에멀젼C,전기,Cylinder-cut,119.28,113.7,0.10099999999999999
에멀젼C,전기,Cylinder-cut,119.4,113.81,0.12300000000000001
에멀젼C,전기,Cylinder-cut,164.24,158.24,0.021
에멀젼C,전기,Cylinder-cut,169.63,161.68,0.022000000000000002
에멀젼C,전기,Cylinder-cut,134.1,138.24,0.027999999999999997
에멀젼C,전기,Cylinder-cut,207.17,199.61,0.022000000000000002
에멀젼C,전기,Cylinder-cut,206.72,199.18,0.023
에멀젼C,전기,Cylinder-cut,213.97,203.95,0.021
에멀젼C,전기,Cylinder-cut,98.15,93.55,0.182
에멀젼C,전기,Cylinder-cut,98.15,93.55,0.157
에멀젼C,전기,Cylinder-cut,77.59,79.99,0.223
에멀젼C,전기,Cylinder-cut,127.02,121.07,0.094
에멀젼C,전기,Cylinder-cut,122.98,118.49,0.07
에멀젼C,전기,Cylinder-cut,127.02,121.07,0.06
에멀젼C,전기,Cylinder-cut,151.05,145.53,0.031
에멀젼C,전기,Cylinder-cut,151.05,145.53,0.037000000000000005
에멀젼C,전기,Cylinder-cut,156.0,148.7,0.024
에멀젼C,전기,Cylinder-cut,179.11,172.57,0.028999999999999998
에멀젼C,전기,Cylinder-cut,184.98,176.32,0.017
에멀젼C,전기,Cylinder-cut,184.98,176.32,0.013999999999999999
에멀젼C,전기,Cylinder-cut,206.95,199.39,0.016
에멀젼C,전기,Cylinder-cut,206.95,199.39,0.015
에멀젼C,전기,Cylinder-cut,213.74,203.73,0.016
에멀젼C,전기,Cylinder-cut,242.6,231.24,0.015
에멀젼C,전기,Cylinder-cut,234.9,226.32,0.019
에멀젼C,전기,Cylinder-cut,242.6,231.24,0.016
에멀젼C,전기,Cylinder-cut,163.79,157.81,0.021
에멀젼C,전기,Cylinder-cut,169.16,161.24,0.015
에멀젼C,전기,Cylinder-cut,169.16,161.24,0.012
에멀젼C,전기,Cylinder-cut,208.29,200.69,0.021
에멀젼C,전기,Cylinder-cut,208.29,200.69,0.019
에멀젼C,전기,Cylinder-cut,215.12,205.05,0.019
에멀젼C,전기,Cylinder-cut,78.51,80.93,0.213
에멀젼C,전기,Cylinder-cut,96.15,92.64,0.18899999999999997
에멀젼C,전기,Cylinder-cut,99.3,94.66,0.175
에멀젼C,전기,Cylinder-cut,124.1,119.57,0.061
에멀젼C,전기,Cylinder-cut,124.1,119.57,0.069
에멀젼C,전기,Cylinder-cut,101.33,104.45,0.091
에멀젼C,전기,Cylinder-cut,34.47,35.92,0.31
에멀젼C,전기,Cylinder-cut,78.8,62.54,0.165
에멀젼C,전기,Cylinder-cut,76.4,60.64,0.1
에멀젼C,전기,Cylinder-cut,32.2,25.56,0.35
에멀젼C,전기,Cylinder-cut,30.4,24.13,0.27
에멀젼C,전기,Cylinder-cut,65.4,51.91,0.25
에멀젼C,전기,Cylinder-cut,58.6,46.51,0.05
에멀젼C,전기,Cylinder-cut,53.74,47.88,0.127
에멀젼C,전기,Cylinder-cut,51.9,46.24,0.1
에멀젼C,전기,Cylinder-cut,21.21,18.9,0.3
에멀젼C,전기,Cylinder-cut,22.06,19.65,0.3
에멀젼C,전기,Cylinder-cut,44.12,39.31,0.22
에멀젼C,전기,Cylinder-cut,53.47,48.58,0.225
에멀젼C,전기,Cylinder-cut,22.13,20.11,0.4
에멀젼C,전기,Cylinder-cut,18.4,16.72,0.35
에멀젼C,전기,Cylinder-cut,40.53,36.83,0.05
에멀젼C,전기,Cylinder-cut,82.6,65.56,0.183
에멀젼C,전기,Cylinder-cut,78.0,61.91,0.1
에멀젼C,전기,Cylinder-cut,26.4,20.95,0.38
에멀젼C,전기,Cylinder-cut,68.8,54.61,0.1
에멀젼C,전기,Cylinder-cut,61.4,48.73,0.05
에멀젼C,전기,Cylinder-cut,64.67,54.91,0.1
에멀젼C,전기,Cylinder-cut,27.43,23.3,0.33
에멀젼C,전기,Cylinder-cut,20.25,17.2,0.5
에멀젼C,전기,Cylinder-cut,55.85,47.43,0.15
에멀젼C,전기,Cylinder-cut,51.28,43.54,0.05
에멀젼C,전기,Cylinder-cut,75.2,59.69,0.213
에멀젼C,전기,Cylinder-cut,72.0,57.15,0.1
에멀젼C,전기,Cylinder-cut,25.4,20.16,0.3
에멀젼C,전기,Cylinder-cut,25.8,20.48,0.4
에멀젼C,전기,Cylinder-cut,90.0,71.43,0.07
에멀젼C,전기,Cylinder-cut,57.6,45.72,0.05
에멀젼C,전기,Cylinder-cut,60.67,54.05,0.162
에멀젼C,전기,Cylinder-cut,58.83,52.41,0.1
에멀젼C,전기,Cylinder-cut,26.59,23.69,0.25
에멀젼C,전기,Cylinder-cut,18.95,16.88,0.45
에멀젼C,전기,Cylinder-cut,71.56,63.75,0.12
에멀젼C,전기,Cylinder-cut,46.1,41.07,0.05
에멀젼C,전기,Cylinder-cut,27.0,27.0,0.27
에멀젼C,전기,Cylinder-cut,32.0,32.0,0.1
에멀젼C,전기,Cylinder-cut,31.0,31.0,0.07
에멀젼C,전기,Cylinder-cut,32.0,32.0,0.1
에멀젼C,전기,Cylinder-cut,30.0,30.0,0.12
에멀젼C,전기,Cylinder-cut,32.0,32.0,0.067
에멀젼C,전기,Cylinder-cut,34.0,34.0,0.1
에멀젼C,전기,Cylinder-cut,27.0,27.0,0.1
