뇌관,암석분류,SR SD,CR SD,최대입자속도
비전기,화성암,24.66,20.94,2.6439999999999997
비전기,화성암,19.52,17.39,1.5630000000000002
비전기,화성암,19.52,17.39,2.349
비전기,화성암,18.38,16.38,2.238
비전기,화성암,16.69,14.87,3.137
비전기,화성암,179.4,142.39,0.054000000000000006
비전기,화성암,122.75,109.36,0.069
비전기,화성암,130.81,116.54,0.055999999999999994
비전기,화성암,119.78,106.72,0.07200000000000001
비전기,화성암,152.36,129.38,0.06
비전기,화성암,210.4,166.99,0.03
비전기,화성암,217.4,172.55,0.038
비전기,화성암,145.95,130.02,0.049
비전기,화성암,179.14,152.12,0.03
비전기,화성암,165.1,140.2,0.033
비전기,화성암,365.4,290.02,0.016
비전기,화성암,375.6,298.11,0.013999999999999999
비전기,화성암,256.54,228.55,0.015
비전기,화성암,258.94,230.69,0.017
비전기,화성암,258.24,230.06,0.013999999999999999
비전기,화성암,82.6,65.56,0.13
비전기,화성암,55.15,49.14,0.156
비전기,화성암,64.35,57.33,0.124
비전기,화성암,54.31,48.38,0.174
비전기,화성암,60.81,54.18,0.11
비전기,화성암,138.6,110.01,0.094
비전기,화성암,93.2,83.03,0.09300000000000001
비전기,화성암,96.31,85.8,0.099
비전기,화성암,102.39,91.22,0.079
비전기,화성암,123.29,104.7,0.086
비전기,화성암,161.01,136.73,0.040999999999999995
비전기,화성암,136.61,121.71,0.045
비전기,화성암,140.57,125.24,0.047
비전기,화성암,142.84,127.25,0.035
비전기,화성암,144.67,128.89,0.036000000000000004
비전기,화성암,32.2,33.42,0.245
비전기,화성암,33.94,34.61,0.19699999999999998
비전기,화성암,36.1,36.1,0.157
비전기,화성암,36.0,36.0,0.102
비전기,화성암,36.0,36.0,0.129
비전기,화성암,29.39,31.45,0.252
비전기,화성암,54.47,56.53,0.07200000000000001
비전기,화성암,57.42,58.56,0.043
비전기,화성암,70.44,67.14,0.037000000000000005
비전기,화성암,60.9,60.9,0.057
비전기,화성암,60.9,60.9,0.047
비전기,화성암,49.72,53.2,0.08
비전기,화성암,76.74,79.65,0.065
비전기,화성암,99.07,94.44,0.028999999999999998
비전기,화성암,99.07,94.44,0.027000000000000003
비전기,화성암,99.19,94.55,0.022000000000000002
비전기,화성암,85.8,85.8,0.03
비전기,화성암,85.8,85.8,0.018000000000000002
비전기,화성암,99.1,102.86,0.062
비전기,화성암,99.1,102.86,0.036000000000000004
비전기,화성암,110.8,110.8,0.033
비전기,화성암,110.8,110.8,0.017
비전기,화성암,110.8,110.8,0.023
비전기,화성암,90.47,96.79,0.039
비전기,화성암,121.37,125.97,0.048
비전기,화성암,156.69,149.36,0.016
비전기,화성암,156.69,149.36,0.02
비전기,화성암,135.7,135.7,0.028999999999999998
비전기,화성암,135.7,135.7,0.012
비전기,화성암,110.8,118.54,0.03
비전기,화성암,407.01,362.61,0.003
비전기,화성암,397.39,354.04,0.004
비전기,화성암,412.38,367.39,0.005
비전기,화성암,337.4,321.61,0.004
비전기,화성암,323.09,307.96,0.006999999999999999
비전기,화성암,415.61,363.82,0.006999999999999999
비전기,화성암,471.22,419.81,0.004
비전기,화성암,472.49,420.94,0.003
비전기,화성암,376.43,358.81,0.004
비전기,화성암,375.16,357.6,0.004
비전기,화성암,409.33,383.38,0.004
비전기,화성암,504.16,441.34,0.003
비전기,화성암,59.7,56.9,0.105
비전기,화성암,72.27,64.38,0.10099999999999999
비전기,화성암,63.5,56.57,0.11699999999999999
비전기,화성암,51.04,48.65,0.16399999999999998
비전기,화성암,50.46,48.1,0.16
비전기,화성암,54.77,51.3,0.14400000000000002
비전기,화성암,111.58,99.41,0.025
비전기,화성암,115.97,103.31,0.024
비전기,화성암,112.43,100.16,0.031
비전기,화성암,94.8,90.36,0.025
비전기,화성암,85.68,81.67,0.031
비전기,화성암,96.89,90.74,0.027999999999999997
비전기,화성암,136.2,127.56,0.013000000000000001
비전기,화성암,136.32,127.68,0.02
비전기,화성암,138.51,129.73,0.012
비전기,화성암,140.7,131.78,0.011000000000000001
비전기,화성암,175.01,153.2,0.009000000000000001
비전기,화성암,175.16,153.33,0.008
