암석분류,심발,SR SD,CR SD,최대입자속도
화성암,수직구,16.55,14.74,0.3
화성암,수직구,20.65,18.39,0.22
화성암,수직구,49.78,44.35,0.05
화성암,수직구,24.61,21.92,0.051
화성암,수직구,24.04,21.42,0.08900000000000001
화성암,수직구,28.28,25.2,0.052000000000000005
화성암,수직구,21.5,19.15,0.1
화성암,수직구,20.93,18.65,0.2
화성암,수직구,22.63,20.16,0.2
화성암,수직구,45.54,40.57,0.07
화성암,수직구,33.38,29.73,0.064
화성암,수직구,21.21,18.9,0.221
화성암,수직구,33.94,30.24,0.071
화성암,수직구,55.9,42.75,0.14
화성암,수직구,28.07,23.37,0.264
화성암,수직구,34.66,28.85,0.318
화성암,수직구,24.43,20.34,0.35
화성암,수직구,24.26,20.2,0.73
화성암,수직구,42.28,35.2,0.102
화성암,수직구,32.0,25.4,0.198
화성암,수직구,38.4,30.48,0.368
화성암,수직구,26.0,20.64,0.25
화성암,수직구,28.4,22.54,0.43
화성암,수직구,28.0,22.22,0.22399999999999998
화성암,수직구,40.0,31.75,0.35600000000000004
화성암,수직구,48.0,38.1,0.17
화성암,수직구,37.34,28.56,0.171
화성암,수직구,50.31,38.47,0.203
화성암,수직구,31.98,24.45,0.2
화성암,수직구,29.07,22.23,0.33
화성암,수직구,61.72,47.2,0.102
화성암,수직구,36.45,27.87,0.16
화성암,수직구,52.32,40.01,0.114
화성암,수직구,34.8,27.62,0.17600000000000002
화성암,수직구,47.2,37.46,0.152
화성암,수직구,31.4,24.92,0.15
화성암,수직구,31.4,24.92,0.35
화성암,수직구,48.6,38.57,0.675
화성암,수직구,60.0,47.62,0.222
화성암,수직구,49.4,39.21,0.2
화성암,수직구,28.0,22.22,0.35
화성암,수직구,35.44,30.09,0.838
화성암,수직구,53.24,45.21,0.271
화성암,수직구,44.42,37.72,0.3
화성암,수직구,50.62,42.99,0.1
화성암,수직구,49.81,42.3,0.17
화성암,수직구,31.96,28.47,0.721
화성암,수직구,45.25,40.32,0.152
화성암,수직구,38.18,34.02,0.2
화성암,수직구,26.16,23.31,0.15
화성암,수직구,42.43,37.8,0.07
화성암,수직구,38.89,34.65,0.74
화성암,수직구,38.47,34.27,0.37799999999999995
화성암,수직구,32.53,28.98,0.2
화성암,수직구,21.78,19.4,0.3
화성암,수직구,35.64,31.75,0.12
화성암,수직구,21.21,18.9,0.35
