화약,뇌관,암석분류,SR SD,CR SD,최대입자속도
정밀폭약,전자,화성암,203.18,170.56,0.031
정밀폭약,전자,화성암,51.89,43.56,0.184
정밀폭약,전자,화성암,57.13,47.96,0.14400000000000002
정밀폭약,전자,화성암,76.4,64.14,0.111
정밀폭약,전자,화성암,83.16,69.81,0.113
정밀폭약,전자,화성암,90.43,75.92,0.092
정밀폭약,전자,화성암,97.87,82.16,0.076
정밀폭약,전자,화성암,105.14,88.26,0.087
정밀폭약,전자,화성암,112.91,94.79,0.073
정밀폭약,전자,화성암,37.12,30.7,0.213
정밀폭약,전자,화성암,44.19,36.55,0.198
정밀폭약,전자,화성암,68.94,57.02,0.125
정밀폭약,전자,화성암,86.62,71.64,0.052000000000000005
정밀폭약,전자,화성암,121.98,100.88,0.064
정밀폭약,전자,화성암,157.33,130.12,0.013000000000000001
정밀폭약,전자,화성암,28.75,21.18,0.51
정밀폭약,전자,화성암,58.0,42.73,0.20600000000000002
정밀폭약,전자,화성암,80.0,58.94,0.124
정밀폭약,전자,화성암,103.5,76.26,0.065
정밀폭약,전자,화성암,127.5,93.94,0.054000000000000006
정밀폭약,전자,화성암,151.75,111.81,0.043
정밀폭약,전자,화성암,176.25,129.86,0.018000000000000002
정밀폭약,전자,화성암,24.0,19.05,0.66
정밀폭약,전자,화성암,54.0,42.86,0.049
정밀폭약,전자,화성암,78.0,61.91,0.10800000000000001
정밀폭약,전자,화성암,98.0,77.78,0.068
정밀폭약,전자,화성암,118.0,93.66,0.038
정밀폭약,전자,화성암,138.0,109.53,0.04
정밀폭약,전자,화성암,158.0,125.4,0.021
정밀폭약,전자,화성암,61.84,47.49,0.16699999999999998
정밀폭약,전자,화성암,83.93,64.45,0.079
정밀폭약,전자,화성암,93.2,71.57,0.016
정밀폭약,전자,화성암,128.1,98.37,0.079
정밀폭약,전자,화성암,150.19,115.33,0.025
정밀폭약,전자,화성암,172.27,132.28,0.018000000000000002
정밀폭약,전자,화성암,194.36,149.24,0.013000000000000001
정밀폭약,전자,화성암,12.08,11.95,1.65
정밀폭약,전자,화성암,18.59,18.39,1.41
정밀폭약,전자,화성암,28.92,28.61,0.521
정밀폭약,전자,화성암,39.25,38.83,0.281
정밀폭약,전자,화성암,49.57,49.04,0.086
정밀폭약,전자,화성암,59.9,59.26,0.084
정밀폭약,전자,화성암,70.23,69.48,0.062
정밀폭약,전자,화성암,80.56,79.7,0.055999999999999994
정밀폭약,전자,화성암,50.8,39.01,0.179
정밀폭약,전자,화성암,61.84,47.49,0.17800000000000002
정밀폭약,전자,화성암,102.48,78.69,0.03
정밀폭약,전자,화성암,128.1,98.37,0.033
정밀폭약,전자,화성암,150.19,115.33,0.025
정밀폭약,전자,화성암,172.27,132.28,0.025
정밀폭약,전자,화성암,194.36,149.24,0.021
정밀폭약,전자,화성암,29.56,26.33,0.845
