심발,SR SD,CR SD,최대입자속도
TBM 선굴착,50.0,46.42,0.15
TBM 선굴착,62.5,58.02,0.07
TBM 선굴착,68.75,63.82,0.02
TBM 선굴착,75.0,69.62,0.07
TBM 선굴착,62.5,58.02,0.05
TBM 선굴착,68.75,63.82,0.05
TBM 선굴착,75.0,69.62,0.1
TBM 선굴착,125.0,116.04,0.013000000000000001
TBM 선굴착,50.0,46.42,0.05
TBM 선굴착,56.25,52.22,0.05
TBM 선굴착,62.5,58.02,0.02
TBM 선굴착,68.75,63.82,0.02
TBM 선굴착,75.0,69.62,0.02
TBM 선굴착,50.0,46.42,0.1
TBM 선굴착,62.5,58.02,0.07
TBM 선굴착,68.75,63.82,0.1
TBM 선굴착,75.0,69.62,0.07
TBM 선굴착,225.0,208.87,0.033
TBM 선굴착,50.0,46.42,0.1
TBM 선굴착,62.5,58.02,0.05
TBM 선굴착,75.0,69.62,0.05
TBM 선굴착,101.25,85.98,0.3
TBM 선굴착,48.99,41.6,0.99
TBM 선굴착,76.75,65.18,1.16
TBM 선굴착,84.92,72.11,0.55
TBM 선굴착,93.08,79.04,0.55
TBM 선굴착,66.95,56.86,1.23
TBM 선굴착,57.15,48.54,1.24
TBM 선굴착,81.3,73.87,0.55
TBM 선굴착,38.65,35.12,1.49
TBM 선굴착,61.31,55.71,2.28
TBM 선굴착,67.97,61.76,0.81
TBM 선굴착,74.63,67.82,0.81
TBM 선굴착,53.31,48.44,2.48
TBM 선굴착,45.31,41.18,2.02
TBM 선굴착,59.93,62.2,0.25
TBM 선굴착,43.83,45.49,0.45
TBM 선굴착,38.46,39.92,0.4
TBM 선굴착,33.09,34.35,0.17
TBM 선굴착,27.73,28.78,0.27
TBM 선굴착,22.36,23.21,0.3
TBM 선굴착,54.56,56.63,0.305
TBM 선굴착,49.19,51.06,0.368
TBM 선굴착,58.79,62.9,0.1
TBM 선굴착,22.05,23.59,0.38
TBM 선굴착,26.13,27.95,0.2
TBM 선굴착,34.29,36.69,0.27
TBM 선굴착,42.46,45.43,0.12
TBM 선굴착,42.46,45.43,0.15
TBM 선굴착,79.02,62.72,0.25
TBM 선굴착,89.6,71.12,0.2
TBM 선굴착,78.0,61.91,0.27
TBM 선굴착,83.6,66.35,0.27
TBM 선굴착,94.8,75.24,0.2
TBM 선굴착,76.8,60.96,0.33
TBM 선굴착,101.4,80.48,0.15
TBM 선굴착,97.42,77.32,0.25
TBM 선굴착,103.2,81.91,0.2
TBM 선굴착,105.0,83.34,0.2
