화약,SR SD,CR SD,최대입자속도
에멀젼C,112.6,112.6,0.011000000000000001
에멀젼C,104.75,106.82,0.011000000000000001
에멀젼C,104.75,106.82,0.013000000000000001
에멀젼C,254.15,242.25,0.005
에멀젼C,254.61,242.69,0.005
에멀젼C,253.8,241.92,0.006
에멀젼C,206.76,210.86,0.005
에멀젼C,206.0,210.09,0.006
에멀젼C,275.3,275.3,0.003
에멀젼C,275.0,275.0,0.005
에멀젼C,269.8,269.8,0.01
에멀젼C,275.9,275.9,0.004
에멀젼C,318.81,303.89,0.003
에멀젼C,175.05,166.86,0.013000000000000001
에멀젼C,178.52,170.16,0.01
에멀젼C,175.86,167.63,0.011000000000000001
에멀젼C,174.48,166.31,0.013999999999999999
에멀젼C,155.0,155.0,0.006999999999999999
에멀젼C,45.96,43.81,0.08
에멀젼C,44.69,42.59,0.10300000000000001
에멀젼C,39.2,39.2,0.084
에멀젼C,38.84,39.61,0.09
에멀젼C,38.09,38.84,0.095
에멀젼C,65.71,67.02,0.023
에멀젼C,66.47,67.79,0.03
에멀젼C,67.98,69.32,0.021
에멀젼C,259.18,264.32,0.011000000000000001
에멀젼C,220.94,236.39,0.013000000000000001
에멀젼C,223.97,239.62,0.009000000000000001
에멀젼C,277.7,277.7,0.01
에멀젼C,214.94,233.06,0.009000000000000001
에멀젼C,299.8,299.8,0.01
에멀젼C,232.83,252.45,0.011000000000000001
에멀젼C,231.57,251.09,0.01
에멀젼C,229.14,248.45,0.009000000000000001
에멀젼C,228.59,247.86,0.008
에멀젼C,250.88,255.86,0.013000000000000001
에멀젼C,252.2,257.2,0.01
에멀젼C,217.84,233.07,0.012
에멀젼C,252.58,257.59,0.015
에멀젼C,268.2,268.2,0.01
에멀젼C,213.45,217.68,0.019
에멀젼C,185.43,198.39,0.013000000000000001
에멀젼C,227.8,227.8,0.016
에멀젼C,175.72,190.53,0.017
에멀젼C,176.11,190.96,0.016
에멀젼C,56.47,57.59,0.102
에멀젼C,49.4,52.85,0.11599999999999999
에멀젼C,49.81,53.29,0.149
에멀젼C,61.9,61.9,0.11699999999999999
에멀젼C,64.3,64.3,0.156
에멀젼C,58.57,65.04,0.079
에멀젼C,68.18,72.94,0.094
에멀젼C,77.59,79.13,0.128
에멀젼C,92.84,88.49,0.125
에멀젼C,84.9,84.9,0.08900000000000001
에멀젼C,136.84,146.41,0.021
에멀젼C,132.93,142.22,0.042
에멀젼C,116.11,130.33,0.047
에멀젼C,163.67,166.92,0.039
에멀젼C,120.65,133.97,0.032
에멀젼C,240.6,249.72,0.01
에멀젼C,214.74,231.63,0.011000000000000001
에멀젼C,214.18,231.03,0.011000000000000001
에멀젼C,262.29,267.49,0.008
에멀젼C,196.89,218.63,0.011000000000000001
에멀젼C,193.26,206.78,0.006999999999999999
에멀젼C,200.89,208.5,0.011000000000000001
에멀젼C,301.68,278.95,0.01
에멀젼C,169.5,188.22,0.009000000000000001
에멀젼C,169.94,188.71,0.009000000000000001
에멀젼C,156.85,167.81,0.021
에멀젼C,157.42,168.43,0.023
에멀젼C,195.0,195.0,0.024
에멀젼C,170.3,176.75,0.024
에멀젼C,155.62,167.86,0.024
에멀젼C,142.04,147.42,0.026000000000000002
에멀젼C,159.6,159.6,0.031
에멀젼C,160.5,160.5,0.044000000000000004
에멀젼C,211.87,195.91,0.03
에멀젼C,157.17,160.28,0.032
에멀젼C,44.17,47.26,0.11
에멀젼C,42.05,44.99,0.11
에멀젼C,58.89,56.13,0.129
에멀젼C,58.74,59.9,0.128
에멀젼C,46.59,51.74,0.10300000000000001
에멀젼C,51.99,60.57,0.111
에멀젼C,101.95,94.27,0.09
에멀젼C,92.84,88.49,0.09
에멀젼C,92.15,87.83,0.087
에멀젼C,87.12,88.84,0.073
에멀젼C,72.12,64.26,0.156
에멀젼C,73.68,65.64,0.285
에멀젼C,76.08,67.78,0.17800000000000002
에멀젼C,67.03,59.72,0.187
에멀젼C,65.76,58.59,0.151
에멀젼C,28.43,25.32,0.574
에멀젼C,28.43,25.32,0.456
에멀젼C,28.0,24.95,0.479
에멀젼C,28.0,24.95,0.42100000000000004
에멀젼C,25.6,22.8,0.41700000000000004
에멀젼C,40.02,35.66,0.353
에멀젼C,40.73,36.29,0.38
에멀젼C,43.42,38.68,0.332
에멀젼C,44.26,39.44,0.281
에멀젼C,35.36,31.5,0.273
에멀젼C,63.36,56.44,0.248
에멀젼C,64.63,57.58,0.331
에멀젼C,67.18,59.85,0.282
에멀젼C,58.12,51.78,0.209
에멀젼C,57.7,51.4,0.205
에멀젼C,90.93,81.01,0.085
에멀젼C,90.93,81.01,0.045
에멀젼C,93.34,83.15,0.073
에멀젼C,92.77,82.65,0.061
에멀젼C,90.37,80.51,0.048
에멀젼C,113.99,101.55,0.048
에멀젼C,113.99,101.55,0.062
에멀젼C,112.43,100.16,0.046
에멀젼C,120.49,107.35,0.038
에멀젼C,117.95,105.08,0.036000000000000004
에멀젼C,143.97,128.26,0.04
에멀젼C,144.11,128.39,0.037000000000000005
에멀젼C,141.56,126.12,0.034
에멀젼C,146.09,130.15,0.032
에멀젼C,145.52,129.65,0.031
