뇌관,심발,SR SD,CR SD,최대입자속도
전기,Cylinder-cut,68.8,54.61,0.1
전기,Cylinder-cut,61.4,48.73,0.05
전기,Cylinder-cut,64.67,54.91,0.1
전기,Cylinder-cut,27.43,23.3,0.33
전기,Cylinder-cut,20.25,17.2,0.5
전기,Cylinder-cut,55.85,47.43,0.15
전기,Cylinder-cut,51.28,43.54,0.05
전기,Cylinder-cut,75.2,59.69,0.213
전기,Cylinder-cut,72.0,57.15,0.1
전기,Cylinder-cut,25.4,20.16,0.3
전기,Cylinder-cut,25.8,20.48,0.4
전기,Cylinder-cut,90.0,71.43,0.07
전기,Cylinder-cut,57.6,45.72,0.05
전기,Cylinder-cut,60.67,54.05,0.162
전기,Cylinder-cut,58.83,52.41,0.1
전기,Cylinder-cut,26.59,23.69,0.25
전기,Cylinder-cut,18.95,16.88,0.45
전기,Cylinder-cut,71.56,63.75,0.12
전기,Cylinder-cut,46.1,41.07,0.05
전기,Cylinder-cut,27.0,27.0,0.27
전기,Cylinder-cut,32.0,32.0,0.1
전기,Cylinder-cut,31.0,31.0,0.07
전기,Cylinder-cut,32.0,32.0,0.1
전기,Cylinder-cut,30.0,30.0,0.12
전기,Cylinder-cut,32.0,32.0,0.067
전기,Cylinder-cut,34.0,34.0,0.1
전기,Cylinder-cut,27.0,27.0,0.1
