화약,뇌관,SR SD,CR SD,최대입자속도
함수폭약,전기,113.14,80.0,0.02
함수폭약,전기,113.14,80.0,0.05
함수폭약,전기,101.82,72.0,0.05
함수폭약,전기,100.41,71.0,0.07
함수폭약,전기,98.99,70.0,0.02
함수폭약,전기,119.64,84.6,0.02
함수폭약,전기,118.79,84.0,0.02
함수폭약,전기,97.02,68.6,0.05
함수폭약,전기,119.93,84.8,0.07
함수폭약,전기,117.66,83.2,0.07
함수폭약,전기,116.81,82.6,0.05
함수폭약,전기,102.67,72.6,0.02
함수폭약,전기,101.82,72.0,0.05
함수폭약,전기,92.49,65.4,0.04
함수폭약,전기,89.1,63.0,0.05
함수폭약,전기,100.69,71.2,0.053
함수폭약,전기,109.46,77.4,0.049
함수폭약,전기,27.29,24.32,0.2
함수폭약,전기,29.98,26.71,0.38
함수폭약,전기,33.94,30.24,0.33
함수폭약,전기,38.61,34.4,0.33
함수폭약,전기,44.12,39.31,0.48
함수폭약,전기,40.8,32.38,0.58
함수폭약,전기,44.2,35.08,0.38
함수폭약,전기,49.6,39.37,0.45
함수폭약,전기,56.2,44.61,0.27
함수폭약,전기,63.0,50.0,0.45
