화약,암종,심발,SR SD,CR SD,최대입자속도
정밀폭약,화강반암,Cylinder-cut,55.22,42.4,0.244
정밀폭약,화강반암,Cylinder-cut,66.26,50.88,0.1
정밀폭약,화강반암,Cylinder-cut,77.3,59.36,0.04
정밀폭약,화강반암,Cylinder-cut,97.18,74.62,0.071
정밀폭약,화강반암,Cylinder-cut,117.06,89.89,0.048
정밀폭약,화강반암,Cylinder-cut,183.32,140.76,0.028999999999999998
