뇌관,암종,심발,SR SD,CR SD,최대입자속도
전기,편마암,V-CUT,18.04,20.11,1.5
전기,편마암,V-CUT,18.04,20.11,0.8
전기,편마암,V-CUT,28.15,31.38,0.35
전기,편마암,V-CUT,28.15,31.38,0.3
전기,편마암,V-CUT,63.3,66.38,0.13699999999999998
전기,편마암,V-CUT,71.1,74.56,0.1
전기,편마암,V-CUT,66.77,70.02,0.12
전기,편마암,V-CUT,68.5,71.84,0.1
전기,편마암,V-CUT,62.43,65.47,0.12
전기,편마암,V-CUT,64.17,67.29,0.12
전기,편마암,V-CUT,65.9,69.11,0.1
전기,편마암,V-CUT,63.3,66.38,0.1
전기,편마암,V-CUT,60.7,63.65,0.1
전기,편마암,V-CUT,58.96,61.83,0.12
전기,편마암,V-CUT,52.03,54.56,0.15
전기,편마암,V-CUT,56.36,59.11,0.1
전기,편마암,V-CUT,35.8,34.12,0.162
전기,편마암,V-CUT,33.49,31.92,0.09
전기,편마암,V-CUT,48.5,46.23,0.1
전기,편마암,V-CUT,40.41,38.52,0.1
전기,편마암,V-CUT,40.41,38.52,0.07
전기,편마암,V-CUT,34.64,33.02,0.07
전기,편마암,V-CUT,16.17,19.41,0.16
전기,편마암,V-CUT,17.32,20.8,0.10800000000000001
전기,편마암,V-CUT,23.09,27.73,0.1
전기,편마암,V-CUT,19.05,22.88,0.15
전기,편마암,V-CUT,23.67,28.43,0.05
전기,편마암,V-CUT,33.49,31.92,0.162
전기,편마암,V-CUT,35.8,34.12,0.121
전기,편마암,V-CUT,50.81,48.43,0.1
전기,편마암,V-CUT,41.57,39.62,0.1
전기,편마암,V-CUT,42.72,40.72,0.1
전기,편마암,V-CUT,35.8,34.12,0.1
전기,편마암,V-CUT,38.11,36.32,0.12
전기,편마암,V-CUT,43.88,41.82,0.12
전기,편마암,V-CUT,20.78,24.96,0.10800000000000001
전기,편마암,V-CUT,24.83,29.81,0.1
전기,편마암,V-CUT,20.78,24.96,0.1
전기,편마암,V-CUT,20.78,24.96,0.1
전기,편마암,V-CUT,17.32,20.8,0.12
전기,편마암,V-CUT,18.48,22.19,0.07
전기,편마암,V-CUT,21.94,26.35,0.12
전기,편마암,V-CUT,52.8,41.91,0.21600000000000003
전기,편마암,V-CUT,59.4,47.15,0.113
전기,편마암,V-CUT,58.0,46.03,0.16699999999999998
전기,편마암,V-CUT,46.0,36.51,0.25
전기,편마암,V-CUT,70.8,56.19,0.07
전기,편마암,V-CUT,42.0,33.34,0.88
전기,편마암,V-CUT,55.2,43.81,0.15
전기,편마암,V-CUT,72.0,57.15,0.05
전기,편마암,V-CUT,39.2,31.11,0.254
전기,편마암,V-CUT,55.3,41.04,0.265
전기,편마암,V-CUT,35.4,28.1,0.373
전기,편마암,V-CUT,57.2,45.4,0.6
전기,편마암,V-CUT,44.6,35.4,0.35
전기,편마암,V-CUT,45.2,35.88,0.27
전기,편마암,V-CUT,34.8,27.62,0.2
전기,편마암,V-CUT,41.0,32.54,0.35
전기,편마암,V-CUT,42.0,33.34,0.25
전기,편마암,V-CUT,42.0,33.34,0.22
전기,편마암,V-CUT,46.8,37.15,0.1
전기,편마암,V-CUT,46.98,34.87,0.27
전기,편마암,V-CUT,53.83,39.95,0.12
전기,편마암,V-CUT,59.22,43.95,0.15
전기,편마암,V-CUT,45.52,33.78,0.15
전기,편마암,V-CUT,42.09,31.23,0.4
전기,편마암,V-CUT,51.39,38.13,0.1
전기,편마암,V-CUT,63.62,47.21,0.05
전기,편마암,V-CUT,38.38,41.06,0.05
전기,편마암,V-CUT,37.8,40.45,0.4
전기,편마암,V-CUT,39.6,42.37,0.25
전기,편마암,V-CUT,38.38,41.06,0.3
전기,편마암,V-CUT,37.56,40.18,0.27
전기,편마암,V-CUT,38.38,41.06,0.27
전기,편마암,V-CUT,39.6,42.37,0.38
전기,편마암,V-CUT,38.87,41.58,0.22
전기,편마암,V-CUT,36.99,39.57,0.268
전기,편마암,V-CUT,47.36,50.67,0.42700000000000005
