뇌관,암종,심발,SR SD,CR SD,최대입자속도
비전기,편마암,V-CUT,18.8,14.92,3.2039999999999997
비전기,편마암,V-CUT,18.8,14.92,2.97
비전기,편마암,V-CUT,15.21,12.77,3.9
비전기,편마암,V-CUT,15.21,12.77,2.609
비전기,편마암,V-CUT,15.38,12.91,3.176
비전기,편마암,V-CUT,15.38,12.91,2.6689999999999996
비전기,편마암,V-CUT,179.2,142.23,0.040999999999999995
비전기,편마암,V-CUT,152.47,127.99,0.062
비전기,편마암,V-CUT,152.47,127.99,0.033
비전기,편마암,V-CUT,151.62,127.28,0.06
비전기,편마암,V-CUT,151.62,127.28,0.028999999999999998
비전기,편마암,V-CUT,153.48,128.84,0.032
비전기,편마암,V-CUT,50.7,50.7,0.17800000000000002
비전기,편마암,V-CUT,98.6,78.26,0.14400000000000002
비전기,편마암,V-CUT,98.6,78.26,0.139
비전기,편마암,V-CUT,85.02,71.37,0.20199999999999999
비전기,편마암,V-CUT,85.02,71.37,0.14300000000000002
비전기,편마암,V-CUT,81.81,69.47,0.15
비전기,편마암,V-CUT,80.7,80.7,0.062
비전기,편마암,V-CUT,158.6,125.88,0.035
비전기,편마암,V-CUT,158.6,125.88,0.038
비전기,편마암,V-CUT,158.6,125.88,0.048
비전기,편마암,V-CUT,158.6,125.88,0.039
비전기,편마암,V-CUT,135.39,113.66,0.047
비전기,편마암,V-CUT,111.4,111.4,0.038
비전기,편마암,V-CUT,218.6,173.5,0.028999999999999998
비전기,편마암,V-CUT,218.6,173.5,0.032
비전기,편마암,V-CUT,217.2,172.39,0.033
비전기,편마암,V-CUT,185.93,156.09,0.028999999999999998
비전기,편마암,V-CUT,178.98,151.98,0.035
비전기,편마암,V-CUT,84.2,66.83,0.16399999999999998
비전기,편마암,V-CUT,48.41,45.61,0.14300000000000002
비전기,편마암,V-CUT,47.57,44.82,0.136
비전기,편마암,V-CUT,44.41,39.56,0.24
비전기,편마암,V-CUT,44.41,39.56,0.198
비전기,편마암,V-CUT,435.6,345.74,0.009000000000000001
비전기,편마암,V-CUT,425.2,337.48,0.011000000000000001
