화약,뇌관,암석분류,SR SD,CR SD,최대입자속도
에멀젼C,전자,변성암,72.2,57.31,0.066
에멀젼C,전자,변성암,70.8,56.19,0.062
에멀젼C,전자,변성암,69.2,54.92,0.06
에멀젼C,전자,변성암,67.8,53.81,0.071
에멀젼C,전자,변성암,65.0,51.59,0.07400000000000001
에멀젼C,전자,변성암,86.4,68.58,0.028999999999999998
에멀젼C,전자,변성암,86.4,68.58,0.042
에멀젼C,전자,변성암,85.0,67.46,0.040999999999999995
에멀젼C,전자,변성암,83.8,66.51,0.033
에멀젼C,전자,변성암,82.6,65.56,0.040999999999999995
에멀젼C,전자,변성암,147.0,116.67,0.012
에멀젼C,전자,변성암,147.0,116.67,0.017
에멀젼C,전자,변성암,147.0,116.67,0.015
에멀젼C,전자,변성암,146.2,116.04,0.017
에멀젼C,전자,변성암,143.6,113.98,0.016
에멀젼C,전자,변성암,136.0,107.94,0.027000000000000003
에멀젼C,전자,변성암,136.0,107.94,0.036000000000000004
에멀젼C,전자,변성암,134.6,106.83,0.024
에멀젼C,전자,변성암,134.6,106.83,0.024
에멀젼C,전자,변성암,133.2,105.72,0.026000000000000002
에멀젼C,전자,변성암,61.2,48.57,0.065
에멀젼C,전자,변성암,59.6,47.3,0.059000000000000004
에멀젼C,전자,변성암,59.6,47.3,0.087
에멀젼C,전자,변성암,58.0,46.03,0.071
에멀젼C,전자,변성암,58.0,46.03,0.071
에멀젼C,전자,변성암,68.0,53.97,0.046
에멀젼C,전자,변성암,68.0,53.97,0.06
에멀젼C,전자,변성암,66.6,52.86,0.047
에멀젼C,전자,변성암,65.0,51.59,0.057
에멀젼C,전자,변성암,63.6,50.48,0.07200000000000001
에멀젼C,전자,변성암,34.0,26.99,0.106
에멀젼C,전자,변성암,34.0,26.99,0.10800000000000001
에멀젼C,전자,변성암,58.0,46.03,0.24100000000000002
에멀젼C,전자,변성암,48.0,38.1,0.179
에멀젼C,전자,변성암,128.0,101.59,0.04
에멀젼C,전자,변성암,56.0,44.45,0.14
에멀젼C,전자,변성암,110.0,87.31,0.045
에멀젼C,전자,변성암,60.0,47.62,0.092
에멀젼C,전자,변성암,208.0,165.09,0.025
에멀젼C,전자,변성암,128.0,101.59,0.043
