화약,뇌관,암석분류,SR SD,CR SD,최대입자속도
함수폭약,전기,변성암,38.38,41.06,0.05
함수폭약,전기,변성암,37.8,40.45,0.4
함수폭약,전기,변성암,39.6,42.37,0.25
함수폭약,전기,변성암,38.38,41.06,0.3
함수폭약,전기,변성암,37.56,40.18,0.27
함수폭약,전기,변성암,38.38,41.06,0.27
함수폭약,전기,변성암,39.6,42.37,0.38
함수폭약,전기,변성암,38.87,41.58,0.22
함수폭약,전기,변성암,36.99,39.57,0.268
함수폭약,전기,변성암,47.36,50.67,0.42700000000000005
함수폭약,전기,변성암,37.8,40.45,0.24100000000000002
함수폭약,전기,변성암,18.72,21.81,0.34299999999999997
함수폭약,전기,변성암,19.23,22.4,0.55
함수폭약,전기,변성암,25.3,29.47,0.4
함수폭약,전기,변성암,19.8,23.06,0.07
함수폭약,전기,변성암,23.84,27.78,0.12
함수폭약,전기,변성암,18.02,21.0,0.4
함수폭약,전기,변성암,19.04,22.18,0.48
함수폭약,전기,변성암,19.04,22.18,0.3
함수폭약,전기,변성암,37.0,37.0,0.22899999999999998
함수폭약,전기,변성암,47.92,45.68,0.254
함수폭약,전기,변성암,62.05,52.7,1.95
함수폭약,전기,변성암,78.0,61.91,0.3
함수폭약,전기,변성암,80.0,63.5,0.35
함수폭약,전기,변성암,82.0,65.08,0.25
함수폭약,전기,변성암,61.38,54.68,0.264
함수폭약,전기,변성암,42.72,40.72,0.111
함수폭약,전기,변성암,76.0,60.32,0.4
함수폭약,전기,변성암,43.88,41.82,1.67
함수폭약,전기,변성암,61.12,53.5,0.5
함수폭약,전기,변성암,64.34,54.64,0.4
함수폭약,전기,변성암,66.95,56.86,0.3
함수폭약,전기,변성암,59.93,50.89,0.6
함수폭약,전기,변성암,57.98,51.66,0.5
함수폭약,전기,변성암,67.83,59.38,0.25
함수폭약,전기,변성암,84.0,66.67,0.2
함수폭약,전기,변성암,80.0,63.5,0.17
함수폭약,전기,변성암,91.92,65.0,0.2
함수폭약,전기,변성암,86.83,61.4,0.1
함수폭약,전기,변성암,80.83,61.15,0.051
함수폭약,전기,변성암,63.05,47.7,0.311
함수폭약,전기,변성암,65.05,46.0,0.5
함수폭약,전기,변성암,91.64,64.8,0.2
함수폭약,전기,변성암,87.68,62.0,0.22
함수폭약,전기,변성암,68.03,50.48,0.15
함수폭약,전기,변성암,76.84,57.02,0.15
함수폭약,전기,변성암,92.25,68.46,0.5589999999999999
함수폭약,전기,변성암,64.11,47.58,0.44299999999999995
함수폭약,전기,변성암,56.53,41.95,0.079
함수폭약,전기,변성암,55.64,41.92,0.3
함수폭약,전기,변성암,45.58,37.94,0.4
함수폭약,전기,변성암,44.54,37.08,0.2
함수폭약,전기,변성암,60.65,50.5,0.3
함수폭약,전기,변성암,43.92,37.58,0.17
함수폭약,전기,변성암,51.27,43.86,0.2
함수폭약,전기,변성암,48.0,39.96,0.14400000000000002
함수폭약,전기,변성암,67.79,51.08,0.546
함수폭약,전기,변성암,67.32,47.6,0.28300000000000003
함수폭약,전기,변성암,113.99,80.6,0.05
함수폭약,전기,변성암,100.69,71.2,0.07
함수폭약,전기,변성암,98.99,70.0,0.07
함수폭약,전기,변성암,100.69,71.2,0.07
함수폭약,전기,변성암,115.97,82.0,0.02
함수폭약,전기,변성암,113.14,80.0,0.02
함수폭약,전기,변성암,113.14,80.0,0.05
함수폭약,전기,변성암,101.82,72.0,0.05
함수폭약,전기,변성암,100.41,71.0,0.07
함수폭약,전기,변성암,98.99,70.0,0.02
함수폭약,전기,변성암,119.64,84.6,0.02
함수폭약,전기,변성암,118.79,84.0,0.02
함수폭약,전기,변성암,97.02,68.6,0.05
함수폭약,전기,변성암,119.93,84.8,0.07
함수폭약,전기,변성암,117.66,83.2,0.07
함수폭약,전기,변성암,116.81,82.6,0.05
함수폭약,전기,변성암,102.67,72.6,0.02
함수폭약,전기,변성암,101.82,72.0,0.05
함수폭약,전기,변성암,92.49,65.4,0.04
함수폭약,전기,변성암,89.1,63.0,0.05
함수폭약,전기,변성암,100.69,71.2,0.053
함수폭약,전기,변성암,109.46,77.4,0.049
