화약,심발,SR SD,CR SD,최대입자속도
정밀폭약,Cylinder-cut,164.44,128.24,0.040999999999999995
정밀폭약,Cylinder-cut,185.52,144.68,0.032
정밀폭약,Cylinder-cut,206.6,161.13,0.037000000000000005
정밀폭약,Cylinder-cut,65.35,50.97,0.076
정밀폭약,Cylinder-cut,75.89,59.19,0.10800000000000001
정밀폭약,Cylinder-cut,101.19,78.92,0.037000000000000005
정밀폭약,Cylinder-cut,122.27,95.36,0.054000000000000006
정밀폭약,Cylinder-cut,164.44,128.24,0.040999999999999995
정밀폭약,Cylinder-cut,185.52,144.68,0.044000000000000004
정밀폭약,Cylinder-cut,51.89,43.56,0.184
정밀폭약,Cylinder-cut,57.13,47.96,0.14400000000000002
정밀폭약,Cylinder-cut,76.4,64.14,0.111
정밀폭약,Cylinder-cut,83.16,69.81,0.113
정밀폭약,Cylinder-cut,90.43,75.92,0.092
정밀폭약,Cylinder-cut,97.87,82.16,0.076
정밀폭약,Cylinder-cut,105.14,88.26,0.087
정밀폭약,Cylinder-cut,112.91,94.79,0.073
정밀폭약,Cylinder-cut,37.12,30.7,0.213
정밀폭약,Cylinder-cut,44.19,36.55,0.198
정밀폭약,Cylinder-cut,68.94,57.02,0.125
정밀폭약,Cylinder-cut,86.62,71.64,0.052000000000000005
정밀폭약,Cylinder-cut,121.98,100.88,0.064
정밀폭약,Cylinder-cut,157.33,130.12,0.013000000000000001
정밀폭약,Cylinder-cut,28.75,21.18,0.51
정밀폭약,Cylinder-cut,58.0,42.73,0.20600000000000002
정밀폭약,Cylinder-cut,80.0,58.94,0.124
정밀폭약,Cylinder-cut,103.5,76.26,0.065
정밀폭약,Cylinder-cut,127.5,93.94,0.054000000000000006
정밀폭약,Cylinder-cut,151.75,111.81,0.043
정밀폭약,Cylinder-cut,176.25,129.86,0.018000000000000002
정밀폭약,Cylinder-cut,24.0,19.05,0.66
정밀폭약,Cylinder-cut,54.0,42.86,0.049
정밀폭약,Cylinder-cut,78.0,61.91,0.10800000000000001
정밀폭약,Cylinder-cut,98.0,77.78,0.068
정밀폭약,Cylinder-cut,118.0,93.66,0.038
정밀폭약,Cylinder-cut,138.0,109.53,0.04
정밀폭약,Cylinder-cut,158.0,125.4,0.021
정밀폭약,Cylinder-cut,61.84,47.49,0.16699999999999998
정밀폭약,Cylinder-cut,83.93,64.45,0.079
정밀폭약,Cylinder-cut,93.2,71.57,0.016
정밀폭약,Cylinder-cut,128.1,98.37,0.079
정밀폭약,Cylinder-cut,150.19,115.33,0.025
정밀폭약,Cylinder-cut,172.27,132.28,0.018000000000000002
정밀폭약,Cylinder-cut,194.36,149.24,0.013000000000000001
정밀폭약,Cylinder-cut,50.8,39.01,0.179
정밀폭약,Cylinder-cut,61.84,47.49,0.17800000000000002
정밀폭약,Cylinder-cut,102.48,78.69,0.03
정밀폭약,Cylinder-cut,128.1,98.37,0.033
정밀폭약,Cylinder-cut,150.19,115.33,0.025
정밀폭약,Cylinder-cut,172.27,132.28,0.025
정밀폭약,Cylinder-cut,194.36,149.24,0.021
정밀폭약,Cylinder-cut,29.56,26.33,0.845
