화약,뇌관,암석분류,SR SD,CR SD,최대입자속도
에멀젼C,전기,변성암,28.32,24.79,0.14800000000000002
에멀젼C,전기,변성암,27.13,23.75,0.556
에멀젼C,전기,변성암,19.62,18.02,0.495
에멀젼C,전기,변성암,28.91,28.97,0.268
에멀젼C,전기,변성암,37.46,37.54,0.965
에멀젼C,전기,변성암,26.03,26.09,0.4
에멀젼C,전기,변성암,23.35,23.4,0.4
에멀젼C,전기,변성암,33.28,33.36,0.22
에멀젼C,전기,변성암,28.81,28.88,0.78
에멀젼C,전기,변성암,31.99,32.06,0.25
에멀젼C,전기,변성암,48.08,42.84,0.292
에멀젼C,전기,변성암,52.33,46.62,0.25
에멀젼C,전기,변성암,70.71,63.0,0.27
에멀젼C,전기,변성암,63.64,56.7,0.05
에멀젼C,전기,변성암,53.74,47.88,0.3
