화약,뇌관,SR SD,CR SD,최대입자속도
에멀젼C,전기,130.98,159.0,0.04
에멀젼C,전기,130.75,158.73,0.07
에멀젼C,전기,93.01,126.73,0.064
에멀젼C,전기,123.91,153.4,0.042
에멀젼C,전기,125.54,155.42,0.03
에멀젼C,전기,95.82,129.16,0.033
에멀젼C,전기,23.6,32.15,0.226
에멀젼C,전기,32.26,39.93,0.242
에멀젼C,전기,31.2,38.63,0.335
에멀젼C,전기,30.83,38.17,0.32899999999999996
에멀젼C,전기,27.71,35.98,0.335
에멀젼C,전기,26.18,35.57,0.318
에멀젼C,전기,35.3,48.1,0.20199999999999999
에멀젼C,전기,47.38,58.66,0.254
에멀젼C,전기,46.64,57.74,0.369
에멀젼C,전기,36.86,49.69,0.222
에멀젼C,전기,36.25,48.87,0.22899999999999998
에멀젼C,전기,38.5,51.9,0.271
에멀젼C,전기,62.88,77.84,0.136
에멀젼C,전기,62.67,77.58,0.133
에멀젼C,전기,48.91,65.93,0.142
에멀젼C,전기,48.09,64.83,0.141
에멀젼C,전기,63.03,78.04,0.122
에멀젼C,전기,48.49,65.89,0.125
에멀젼C,전기,78.69,97.41,0.10300000000000001
에멀젼C,전기,79.95,98.98,0.08800000000000001
에멀젼C,전기,61.32,82.66,0.092
에멀젼C,전기,66.46,86.9,0.16399999999999998
에멀젼C,전기,61.0,82.9,0.09699999999999999
에멀젼C,전기,60.44,82.14,0.121
에멀젼C,전기,176.21,156.99,0.046
에멀젼C,전기,175.65,156.48,0.025
에멀젼C,전기,200.04,169.87,0.026000000000000002
에멀젼C,전기,203.63,172.92,0.024
에멀젼C,전기,204.45,173.62,0.028999999999999998
에멀젼C,전기,297.27,264.84,0.01
에멀젼C,전기,298.4,265.84,0.009000000000000001
에멀젼C,전기,341.3,289.83,0.006999999999999999
에멀젼C,전기,343.75,291.91,0.006999999999999999
에멀젼C,전기,344.72,292.74,0.009000000000000001
에멀젼C,전기,129.4,115.28,0.069
에멀젼C,전기,130.11,115.91,0.069
에멀젼C,전기,129.12,115.03,0.052000000000000005
에멀젼C,전기,143.21,121.62,0.047
에멀젼C,전기,144.19,122.45,0.049
에멀젼C,전기,55.58,49.51,0.24
에멀젼C,전기,56.85,50.65,0.308
에멀젼C,전기,59.6,50.62,0.20800000000000002
에멀젼C,전기,54.02,48.13,0.318
에멀젼C,전기,63.03,53.53,0.32799999999999996
에멀젼C,전기,70.0,62.37,0.107
에멀젼C,전기,79.85,67.81,0.091
에멀젼C,전기,79.04,67.12,0.1
에멀젼C,전기,62.87,59.24,0.077
에멀젼C,전기,69.08,65.1,0.068
에멀젼C,전기,99.28,88.45,0.032
에멀젼C,전기,99.14,88.32,0.028999999999999998
에멀젼C,전기,112.02,95.13,0.027000000000000003
에멀젼C,전기,113.66,96.52,0.036000000000000004
에멀젼C,전기,110.72,94.02,0.027000000000000003
에멀젼C,전기,135.06,120.32,0.025
에멀젼C,전기,134.21,119.57,0.027000000000000003
에멀젼C,전기,133.78,119.19,0.031
에멀젼C,전기,153.34,130.21,0.019
에멀젼C,전기,151.22,128.41,0.021
에멀젼C,전기,281.71,250.98,0.013000000000000001
에멀젼C,전기,281.99,251.23,0.015
에멀젼C,전기,213.17,208.48,0.018000000000000002
에멀젼C,전기,213.17,208.48,0.015
에멀젼C,전기,232.56,221.67,0.013999999999999999
에멀젼C,전기,318.2,283.48,0.01
에멀젼C,전기,318.48,283.73,0.01
에멀젼C,전기,241.07,235.76,0.006
에멀젼C,전기,241.07,235.76,0.006
에멀젼C,전기,241.07,235.76,0.008
에멀젼C,전기,46.4,45.38,0.17
에멀젼C,전기,46.4,45.38,0.28600000000000003
에멀젼C,전기,52.31,49.86,0.23
에멀젼C,전기,51.38,48.98,0.337
에멀젼C,전기,50.46,48.1,0.217
에멀젼C,전기,62.43,61.06,0.165
에멀젼C,전기,62.33,60.95,0.179
에멀젼C,전기,69.63,66.37,0.163
에멀젼C,전기,68.59,65.38,0.188
에멀젼C,전기,67.55,64.39,0.17
에멀젼C,전기,82.1,80.3,0.12300000000000001
에멀젼C,전기,78.36,76.64,0.11
에멀젼C,전기,82.0,80.19,0.115
에멀젼C,전기,80.18,78.41,0.12
에멀젼C,전기,82.68,78.81,0.17300000000000001
에멀젼C,전기,94.4,92.32,0.122
에멀젼C,전기,103.11,98.29,0.10300000000000001
에멀젼C,전기,104.27,99.39,0.139
에멀젼C,전기,101.96,97.19,0.11199999999999999
에멀젼C,전기,103.35,98.51,0.096
에멀젼C,전기,110.54,108.11,0.107
에멀젼C,전기,114.17,111.66,0.12
에멀젼C,전기,110.43,108.0,0.079
에멀젼C,전기,119.28,113.7,0.10099999999999999
에멀젼C,전기,119.4,113.81,0.12300000000000001
에멀젼C,전기,229.86,236.95,0.013000000000000001
에멀젼C,전기,226.39,233.38,0.013999999999999999
에멀젼C,전기,227.94,234.98,0.01
에멀젼C,전기,225.66,232.62,0.018000000000000002
에멀젼C,전기,227.12,234.13,0.013999999999999999
에멀젼C,전기,184.22,189.9,0.018000000000000002
에멀젼C,전기,186.5,192.25,0.013999999999999999
에멀젼C,전기,181.48,187.08,0.024
에멀젼C,전기,182.03,187.64,0.022000000000000002
에멀젼C,전기,180.57,186.14,0.025
에멀젼C,전기,37.79,38.96,0.493
에멀젼C,전기,32.77,33.78,0.586
에멀젼C,전기,37.52,38.68,0.431
에멀젼C,전기,37.25,38.39,0.5
에멀젼C,전기,33.68,34.72,0.53
에멀젼C,전기,37.98,39.15,0.307
에멀젼C,전기,41.17,42.44,0.21100000000000002
에멀젼C,전기,40.26,41.5,0.3
에멀젼C,전기,34.99,37.01,0.6809999999999999
