암종,SR SD,CR SD,최대입자속도
화강암,73.9,70.44,0.261
화강암,91.22,86.95,0.268
화강암,108.54,103.46,0.22899999999999998
화강암,125.86,119.97,0.162
화강암,143.18,136.48,0.156
화강암,160.5,152.99,0.17600000000000002
화강암,185.91,177.2,0.040999999999999995
화강암,56.58,53.93,0.048
화강암,73.9,70.44,0.031
화강암,91.22,86.95,0.024
화강암,108.54,103.46,0.038
화강암,125.86,119.97,0.016
화강암,143.18,136.48,0.015
화강암,160.5,152.99,0.011000000000000001
화강암,183.6,175.0,0.009000000000000001
화강암,164.24,158.24,0.021
화강암,169.63,161.68,0.022000000000000002
화강암,134.1,138.24,0.027999999999999997
화강암,207.17,199.61,0.022000000000000002
화강암,206.72,199.18,0.023
화강암,213.97,203.95,0.021
화강암,98.15,93.55,0.182
화강암,98.15,93.55,0.157
화강암,77.59,79.99,0.223
화강암,127.02,121.07,0.094
화강암,122.98,118.49,0.07
화강암,127.02,121.07,0.06
화강암,151.05,145.53,0.031
화강암,151.05,145.53,0.037000000000000005
화강암,156.0,148.7,0.024
화강암,179.11,172.57,0.028999999999999998
화강암,184.98,176.32,0.017
화강암,184.98,176.32,0.013999999999999999
화강암,206.95,199.39,0.016
화강암,206.95,199.39,0.015
화강암,213.74,203.73,0.016
화강암,242.6,231.24,0.015
화강암,234.9,226.32,0.019
화강암,242.6,231.24,0.016
화강암,163.79,157.81,0.021
화강암,169.16,161.24,0.015
화강암,169.16,161.24,0.012
화강암,208.29,200.69,0.021
화강암,208.29,200.69,0.019
화강암,215.12,205.05,0.019
화강암,78.51,80.93,0.213
화강암,96.15,92.64,0.18899999999999997
화강암,99.3,94.66,0.175
화강암,124.1,119.57,0.061
화강암,124.1,119.57,0.069
화강암,101.33,104.45,0.091
화강암,152.16,146.61,0.031
화강암,124.24,128.08,0.05
화강암,157.15,149.8,0.028999999999999998
화강암,180.12,173.54,0.023
화강암,180.12,173.54,0.021
화강암,147.06,151.6,0.027000000000000003
화강암,208.07,200.47,0.02
화강암,208.07,200.47,0.021
화강암,208.07,200.47,0.017
화강암,49.64,42.16,0.8290000000000001
화강암,49.64,42.16,0.932
화강암,49.64,42.16,0.799
화강암,60.8,48.26,0.701
화강암,49.64,42.16,0.866
화강암,130.64,110.94,0.068
화강암,130.64,110.94,0.075
화강암,160.0,126.99,0.091
화강암,130.64,110.94,0.095
화강암,130.64,110.94,0.1
화강암,179.63,152.54,0.021
화강암,179.63,152.54,0.032
화강암,179.63,152.54,0.02
화강암,179.63,152.54,0.022000000000000002
화강암,220.0,174.61,0.016
화강암,212.29,180.27,0.011000000000000001
화강암,212.29,180.27,0.017
화강암,212.29,180.27,0.012
화강암,212.29,180.27,0.013000000000000001
화강암,212.29,180.27,0.015
화강암,245.11,208.15,0.01
화강암,245.11,208.15,0.013000000000000001
화강암,245.11,208.15,0.009000000000000001
화강암,245.11,208.15,0.012
화강암,300.2,238.27,0.01
화강암,277.77,235.88,0.011000000000000001
화강암,277.77,235.88,0.01
화강암,277.77,235.88,0.013000000000000001
화강암,277.77,235.88,0.011000000000000001
화강암,277.77,235.88,0.01
화강암,100.0,73.68,0.025
화강암,97.5,71.84,0.068
화강암,95.0,70.0,0.068
화강암,102.5,75.52,0.032
화강암,125.0,92.1,0.019
화강암,122.5,90.26,0.033
화강암,120.0,88.42,0.028999999999999998
화강암,127.5,93.94,0.025
화강암,150.0,110.52,0.024
화강암,147.5,108.68,0.033
화강암,145.0,106.84,0.006
화강암,152.5,112.36,0.006
화강암,175.0,128.94,0.024
화강암,172.5,127.1,0.028999999999999998
화강암,170.0,125.26,0.01
화강암,177.5,130.78,0.006
화강암,200.0,147.36,0.019
화강암,197.5,145.52,0.027000000000000003
화강암,195.0,143.68,0.008
화강암,202.5,149.2,0.006
화강암,57.5,42.37,0.071
화강암,55.0,40.52,0.114
화강암,52.5,38.68,0.08900000000000001
화강암,60.0,44.21,0.044000000000000004
화강암,400.0,294.72,0.015
화강암,397.5,292.88,0.015
화강암,395.0,291.04,0.012
화강암,402.5,296.56,0.012
화강암,430.0,316.83,0.012
화강암,427.5,314.98,0.022000000000000002
화강암,425.0,313.14,0.027000000000000003
화강암,432.5,318.67,0.015
화강암,29.02,25.63,0.252
화강암,21.94,20.91,0.37200000000000005
화강암,21.91,20.52,0.175
화강암,29.7,26.46,0.18899999999999997
화강암,36.27,32.04,0.44
화강암,27.71,26.42,0.613
화강암,27.99,26.22,0.252
화강암,36.77,32.76,0.377
화강암,58.04,51.27,0.1
화강암,45.03,42.93,0.134
화강암,46.25,43.32,0.081
화강암,57.98,51.66,0.07200000000000001
화강암,71.1,62.8,0.09300000000000001
화강암,55.43,52.83,0.08800000000000001
화강암,57.21,53.58,0.035
화강암,70.71,63.0,0.042
화강암,74.0,65.36,0.08199999999999999
화강암,57.74,55.03,0.067
화강암,59.64,55.86,0.044000000000000004
화강암,73.54,65.52,0.042
화강암,72.55,64.08,0.09300000000000001
화강암,56.58,53.93,0.11
화강암,58.42,54.72,0.068
화강암,72.12,64.26,0.07400000000000001
화강암,87.06,76.9,0.084
화강암,68.13,64.94,0.134
화강암,70.6,66.12,0.07200000000000001
화강암,86.27,76.86,0.07
화강암,101.57,89.72,0.086
화강암,79.67,75.94,0.09300000000000001
화강암,82.77,77.52,0.053
화강암,100.41,89.45,0.055999999999999994
화강암,116.08,102.53,0.044000000000000004
화강암,91.22,86.95,0.052000000000000005
화강암,94.94,88.92,0.026000000000000002
화강암,114.55,102.05,0.023
화강암,145.1,128.16,0.055999999999999994
화강암,114.32,108.96,0.08900000000000001
