뇌관,심발,SR SD,CR SD,최대입자속도
전자,Cylinder-cut,89.44,68.4,0.040999999999999995
전자,Cylinder-cut,87.21,66.69,0.085
전자,Cylinder-cut,84.97,64.98,0.064
전자,Cylinder-cut,91.68,70.11,0.012
전자,Cylinder-cut,109.57,83.79,0.040999999999999995
전자,Cylinder-cut,107.33,82.08,0.054000000000000006
전자,Cylinder-cut,105.1,80.37,0.042
전자,Cylinder-cut,111.8,85.5,0.026000000000000002
전자,Cylinder-cut,114.04,87.21,0.038
전자,Cylinder-cut,111.8,85.5,0.049
전자,Cylinder-cut,109.57,83.79,0.038
전자,Cylinder-cut,116.28,88.92,0.017
전자,Cylinder-cut,111.8,85.5,0.045
전자,Cylinder-cut,109.57,83.79,0.049
전자,Cylinder-cut,107.33,82.08,0.048
전자,Cylinder-cut,114.04,87.21,0.021
전자,Cylinder-cut,134.16,102.6,0.035
전자,Cylinder-cut,131.93,100.89,0.039
전자,Cylinder-cut,129.69,99.18,0.02
전자,Cylinder-cut,136.4,104.31,0.009000000000000001
전자,Cylinder-cut,156.52,119.7,0.02
전자,Cylinder-cut,154.29,117.99,0.02
전자,Cylinder-cut,152.05,116.28,0.016
전자,Cylinder-cut,158.76,121.41,0.004
전자,Cylinder-cut,178.89,136.8,0.018000000000000002
전자,Cylinder-cut,176.65,135.09,0.018000000000000002
전자,Cylinder-cut,174.41,133.38,0.013000000000000001
전자,Cylinder-cut,181.12,138.51,0.002
전자,Cylinder-cut,223.61,171.0,0.013999999999999999
전자,Cylinder-cut,221.37,169.29,0.019
전자,Cylinder-cut,219.13,167.58,0.013000000000000001
전자,Cylinder-cut,225.84,172.71,0.005
전자,Cylinder-cut,50.0,36.84,0.225
전자,Cylinder-cut,47.5,35.0,0.43700000000000006
전자,Cylinder-cut,39.76,30.53,0.47600000000000003
전자,Cylinder-cut,52.5,38.68,0.289
전자,Cylinder-cut,75.0,55.26,0.071
전자,Cylinder-cut,72.5,53.42,0.121
전자,Cylinder-cut,61.84,47.49,0.225
전자,Cylinder-cut,77.5,57.1,0.11900000000000001
전자,Cylinder-cut,87.5,64.47,0.084
전자,Cylinder-cut,85.0,62.63,0.12300000000000001
전자,Cylinder-cut,72.88,55.97,0.171
전자,Cylinder-cut,90.0,66.31,0.09699999999999999
전자,Cylinder-cut,125.0,92.1,0.040999999999999995
전자,Cylinder-cut,122.5,90.26,0.067
전자,Cylinder-cut,106.01,81.41,0.10300000000000001
전자,Cylinder-cut,127.5,93.94,0.057
전자,Cylinder-cut,155.0,114.2,0.027999999999999997
전자,Cylinder-cut,152.5,112.36,0.052000000000000005
전자,Cylinder-cut,132.52,101.76,0.06
전자,Cylinder-cut,157.5,116.05,0.034
전자,Cylinder-cut,187.5,138.15,0.044000000000000004
전자,Cylinder-cut,185.0,136.31,0.062
전자,Cylinder-cut,161.23,123.81,0.084
전자,Cylinder-cut,190.0,139.99,0.049
전자,Cylinder-cut,225.0,165.78,0.013999999999999999
전자,Cylinder-cut,222.5,163.94,0.021
전자,Cylinder-cut,194.36,149.24,0.005
전자,Cylinder-cut,227.5,167.62,0.006
전자,Cylinder-cut,87.5,64.47,0.064
전자,Cylinder-cut,69.4,54.71,0.203
전자,Cylinder-cut,72.88,55.97,0.114
전자,Cylinder-cut,73.48,57.93,0.038
전자,Cylinder-cut,125.0,92.1,0.051
전자,Cylinder-cut,100.02,78.85,0.114
전자,Cylinder-cut,106.01,81.41,0.013000000000000001
전자,Cylinder-cut,104.1,82.07,0.013000000000000001
전자,Cylinder-cut,150.0,110.52,0.021
전자,Cylinder-cut,120.43,94.94,0.044000000000000004
전자,Cylinder-cut,128.1,98.37,0.037000000000000005
전자,Cylinder-cut,124.52,98.16,0.016
전자,Cylinder-cut,175.0,128.94,0.024
전자,Cylinder-cut,140.85,111.03,0.043
전자,Cylinder-cut,150.19,115.33,0.018000000000000002
전자,Cylinder-cut,144.93,114.25,0.013000000000000001
전자,Cylinder-cut,200.0,147.36,0.018000000000000002
전자,Cylinder-cut,161.26,127.12,0.024
전자,Cylinder-cut,172.27,132.28,0.006
전자,Cylinder-cut,165.34,130.34,0.006
전자,Cylinder-cut,225.0,165.78,0.018000000000000002
전자,Cylinder-cut,181.67,143.21,0.013000000000000001
전자,Cylinder-cut,194.36,149.24,0.005
전자,Cylinder-cut,185.75,146.43,0.005
전자,Cylinder-cut,250.0,184.2,0.016
전자,Cylinder-cut,202.08,159.31,0.008
전자,Cylinder-cut,216.45,166.2,0.006
전자,Cylinder-cut,206.17,162.52,0.006
전자,Cylinder-cut,100.0,73.68,0.076
전자,Cylinder-cut,79.61,62.76,0.10300000000000001
전자,Cylinder-cut,71.18,57.74,0.064
전자,Cylinder-cut,83.69,65.98,0.071
전자,Cylinder-cut,125.0,92.1,0.04
전자,Cylinder-cut,100.02,78.85,0.051
전자,Cylinder-cut,89.91,72.94,0.033
전자,Cylinder-cut,104.1,82.07,0.038
전자,Cylinder-cut,150.0,110.52,0.032
전자,Cylinder-cut,120.43,94.94,0.055999999999999994
전자,Cylinder-cut,108.64,88.13,0.028999999999999998
전자,Cylinder-cut,124.52,98.16,0.028999999999999998
전자,Cylinder-cut,175.0,128.94,0.024
전자,Cylinder-cut,140.85,111.03,0.052000000000000005
전자,Cylinder-cut,127.38,103.33,0.040999999999999995
전자,Cylinder-cut,144.93,114.25,0.037000000000000005
전자,Cylinder-cut,200.0,147.36,0.024
전자,Cylinder-cut,161.26,127.12,0.04
전자,Cylinder-cut,146.11,118.53,0.024
전자,Cylinder-cut,165.34,130.34,0.028999999999999998
전자,Cylinder-cut,225.0,165.78,0.018000000000000002
전자,Cylinder-cut,181.67,143.21,0.024
전자,Cylinder-cut,164.84,133.72,0.013999999999999999
전자,Cylinder-cut,185.75,146.43,0.019
전자,Cylinder-cut,255.0,187.89,0.01
전자,Cylinder-cut,206.17,162.52,0.016
전자,Cylinder-cut,187.32,151.96,0.013999999999999999
전자,Cylinder-cut,210.25,165.74,0.013999999999999999
전자,Cylinder-cut,310.0,228.41,0.01
전자,Cylinder-cut,251.07,197.93,0.013999999999999999
전자,Cylinder-cut,228.53,185.39,0.013000000000000001
전자,Cylinder-cut,255.16,201.14,0.01
전자,Cylinder-cut,262.5,193.41,0.01
전자,Cylinder-cut,212.29,167.35,0.028999999999999998
전자,Cylinder-cut,192.94,156.51,0.017
전자,Cylinder-cut,216.37,170.57,0.027000000000000003
전자,Cylinder-cut,67.5,49.73,0.17
전자,Cylinder-cut,65.0,47.89,0.125
전자,Cylinder-cut,55.22,42.4,0.244
전자,Cylinder-cut,70.0,51.58,0.078
전자,Cylinder-cut,80.0,58.94,0.113
전자,Cylinder-cut,77.5,57.1,0.09
전자,Cylinder-cut,66.26,50.88,0.1
전자,Cylinder-cut,82.5,60.79,0.076
전자,Cylinder-cut,92.5,68.15,0.046
전자,Cylinder-cut,90.0,66.31,0.027000000000000003
전자,Cylinder-cut,77.3,59.36,0.04
전자,Cylinder-cut,95.0,70.0,0.022000000000000002
전자,Cylinder-cut,115.0,84.73,0.040999999999999995
전자,Cylinder-cut,112.5,82.89,0.032
전자,Cylinder-cut,97.18,74.62,0.071
전자,Cylinder-cut,117.5,86.57,0.028999999999999998
전자,Cylinder-cut,137.5,101.31,0.027000000000000003
전자,Cylinder-cut,135.0,99.47,0.028999999999999998
전자,Cylinder-cut,117.06,89.89,0.048
전자,Cylinder-cut,140.0,103.15,0.024
전자,Cylinder-cut,212.5,156.57,0.019
전자,Cylinder-cut,210.0,154.73,0.022000000000000002
전자,Cylinder-cut,183.32,140.76,0.028999999999999998
전자,Cylinder-cut,215.0,158.41,0.024
전자,Cylinder-cut,80.0,63.5,0.051
전자,Cylinder-cut,78.0,61.91,0.151
전자,Cylinder-cut,80.11,62.48,0.10300000000000001
전자,Cylinder-cut,82.0,65.08,0.081
전자,Cylinder-cut,110.0,87.31,0.021
전자,Cylinder-cut,108.0,85.72,0.051
전자,Cylinder-cut,111.73,87.14,0.040999999999999995
전자,Cylinder-cut,112.0,88.89,0.033
전자,Cylinder-cut,140.0,111.12,0.016
전자,Cylinder-cut,138.0,109.53,0.037000000000000005
전자,Cylinder-cut,145.46,113.45,0.035
전자,Cylinder-cut,142.0,112.71,0.018000000000000002
전자,Cylinder-cut,170.0,134.93,0.019
전자,Cylinder-cut,168.0,133.34,0.028999999999999998
전자,Cylinder-cut,174.98,136.46,0.003
전자,Cylinder-cut,172.0,136.52,0.003
전자,Cylinder-cut,200.0,158.74,0.013999999999999999
전자,Cylinder-cut,198.0,157.15,0.018000000000000002
전자,Cylinder-cut,206.6,161.13,0.006
전자,Cylinder-cut,202.0,160.33,0.006
전자,Cylinder-cut,272.0,215.89,0.006
전자,Cylinder-cut,270.0,214.3,0.013999999999999999
전자,Cylinder-cut,282.5,220.31,0.006
전자,Cylinder-cut,274.0,217.47,0.006
전자,Cylinder-cut,358.0,284.14,0.006
전자,Cylinder-cut,356.0,282.56,0.008
전자,Cylinder-cut,373.15,291.01,0.005
전자,Cylinder-cut,360.0,285.73,0.005
전자,Cylinder-cut,100.0,79.37,0.067
전자,Cylinder-cut,98.0,77.78,0.13
