K,n,s,# of elem,exp,det,rot,roc,cen
5.493427426,-1.899727546,0.143711837,67,0,1,0,2,3
5.493427426,-1.899727546,0.143711837,67,0,1,0,2,0
5.427690191,-1.744622977,0.148317585,40,0,1,0,6,3
5.427690191,-1.744622977,0.148317585,40,0,1,0,6,0
3.526750291,-1.470137779,0.199283939,65,0,1,0,7,3
3.526750291,-1.470137779,0.199283939,65,0,1,0,7,0
3.394827509,-1.407043529,0.218694204,74,0,1,0,8,1
4.886362081,-1.707806686,0.290135444,496,0,1,0,8,3
4.049397033,-1.399179565,0.297844718,70,0,1,0,8,6
4.40806133,-1.590823774,0.316182764,640,0,1,0,8,0
4.862993396,-1.746005807,0.213727283,59,0,1,0,9,3
4.862993396,-1.746005807,0.213727283,59,0,1,0,9,0
4.655030665,-1.692838219,0.207567897,130,0,1,0,0,1
5.058827382,-1.452892869,0.074473662,10,0,1,0,0,2
4.834550426,-1.699820707,0.284242688,855,0,1,0,0,3
4.876808239,-1.678193391,0.305668253,80,0,1,0,0,5
3.078276147,-1.251188628,0.370476439,114,0,1,0,0,6
5.058914403,-1.432398261,0.276247116,12,0,1,0,0,7
4.570605682,-1.630745649,0.312808555,1201,0,1,0,0,0
-0.29235322,-0.535512711,0.445917495,9,0,2,1,8,1
-0.932023609,-0.164907326,0.707214502,162,0,2,1,8,3
-0.791240315,-0.410260418,0,2,0,2,1,8,6
3.342837319,-1.394525822,0.273196503,22,0,2,1,8,7
0.778573877,-0.662523676,0.660577377,195,0,2,1,8,0
3.181658106,-1.191640695,0.274129623,20,0,2,1,9,3
3.181658106,-1.191640695,0.274129623,20,0,2,1,9,0
-0.29235322,-0.535512711,0.445917495,9,0,2,1,0,1
0.269685727,-0.483595462,0.656404514,182,0,2,1,0,3
-0.791240315,-0.410260418,0,2,0,2,1,0,6
3.342837319,-1.394525822,0.273196503,22,0,2,1,0,7
1.186069591,-0.76194544,0.619549407,215,0,2,1,0,0
5.407001417,-1.76101341,0.24497179,45,0,2,2,5,3
5.407001417,-1.76101341,0.24497179,45,0,2,2,5,0
5.407001417,-1.76101341,0.24497179,45,0,2,2,0,3
5.407001417,-1.76101341,0.24497179,45,0,2,2,0,0
3.106637942,-1.28756688,0.334981634,73,0,2,3,11,1
2.256048261,-0.974757863,0.948877658,49,0,2,3,11,2
1.129189465,-0.797714319,0.457646575,36,0,2,3,11,3
1.668520346,-0.975464653,0.419952902,201,0,2,3,11,7
1.755533284,-0.968922992,0.546934751,359,0,2,3,11,0
6.479740737,-1.946330492,0.182104232,35,0,2,3,6,1
4.514539177,-1.553194902,0.215761879,125,0,2,3,6,3
6.035556809,-1.897861505,0.204104678,100,0,2,3,6,6
5.050283932,-1.674099729,0.222568718,260,0,2,3,6,0
3.702021778,-1.400007415,0.325031339,108,0,2,3,0,1
2.256048261,-0.974757863,0.948877658,49,0,2,3,0,2
2.64114443,-1.113366678,0.371569563,212,0,2,3,0,3
4.244233438,-1.426558796,0.457765052,32,0,2,3,0,4
6.035556809,-1.897861505,0.204104678,100,0,2,3,0,6
1.668520346,-0.975464653,0.419952902,201,0,2,3,0,7
2.335506247,-1.082611365,0.483611021,702,0,2,3,0,0
3.106637942,-1.28756688,0.334981634,73,0,2,0,11,1
2.256048261,-0.974757863,0.948877658,49,0,2,0,11,2
1.129189465,-0.797714319,0.457646575,36,0,2,0,11,3
1.668520346,-0.975464653,0.419952902,201,0,2,0,11,7
1.755533284,-0.968922992,0.546934751,359,0,2,0,11,0
5.407001417,-1.76101341,0.24497179,45,0,2,0,5,3
5.407001417,-1.76101341,0.24497179,45,0,2,0,5,0
6.479740737,-1.946330492,0.182104232,35,0,2,0,6,1
4.514539177,-1.553194902,0.215761879,125,0,2,0,6,3
6.035556809,-1.897861505,0.204104678,100,0,2,0,6,6
5.050283932,-1.674099729,0.222568718,260,0,2,0,6,0
-0.29235322,-0.535512711,0.445917495,9,0,2,0,8,1
-0.932023609,-0.164907326,0.707214502,162,0,2,0,8,3
-0.791240315,-0.410260418,0,2,0,2,0,8,6
3.342837319,-1.394525822,0.273196503,22,0,2,0,8,7
0.778573877,-0.662523676,0.660577377,195,0,2,0,8,0
3.181658106,-1.191640695,0.274129623,20,0,2,0,9,3
3.181658106,-1.191640695,0.274129623,20,0,2,0,9,0
2.997891498,-1.258677688,0.379672637,117,0,2,0,0,1
2.256048261,-0.974757863,0.948877658,49,0,2,0,0,2
2.507137883,-1.085687022,0.459058543,439,0,2,0,0,3
4.244233438,-1.426558796,0.457765052,32,0,2,0,0,4
5.467327552,-1.780002682,0.239855049,102,0,2,0,0,6
1.991587547,-1.070838755,0.395857259,223,0,2,0,0,7
2.360083483,-1.084218839,0.496331529,962,0,2,0,0,0
3.39840592,-1.480856067,0.114586922,30,0,3,1,8,1
1.77547623,-1.000685542,0.274677021,10,0,3,1,8,6
2.895079621,-1.342595346,0.207487631,40,0,3,1,8,0
3.39840592,-1.480856067,0.114586922,30,0,3,1,0,1
1.77547623,-1.000685542,0.274677021,10,0,3,1,0,6
2.895079621,-1.342595346,0.207487631,40,0,3,1,0,0
4.703344815,-1.81008018,0.300769757,28,0,3,2,3,1
4.703344815,-1.81008018,0.300769757,28,0,3,2,3,0
4.703344815,-1.81008018,0.300769757,28,0,3,2,0,1
4.703344815,-1.81008018,0.300769757,28,0,3,2,0,0
4.367761392,-1.587406705,0.344695734,341,0,3,3,11,1
2.472388233,-1.270717127,0.201696689,20,0,3,3,11,3
5.161283287,-1.700276019,0.359608498,148,0,3,3,11,6
4.392037821,-1.581709157,0.363486474,509,0,3,3,11,0
4.912621573,-1.669824821,0.303808475,78,0,3,3,4,1
6.036974322,-1.898924756,0.257235023,47,0,3,3,4,6
5.384913743,-1.765343695,0.285690438,125,0,3,3,4,0
1.610247175,-0.998007247,0.344497914,62,0,3,3,6,1
6.130866667,-1.810687661,0.074979567,6,0,3,3,6,3
2.281208473,-1.116948525,0.342478278,68,0,3,3,6,0
3.96080469,-1.504831835,0.221850402,24,0,3,3,10,1
3.96080469,-1.504831835,0.221850402,24,0,3,3,10,0
4.196365333,-1.531974857,0.319366058,665,0,3,3,0,1
2.14939286,-1.142066348,0.359059926,26,0,3,3,0,3
5.260623258,-1.724032996,0.339551267,195,0,3,3,0,6
4.327183277,-1.554764733,0.333173,886,0,3,3,0,0
4.367761392,-1.587406705,0.344695734,341,0,3,0,11,1
2.472388233,-1.270717127,0.201696689,20,0,3,0,11,3
5.161283287,-1.700276019,0.359608498,148,0,3,0,11,6
4.392037821,-1.581709157,0.363486474,509,0,3,0,11,0
4.703344815,-1.81008018,0.300769757,28,0,3,0,3,1
4.703344815,-1.81008018,0.300769757,28,0,3,0,3,0
4.912621573,-1.669824821,0.303808475,78,0,3,0,4,1
6.036974322,-1.898924756,0.257235023,47,0,3,0,4,6
5.384913743,-1.765343695,0.285690438,125,0,3,0,4,0
1.610247175,-0.998007247,0.344497914,62,0,3,0,6,1
6.130866667,-1.810687661,0.074979567,6,0,3,0,6,3
2.281208473,-1.116948525,0.342478278,68,0,3,0,6,0
3.39840592,-1.480856067,0.114586922,30,0,3,0,8,1
1.77547623,-1.000685542,0.274677021,10,0,3,0,8,6
2.895079621,-1.342595346,0.207487631,40,0,3,0,8,0
3.96080469,-1.504831835,0.221850402,24,0,3,0,10,1
3.96080469,-1.504831835,0.221850402,24,0,3,0,10,0
3.94403131,-1.489538884,0.335092668,723,0,3,0,0,1
2.14939286,-1.142066348,0.359059926,26,0,3,0,0,3
5.023981433,-1.678103106,0.34630701,205,0,3,0,0,6
4.105833381,-1.51694933,0.3453392,954,0,3,0,0,0
1.946293367,-1.115919447,0.262987311,113,0,0,1,8,1
4.267766123,-1.567883481,0.3695856,658,0,0,1,8,3
3.362166081,-1.278275824,0.34591575,82,0,0,1,8,6
3.342837319,-1.394525822,0.273196503,22,0,0,1,8,7
3.841250011,-1.470766124,0.377814296,875,0,0,1,8,0
4.472024527,-1.618138476,0.282764463,79,0,0,1,9,3
4.472024527,-1.618138476,0.282764463,79,0,0,1,9,0
1.946293367,-1.115919447,0.262987311,113,0,0,1,0,1
4.292901243,-1.573798915,0.360918977,737,0,0,1,0,3
3.362166081,-1.278275824,0.34591575,82,0,0,1,0,6
3.342837319,-1.394525822,0.273196503,22,0,0,1,0,7
3.906752445,-1.485321084,0.37006569,954,0,0,1,0,0
5.493427426,-1.899727546,0.143711837,67,0,0,2,2,3
5.493427426,-1.899727546,0.143711837,67,0,0,2,2,0
4.703344815,-1.81008018,0.300769757,28,0,0,2,3,1
4.703344815,-1.81008018,0.300769757,28,0,0,2,3,0
5.407001417,-1.76101341,0.24497179,45,0,0,2,5,3
5.407001417,-1.76101341,0.24497179,45,0,0,2,5,0
3.526750291,-1.470137779,0.199283939,65,0,0,2,7,3
3.526750291,-1.470137779,0.199283939,65,0,0,2,7,0
4.703344815,-1.81008018,0.300769757,28,0,0,2,0,1
4.688031523,-1.686449838,0.228427552,177,0,0,2,0,3
4.876808239,-1.678193391,0.305668253,80,0,0,2,0,5
4.764375238,-1.700936507,0.279656408,285,0,0,2,0,0
5.768058752,-1.761156677,0.169781179,35,0,0,3,1,3
5.768058752,-1.761156677,0.169781179,35,0,0,3,1,0
4.041705861,-1.521046295,0.341060474,470,0,0,3,11,1
1.39999879,-0.740663563,0.988017873,59,0,0,3,11,2
3.322989012,-1.394872409,0.402876048,149,0,0,3,11,3
4.373197149,-1.558276062,0.377015084,192,0,0,3,11,6
1.140142566,-0.804206345,0.528892059,213,0,0,3,11,7
3.319757479,-1.362698735,0.439450468,1083,0,0,3,11,0
4.912621573,-1.669824821,0.303808475,78,0,0,3,4,1
6.036974322,-1.898924756,0.257235023,47,0,0,3,4,6
5.384913743,-1.765343695,0.285690438,125,0,0,3,4,0
3.690699943,-1.380300566,0.319068307,97,0,0,3,6,1
4.622811015,-1.57053743,0.20526739,171,0,0,3,6,3
6.035556809,-1.897861505,0.204104678,100,0,0,3,6,6
4.602632732,-1.569226456,0.247826012,368,0,0,3,6,0
3.96080469,-1.504831835,0.221850402,24,0,0,3,10,1
3.96080469,-1.504831835,0.221850402,24,0,0,3,10,0
4.073568208,-1.506940893,0.320547753,829,0,0,3,0,1
1.39999879,-0.740663563,0.988017873,59,0,0,3,0,2
3.17391517,-1.267087642,0.415985763,406,0,0,3,0,3
4.244233438,-1.426558796,0.457765052,32,0,0,3,0,4
4.892168496,-1.6610277,0.320779424,339,0,0,3,0,6
1.140142566,-0.804206345,0.528892059,213,0,0,3,0,7
3.372869729,-1.342306411,0.413253459,1878,0,0,3,0,0
5.768058752,-1.761156677,0.169781179,35,0,0,0,1,3
5.768058752,-1.761156677,0.169781179,35,0,0,0,1,0
4.041705861,-1.521046295,0.341060474,470,0,0,0,11,1
1.39999879,-0.740663563,0.988017873,59,0,0,0,11,2
3.322989012,-1.394872409,0.402876048,149,0,0,0,11,3
4.373197149,-1.558276062,0.377015084,192,0,0,0,11,6
1.140142566,-0.804206345,0.528892059,213,0,0,0,11,7
3.319757479,-1.362698735,0.439450468,1083,0,0,0,11,0
5.493427426,-1.899727546,0.143711837,67,0,0,0,2,3
5.493427426,-1.899727546,0.143711837,67,0,0,0,2,0
4.703344815,-1.81008018,0.300769757,28,0,0,0,3,1
4.703344815,-1.81008018,0.300769757,28,0,0,0,3,0
4.912621573,-1.669824821,0.303808475,78,0,0,0,4,1
6.036974322,-1.898924756,0.257235023,47,0,0,0,4,6
5.384913743,-1.765343695,0.285690438,125,0,0,0,4,0
5.407001417,-1.76101341,0.24497179,45,0,0,0,5,3
5.407001417,-1.76101341,0.24497179,45,0,0,0,5,0
3.690699943,-1.380300566,0.319068307,97,0,0,0,6,1
4.622811015,-1.57053743,0.20526739,171,0,0,0,6,3
6.035556809,-1.897861505,0.204104678,100,0,0,0,6,6
4.602632732,-1.569226456,0.247826012,368,0,0,0,6,0
3.526750291,-1.470137779,0.199283939,65,0,0,0,7,3
3.526750291,-1.470137779,0.199283939,65,0,0,0,7,0
1.946293367,-1.115919447,0.262987311,113,0,0,0,8,1
4.267766123,-1.567883481,0.3695856,658,0,0,0,8,3
3.362166081,-1.278275824,0.34591575,82,0,0,0,8,6
3.342837319,-1.394525822,0.273196503,22,0,0,0,8,7
3.841250011,-1.470766124,0.377814296,875,0,0,0,8,0
4.472024527,-1.618138476,0.282764463,79,0,0,0,9,3
4.472024527,-1.618138476,0.282764463,79,0,0,0,9,0
3.96080469,-1.504831835,0.221850402,24,0,0,0,10,1
3.96080469,-1.504831835,0.221850402,24,0,0,0,10,0
3.757912671,-1.452771512,0.333464155,970,0,0,0,0,1
1.39999879,-0.740663563,0.988017873,59,0,0,0,0,2
3.712154364,-1.426680677,0.387298696,1320,0,0,0,0,3
4.244233438,-1.426558796,0.457765052,32,0,0,0,0,4
4.876808239,-1.678193391,0.305668253,80,0,0,0,0,5
4.287012327,-1.518451955,0.348942151,421,0,0,0,0,6
1.741492813,-0.980895858,0.481648227,235,0,0,0,0,7
