K,n,s,# of elem,exp,det,rot,roc,cen
0.072453676,-0.47937148,0.617799798,104,1,2,0,8,3
-0.791240315,-0.410260418,0,2,1,2,0,8,6
-0.280612721,-0.397633165,0.63819772,115,1,2,0,8,0
3.181658106,-1.191640695,0.274129623,20,1,2,0,9,3
3.181658106,-1.191640695,0.274129623,20,1,2,0,9,0
2.997891498,-1.258677688,0.379672637,117,1,2,0,0,1
2.256048261,-0.974757863,0.948877658,49,1,2,0,0,2
2.441018066,-1.08613678,0.419478822,362,1,2,0,0,3
4.259129964,-1.42492336,0.467735744,24,1,2,0,0,4
5.467327552,-1.780002682,0.239855049,102,1,2,0,0,6
1.266397434,-0.826027642,0.453976609,123,1,2,0,0,7
2.491502787,-1.112621164,0.474124497,777,1,2,0,0,0
3.39840592,-1.480856067,0.114586922,30,1,3,1,8,1
1.77547623,-1.000685542,0.274677021,10,1,3,1,8,6
2.895079621,-1.342595346,0.207487631,40,1,3,1,8,0
3.39840592,-1.480856067,0.114586922,30,1,3,1,0,1
1.77547623,-1.000685542,0.274677021,10,1,3,1,0,6
2.895079621,-1.342595346,0.207487631,40,1,3,1,0,0
4.314985981,-1.69920208,0.294700622,21,1,3,2,3,1
4.314985981,-1.69920208,0.294700622,21,1,3,2,3,0
4.314985981,-1.69920208,0.294700622,21,1,3,2,0,1
4.314985981,-1.69920208,0.294700622,21,1,3,2,0,0
4.183303813,-1.54371843,0.349891586,258,1,3,3,11,1
2.590098487,-1.323124544,0.153390014,15,1,3,3,11,3
5.710644493,-1.805184909,0.337647358,125,1,3,3,11,6
4.423801788,-1.581866745,0.365960053,398,1,3,3,11,0
5.146888507,-1.719562586,0.30882602,70,1,3,3,4,1
6.036974322,-1.898924756,0.257235023,47,1,3,3,4,6
5.564219301,-1.803858692,0.286984657,117,1,3,3,4,0
1.760722483,-1.029393877,0.366218967,49,1,3,3,6,1
6.130866667,-1.810687661,0.074979567,6,1,3,3,6,3
2.514633447,-1.163318569,0.358142092,55,1,3,3,6,0
3.730988332,-1.4661065,0.219696508,18,1,3,3,10,1
3.730988332,-1.4661065,0.219696508,18,1,3,3,10,0
4.189587731,-1.527066387,0.318514661,527,1,3,3,0,1
2.007132126,-1.112686866,0.38887256,21,1,3,3,0,3
5.718340138,-1.813293042,0.320060414,172,1,3,3,0,6
4.414605342,-1.568873552,0.33183919,720,1,3,3,0,0
4.183303813,-1.54371843,0.349891586,258,1,3,0,11,1
2.590098487,-1.323124544,0.153390014,15,1,3,0,11,3
5.710644493,-1.805184909,0.337647358,125,1,3,0,11,6
4.423801788,-1.581866745,0.365960053,398,1,3,0,11,0
4.314985981,-1.69920208,0.294700622,21,1,3,0,3,1
4.314985981,-1.69920208,0.294700622,21,1,3,0,3,0
5.146888507,-1.719562586,0.30882602,70,1,3,0,4,1
6.036974322,-1.898924756,0.257235023,47,1,3,0,4,6
5.564219301,-1.803858692,0.286984657,117,1,3,0,4,0
1.760722483,-1.029393877,0.366218967,49,1,3,0,6,1
6.130866667,-1.810687661,0.074979567,6,1,3,0,6,3
2.514633447,-1.163318569,0.358142092,55,1,3,0,6,0
3.39840592,-1.480856067,0.114586922,30,1,3,0,8,1
1.77547623,-1.000685542,0.274677021,10,1,3,0,8,6
2.895079621,-1.342595346,0.207487631,40,1,3,0,8,0
3.730988332,-1.4661065,0.219696508,18,1,3,0,10,1
3.730988332,-1.4661065,0.219696508,18,1,3,0,10,0
3.917132079,-1.480693645,0.331876468,578,1,3,0,0,1
2.007132126,-1.112686866,0.38887256,21,1,3,0,0,3
5.366900916,-1.744867239,0.331672011,182,1,3,0,0,6
4.157245325,-1.523852702,0.342838809,781,1,3,0,0,0
1.852051073,-1.094778024,0.26932841,107,1,0,1,8,1
4.229165654,-1.571710316,0.338875055,594,1,0,1,8,3
3.362166081,-1.278275824,0.34591575,82,1,0,1,8,6
3.754260249,-1.460273591,0.358851502,783,1,0,1,8,0
4.472024527,-1.618138476,0.282764463,79,1,0,1,9,3
4.472024527,-1.618138476,0.282764463,79,1,0,1,9,0
1.852051073,-1.094778024,0.26932841,107,1,0,1,0,1
4.27165249,-1.580065498,0.332276357,673,1,0,1,0,3
3.362166081,-1.278275824,0.34591575,82,1,0,1,0,6
3.842520311,-1.478926831,0.351763893,862,1,0,1,0,0
5.493427426,-1.899727546,0.143711837,67,1,0,2,2,3
5.493427426,-1.899727546,0.143711837,67,1,0,2,2,0
4.314985981,-1.69920208,0.294700622,21,1,0,2,3,1
4.314985981,-1.69920208,0.294700622,21,1,0,2,3,0
5.207018718,-1.728993053,0.221238303,35,1,0,2,5,3
5.207018718,-1.728993053,0.221238303,35,1,0,2,5,0
3.526750291,-1.470137779,0.199283939,65,1,0,2,7,3
3.526750291,-1.470137779,0.199283939,65,1,0,2,7,0
4.314985981,-1.69920208,0.294700622,21,1,0,2,0,1
4.228034085,-1.594814244,0.216096658,167,1,0,2,0,3
4.876808239,-1.678193391,0.305668253,80,1,0,2,0,5
4.588616723,-1.662068403,0.266605011,268,1,0,2,0,0
5.768058752,-1.761156677,0.169781179,35,1,0,3,1,3
5.768058752,-1.761156677,0.169781179,35,1,0,3,1,0
3.888912886,-1.483751285,0.343980093,379,1,0,3,11,1
1.39999879,-0.740663563,0.988017873,59,1,0,3,11,2
3.51773918,-1.434771564,0.400668945,135,1,0,3,11,3
4.93558301,-1.662500889,0.34833972,158,1,0,3,11,6
0.196081207,-0.487054058,0.614934383,135,1,0,3,11,7
3.547407361,-1.401521549,0.439324487,866,1,0,3,11,0
5.146888507,-1.719562586,0.30882602,70,1,0,3,4,1
6.036974322,-1.898924756,0.257235023,47,1,0,3,4,6
5.564219301,-1.803858692,0.286984657,117,1,0,3,4,0
4.005370074,-1.444920314,0.319161113,84,1,0,3,6,1
4.622811015,-1.57053743,0.20526739,171,1,0,3,6,3
6.035556809,-1.897861505,0.204104678,100,1,0,3,6,6
4.721259346,-1.596618334,0.243515837,355,1,0,3,6,0
3.730988332,-1.4661065,0.219696508,18,1,0,3,10,1
3.730988332,-1.4661065,0.219696508,18,1,0,3,10,0
4.055373531,-1.499630758,0.320524531,683,1,0,3,0,1
1.39999879,-0.740663563,0.988017873,59,1,0,3,0,2
3.266659739,-1.283096986,0.411098211,392,1,0,3,0,3
4.259129964,-1.42492336,0.467735744,24,1,0,3,0,4
5.33825869,-1.74730419,0.294394413,305,1,0,3,0,6
0.196081207,-0.487054058,0.614934383,135,1,0,3,0,7
3.558658757,-1.373006832,0.406736097,1598,1,0,3,0,0
5.768058752,-1.761156677,0.169781179,35,1,0,0,1,3
5.768058752,-1.761156677,0.169781179,35,1,0,0,1,0
3.888912886,-1.483751285,0.343980093,379,1,0,0,11,1
1.39999879,-0.740663563,0.988017873,59,1,0,0,11,2
3.51773918,-1.434771564,0.400668945,135,1,0,0,11,3
4.93558301,-1.662500889,0.34833972,158,1,0,0,11,6
0.196081207,-0.487054058,0.614934383,135,1,0,0,11,7
3.547407361,-1.401521549,0.439324487,866,1,0,0,11,0
5.493427426,-1.899727546,0.143711837,67,1,0,0,2,3
5.493427426,-1.899727546,0.143711837,67,1,0,0,2,0
4.314985981,-1.69920208,0.294700622,21,1,0,0,3,1
4.314985981,-1.69920208,0.294700622,21,1,0,0,3,0
5.146888507,-1.719562586,0.30882602,70,1,0,0,4,1
6.036974322,-1.898924756,0.257235023,47,1,0,0,4,6
5.564219301,-1.803858692,0.286984657,117,1,0,0,4,0
5.207018718,-1.728993053,0.221238303,35,1,0,0,5,3
5.207018718,-1.728993053,0.221238303,35,1,0,0,5,0
4.005370074,-1.444920314,0.319161113,84,1,0,0,6,1
4.622811015,-1.57053743,0.20526739,171,1,0,0,6,3
6.035556809,-1.897861505,0.204104678,100,1,0,0,6,6
4.721259346,-1.596618334,0.243515837,355,1,0,0,6,0
3.526750291,-1.470137779,0.199283939,65,1,0,0,7,3
3.526750291,-1.470137779,0.199283939,65,1,0,0,7,0
1.852051073,-1.094778024,0.26932841,107,1,0,0,8,1
4.229165654,-1.571710316,0.338875055,594,1,0,0,8,3
3.362166081,-1.278275824,0.34591575,82,1,0,0,8,6
3.754260249,-1.460273591,0.358851502,783,1,0,0,8,0
4.472024527,-1.618138476,0.282764463,79,1,0,0,9,3
4.472024527,-1.618138476,0.282764463,79,1,0,0,9,0
3.730988332,-1.4661065,0.219696508,18,1,0,0,10,1
3.730988332,-1.4661065,0.219696508,18,1,0,0,10,0
3.698884378,-1.43731311,0.332775338,811,1,0,0,0,1
1.39999879,-0.740663563,0.988017873,59,1,0,0,0,2
3.671154291,-1.423712655,0.37307903,1232,1,0,0,0,3
4.259129964,-1.42492336,0.467735744,24,1,0,0,0,4
4.876808239,-1.678193391,0.305668253,80,1,0,0,0,5
