,0,Training Loss,Test Loss
0,0,0.272147685,0.159981966
1,0,0.073154703,0.049886696
2,0,0.063944496,0.04840827
3,0,0.058140758,0.043493882
4,0,0.052991081,0.035758514
5,0,0.048025273,0.032196164
6,0,0.046443909,0.031034283
7,0,0.044169601,0.03027726
8,0,0.041760221,0.029957753
9,0,0.039167196,0.029525071
10,0,0.038605992,0.029286461
11,0,0.037607271,0.029109843
12,0,0.035886161,0.028979635
13,0,0.03606008,0.028779492
14,0,0.032647971,0.028434904
15,0,0.032499429,0.028082209
16,0,0.032114007,0.027805917
17,0,0.030834552,0.02751697
18,0,0.0307013,0.027012775
19,0,0.030500639,0.026728949
20,0,0.030998874,0.026327725
21,0,0.030587643,0.025970845
22,0,0.028968783,0.02551222
23,0,0.028652545,0.025200525
24,0,0.027600911,0.024736844
25,0,0.027461868,0.024332913
26,0,0.026083499,0.024008293
27,0,0.027707525,0.023785651
28,0,0.025537947,0.023391834
29,0,0.025015984,0.023102835
30,0,0.025507901,0.022709372
31,0,0.024653194,0.022355611
32,0,0.0251939,0.022094907
33,0,0.024631478,0.021888008
34,0,0.02389789,0.021662617
35,0,0.023314338,0.021609932
36,0,0.022907501,0.021474829
37,0,0.021953136,0.021249864
38,0,0.022676837,0.021057708
39,0,0.021996399,0.02088866
40,0,0.021237303,0.020719476
41,0,0.01985085,0.020566717
42,0,0.020791447,0.020441193
43,0,0.021530163,0.020306226
44,0,0.02038312,0.020220358
45,0,0.019976562,0.020064987
46,0,0.020320648,0.019899238
47,0,0.018945429,0.019789252
48,0,0.018580016,0.019719617
49,0,0.017741907,0.019667802
50,0,0.018245967,0.019609008
51,0,0.018167332,0.019580174
52,0,0.017524114,0.019599821
53,0,0.018639818,0.019535646
54,0,0.017385703,0.019536419
55,0,0.017487895,0.019381318
56,0,0.018173132,0.019243237
57,0,0.017117089,0.019071363
58,0,0.015567208,0.019086054
59,0,0.016157104,0.018932689
60,0,0.01554775,0.018881809
61,0,0.01563671,0.018598069
62,0,0.01520611,0.01853493
63,0,0.015381733,0.018379981
64,0,0.015345734,0.018280517
65,0,0.016069382,0.018137725
66,0,0.015733663,0.018047154
67,0,0.014280822,0.017881934
68,0,0.014649475,0.017913811
69,0,0.013764014,0.017757338
70,0,0.013477126,0.017774271
71,0,0.01385694,0.017801221
72,0,0.013441538,0.01769349
73,0,0.013644904,0.017663907
74,0,0.013529591,0.017627934
75,0,0.01369672,0.017601535
76,0,0.013748597,0.017525166
77,0,0.012414452,0.017475851
78,0,0.014083348,0.017373284
79,0,0.01294853,0.017406072
80,0,0.012815258,0.017432986
81,0,0.011597781,0.017345592
82,0,0.012817424,0.017396558
83,0,0.012470628,0.017352244
84,0,0.011885164,0.01733646
85,0,0.011642285,0.017301504
86,0,0.012425004,0.017229712
87,0,0.012111688,0.017086612
88,0,0.010966754,0.017109746
89,0,0.011447767,0.016991464
90,0,0.010833253,0.016903497
91,0,0.011822066,0.016948583
92,0,0.012390884,0.016852092
93,0,0.011699406,0.01686766
94,0,0.010260774,0.016820716
95,0,0.011956684,0.016720226
96,0,0.011037933,0.016726181
97,0,0.011177268,0.016645275
98,0,0.010829828,0.01662872
99,0,0.009804184,0.016531086
100,0,0.01053619,0.01657106
101,0,0.010282336,0.016497677
102,0,0.009759484,0.016409311
103,0,0.010583075,0.01647722
104,0,0.010341103,0.016305225
105,0,0.010676208,0.016330179
106,0,0.009787248,0.016333362
107,0,0.010249868,0.016333528
108,0,0.008724327,0.016181283
109,0,0.009297715,0.016231027
110,0,0.008985016,0.016246043
111,0,0.009964673,0.016273569
112,0,0.008389422,0.016185343
113,0,0.010094279,0.016096678
114,0,0.0094726,0.016065205
115,0,0.009430036,0.016045799
116,0,0.008725001,0.01595572
117,0,0.008403148,0.015951084
118,0,0.008644113,0.015750486
119,0,0.007810196,0.015745196
120,0,0.008093408,0.015613947
121,0,0.008152946,0.01559604
122,0,0.008661658,0.015560076
123,0,0.009008934,0.015481167
124,0,0.007998148,0.015407716
125,0,0.008084728,0.015320467
126,0,0.007767439,0.01537997
127,0,0.008433774,0.015260434
128,0,0.009483676,0.015240059
129,0,0.008070864,0.015175948
130,0,0.008285733,0.015247316
131,0,0.00788575,0.015103491
132,0,0.006682574,0.015137441
133,0,0.007493542,0.01503484
134,0,0.007506013,0.015041718
135,0,0.006967156,0.015051604
136,0,0.007104309,0.015019538
137,0,0.007410161,0.014939079
138,0,0.007702417,0.014954579
139,0,0.007706486,0.014957348
140,0,0.006483716,0.014868036
141,0,0.007554985,0.014825811
142,0,0.007035531,0.014857611
143,0,0.006517767,0.014804035
144,0,0.00727718,0.014795098
145,0,0.006955883,0.014765626
146,0,0.006906157,0.014659505
147,0,0.007145036,0.014752403
148,0,0.00734891,0.014700843
149,0,0.007117092,0.014762685
150,0,0.007134614,0.01473569
151,0,0.007004389,0.014686296
152,0,0.006631908,0.014717512
153,0,0.006682591,0.01459634
154,0,0.00731722,0.014603315
155,0,0.006700797,0.014568155
156,0,0.005965206,0.014587399
157,0,0.007331309,0.014502194
158,0,0.006385409,0.014549998
159,0,0.007130219,0.01454267
160,0,0.006258875,0.014565626
161,0,0.00688351,0.014528912
162,0,0.006438905,0.014404053
163,0,0.006550279,0.014419179
164,0,0.006443127,0.01432285
165,0,0.007338798,0.014233331
166,0,0.005935547,0.014273042
167,0,0.006362737,0.014155422
168,0,0.007039641,0.014233032
169,0,0.006161082,0.014121516
170,0,0.006225411,0.014071962
171,0,0.005926642,0.014113632
172,0,0.00617181,0.013998676
173,0,0.006024998,0.013971646
174,0,0.006681711,0.013887933
175,0,0.006429173,0.013901142
176,0,0.005265737,0.01395293
177,0,0.006375844,0.01401078
178,0,0.005447216,0.013820125
179,0,0.005544338,0.013819175
180,0,0.005671543,0.013855155
181,0,0.006626543,0.013749698
182,0,0.005174144,0.013639065
183,0,0.005603849,0.013690224
184,0,0.005277718,0.013801849
185,0,0.005610552,0.013716483
186,0,0.00643007,0.013745219
187,0,0.00477871,0.013562509
188,0,0.005487213,0.013641827
189,0,0.004862124,0.01362779
