,,,,,,,,화약,,뇌관,,암석분류,,암석명,,심발공,
,,,,,,,,0,모든 폭약,0,모든 뇌관,0,모든 암석분류,0,모든 암석명,0,모든 심발
,,,,,,,,1,에멀젼C,1,비전기,1,변성암,1,규장암,1,Cylinder-cut
,,,,,,,,2,정밀폭약,2,전기,2,퇴적암,2,사암,2,TBM 선굴착
,,,,,,,,3,함수폭약,3,전자,3,화성암,3,석회암,3,V-CUT
,,,,,,,,,,,,,,4,섬록암,4,라인 드릴링
,,,,,,,,,,,,,,5,셰일,5,분착식 다단발파
,,,,,,,,,,,,,,6,안산암,6,선대구경
,,,,,,,,,,,,,,7,응회암,7,수직구
,,,,,,,,,,,,,,8,편마암,,
,,,,,,,,,,,,,,9,편암,,
,,,,,,,,,,,,,,10,화강반암,,
,,,,,,,,,,,,,,11, 화강암,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,K,n,s,exp,det,rot,roc,cen,,,,,,,,,
0,34.18913667,-1.170496872,0.338310313,모든 화약,모든 뇌관,모든 암석분류,안산암,TBM 선굴착,,,,,,,,,
0,10.77149329,-1.097556107,0.349654326,모든 화약,모든 뇌관,모든 암석분류,응회암,TBM 선굴착,,,,,,,,,
0,3.825403116,-1.070064134,0.38867642,모든 화약,모든 뇌관,모든 암석분류,편마암,TBM 선굴착,,,,,,,,,
0,19.60724229,-1.101417853,0.393532781,모든 화약,모든 뇌관,모든 암석분류,편암,TBM 선굴착,,,,,,,,,
0,19.93614667,-1.056035252,0.448730515,모든 화약,모든 뇌관,모든 암석분류,화강반암,TBM 선굴착,,,,,,,,,
0,5.892190528,-0.841399092,0.608072515,모든 화약,모든 뇌관,모든 암석분류,화강암,TBM 선굴착,,,,,,,,,
0,44.35303673,-1.428086801,0.167594459,모든 화약,모든 뇌관,모든 암석분류,모든 암종,V-CUT,,,,,,,,,
0,75.13178293,-1.577176719,0.144209871,모든 화약,모든 뇌관,변성암,모든 암종,V-CUT,,,,,,,,,
0,109.8507739,-1.68870567,0.088010231,모든 화약,모든 뇌관,퇴적암,모든 암종,V-CUT,,,,,,,,,
0,27.05041224,-1.280692805,0.195260767,모든 화약,모든 뇌관,화성암,모든 암종,V-CUT,,,,,,,,,
0,44.35303673,-1.428086801,0.167594459,모든 화약,모든 뇌관,모든 암석분류,모든 암종,V-CUT,,,,,,,,,
0,320.4486279,-1.770301295,0.057250063,모든 화약,모든 뇌관,모든 암석분류,규장암,V-CUT,,,,,,,,,
0,151.9737767,-1.794946563,0.056435308,모든 화약,모든 뇌관,모든 암석분류,사암,V-CUT,,,,,,,,,
0,180.3264787,-1.771282631,0.063183164,모든 화약,모든 뇌관,모든 암석분류,석회암,V-CUT,,,,,,,,,
0,208.2894241,-1.769547238,0.090634947,모든 화약,모든 뇌관,모든 암석분류,섬록암,V-CUT,,,,,,,,,
0,222.4306259,-1.762892228,0.087550885,모든 화약,모든 뇌관,모든 암석분류,셰일,V-CUT,,,,,,,,,
0,101.4958986,-1.567684242,0.081629344,모든 화약,모든 뇌관,모든 암석분류,안산암,V-CUT,,,,,,,,,
0,38.63086639,-1.498865444,0.091448523,모든 화약,모든 뇌관,모든 암석분류,응회암,V-CUT,,,,,,,,,
0,71.83845839,-1.561844899,0.144729895,모든 화약,모든 뇌관,모든 암석분류,편마암,V-CUT,,,,,,,,,
0,87.82963554,-1.621240274,0.115489768,모든 화약,모든 뇌관,모든 암석분류,편암,V-CUT,,,,,,,,,
0,68.28784121,-1.52413651,0.142929986,모든 화약,모든 뇌관,모든 암석분류,화강반암,V-CUT,,,,,,,,,
0,28.43841563,-1.404404202,0.185919558,모든 화약,모든 뇌관,모든 암석분류,화강암,V-CUT,,,,,,,,,
0,72.0088594,-1.436623594,0.175826916,모든 화약,모든 뇌관,모든 암석분류,모든 암종,라인 드릴링,,,,,,,,,
0,85.8267462,-1.561539177,0.133229748,모든 화약,모든 뇌관,변성암,모든 암종,라인 드릴링,,,,,,,,,
0,129.9828018,-1.685782544,0.09505537,모든 화약,모든 뇌관,퇴적암,모든 암종,라인 드릴링,,,,,,,,,
0,71.56557254,-1.42932809,0.172686623,모든 화약,모든 뇌관,화성암,모든 암종,라인 드릴링,,,,,,,,,
0,72.0088594,-1.436623594,0.175826916,모든 화약,모든 뇌관,모든 암석분류,모든 암종,라인 드릴링,,,,,,,,,
0,274.784104,-1.750533121,0.06347255,모든 화약,모든 뇌관,모든 암석분류,규장암,라인 드릴링,,,,,,,,,
0,241.5182494,-1.833732635,0.066735346,모든 화약,모든 뇌관,모든 암석분류,사암,라인 드릴링,,,,,,,,,
0,270.8771008,-1.849791295,0.069134625,모든 화약,모든 뇌관,모든 암석분류,석회암,라인 드릴링,,,,,,,,,
0,295.9255897,-1.842014819,0.061862717,모든 화약,모든 뇌관,모든 암석분류,섬록암,라인 드릴링,,,,,,,,,
0,295.0240034,-1.818272251,0.045694895,모든 화약,모든 뇌관,모든 암석분류,셰일,라인 드릴링,,,,,,,,,
0,224.9542014,-1.726502313,0.07697885,모든 화약,모든 뇌관,모든 암석분류,안산암,라인 드릴링,,,,,,,,,
0,86.66923133,-1.542929992,0.112969774,모든 화약,모든 뇌관,모든 암석분류,응회암,라인 드릴링,,,,,,,,,
0,60.70784357,-1.57238349,0.1274739,모든 화약,모든 뇌관,모든 암석분류,편마암,라인 드릴링,,,,,,,,,
0,81.99076952,-1.645547335,0.115118999,모든 화약,모든 뇌관,모든 암석분류,편암,라인 드릴링,,,,,,,,,
0,64.49446017,-1.637686727,0.105045391,모든 화약,모든 뇌관,모든 암석분류,화강반암,라인 드릴링,,,,,,,,,
0,48.89401652,-1.585945906,0.124977695,모든 화약,모든 뇌관,모든 암석분류,화강암,라인 드릴링,,,,,,,,,
0,129.2904981,-1.681139485,0.112881399,모든 화약,모든 뇌관,모든 암석분류,모든 암종,분착식 다단발파,,,,,,,,,
0,74.04826653,-1.5003894,0.125327987,모든 화약,모든 뇌관,변성암,모든 암종,분착식 다단발파,,,,,,,,,
0,130.3886124,-1.683374325,0.114665311,모든 화약,모든 뇌관,퇴적암,모든 암종,분착식 다단발파,,,,,,,,,
0,135.3877949,-1.678010572,0.119245784,모든 화약,모든 뇌관,화성암,모든 암종,분착식 다단발파,,,,,,,,,
0,129.2904981,-1.681139485,0.112881399,모든 화약,모든 뇌관,모든 암석분류,모든 암종,분착식 다단발파,,,,,,,,,
0,256.5713777,-1.805588983,0.059726554,모든 화약,모든 뇌관,모든 암석분류,규장암,분착식 다단발파,,,,,,,,,
